player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
LaMarcus Aldridge,2353.0,.349,.333,.000,.167,0.0,6.6,3.1,3.3,1.4,4.4,7.2,17.4,71,101,-8.0,POR,1,0,20100224,4,12,.333,0,0,0,1,2,.500,0,2,2,1,1,2,1,2,9,+7
Brandon Roy,2265.0,.521,.500,.176,.294,3.1,13.7,8.2,20.0,1.5,0.0,5.0,26.3,112,103,2.2,POR,1,0,20100224,8,17,.471,1,3,.333,3,5,.600,1,4,5,5,1,0,1,1,20,+9
Andre Miller,1974.0,.605,.571,.071,.143,7.1,19.7,13.1,48.1,5.0,0.0,0.0,22.2,145,93,16.9,POR,1,0,20100224,8,14,.571,0,1,.000,2,2,1.000,2,5,7,10,3,0,0,1,18,+2
Juwan Howard,1873.0,.635,.571,.000,.286,3.8,8.3,5.9,8.6,1.8,0.0,11.3,14.0,123,103,-0.5,POR,1,0,20100224,4,7,.571,0,0,0,2,2,1.000,1,2,3,2,1,0,1,3,10,+19
Nicolas Batum,1165.0,.750,.750,.333,.000,6.0,13.4,9.5,0.0,2.8,0.0,14.3,17.7,122,100,2.8,POR,1,0,20100224,4,6,.667,1,2,.500,0,0,0,1,2,3,0,1,0,1,1,9,-14
Rudy Fernández,1903.0,.860,.833,.556,.222,3.7,24.5,13.6,13.8,1.7,0.0,9.2,16.9,156,99,8.7,POR,0,0,20100224,6,9,.667,3,5,.600,2,2,1.000,1,6,7,3,1,0,1,5,17,+24
Dante Cunningham,1295.0,.444,.429,.000,.286,10.8,12.0,11.4,0.0,2.5,4.0,0.0,18.0,105,97,-5.1,POR,0,0,20100224,3,7,.429,0,0,0,1,2,.500,2,2,4,0,1,1,0,4,7,+6
Jerryd Bayless,990.0,.423,.423,.308,.000,7.1,23.6,14.9,42.4,0.0,0.0,7.1,41.7,95,103,-1.6,POR,0,0,20100224,5,13,.385,1,4,.250,0,0,0,1,3,4,4,0,0,1,2,11,+12
Martell Webster,480.0,0,0,0,0,0.0,32.4,15.4,0.0,0.0,0.0,0,0.0,0,101,-5.2,POR,0,0,20100224,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,+5
Jeff Ayres,51.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,109,-6.8,POR,0,0,20100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patty Mills,51.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,109,-9.1,POR,0,0,20100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Camby,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedo Türkoğlu,2125.0,1.031,1.056,.333,.667,0.0,13.2,7.0,17.6,0.0,0.0,7.9,17.2,188,119,14.9,TOR,1,0,20100224,8,9,.889,3,3,1.000,5,6,.833,0,4,4,3,0,0,1,3,24,-3
Andrea Bargnani,2119.0,.444,.406,.375,.125,3.7,16.6,10.5,0.0,0.0,1.9,10.6,25.8,86,116,-6.0,TOR,1,0,20100224,6,16,.375,1,6,.167,2,2,1.000,1,5,6,0,0,1,2,2,15,-18
Jarrett Jack,1935.0,.610,.615,.308,.308,0.0,7.3,3.8,50.5,0.0,0.0,16.9,26.6,116,120,5.2,TOR,1,0,20100224,7,13,.538,2,4,.500,2,4,.500,0,2,2,8,0,0,3,1,18,+1
DeMar DeRozan,1049.0,.347,.000,.000,1.000,0.0,13.4,7.0,16.1,0.0,0.0,25.8,10.7,79,119,-7.7,TOR,1,0,20100224,0,2,.000,0,0,0,2,2,1.000,0,2,2,2,0,0,1,3,2,-6
Rasho Nesterović,1020.0,.667,.667,.000,.000,0.0,13.8,7.2,0.0,3.2,4.0,25.0,11.4,92,107,-1.5,TOR,1,0,20100224,2,3,.667,0,0,0,0,0,0,0,2,2,0,1,1,1,3,4,0
José Calderón,1465.0,.313,.313,.375,.000,0.0,4.8,2.5,19.6,0.0,0.0,27.3,21.7,60,121,-14.6,TOR,0,0,20100224,2,8,.250,1,3,.333,0,0,0,0,1,1,3,0,0,3,2,5,-22
Amir Johnson,1386.0,.625,.625,.000,.000,16.8,25.3,21.3,8.8,0.0,11.9,0.0,16.7,140,104,12.1,TOR,0,0,20100224,5,8,.625,0,0,0,0,0,0,3,5,8,1,0,4,0,1,10,-2
Antoine Wright,1301.0,.143,.143,.429,.000,12.0,21.6,17.0,7.0,0.0,0.0,12.5,17.8,50,117,-11.5,TOR,0,0,20100224,1,7,.143,0,3,.000,0,0,0,2,4,6,1,0,0,1,0,2,-6
Reggie Evans,792.0,.225,.250,.000,.250,29.5,44.3,37.3,0.0,0.0,0.0,31.1,23.5,56,112,-15.5,TOR,0,0,20100224,1,4,.250,0,0,0,0,1,.000,3,5,8,0,0,0,2,1,2,-2
Sonny Weems,751.0,.387,.333,.000,.667,0.0,9.4,4.9,0.0,0.0,5.5,34.0,22.7,52,114,-12.3,TOR,0,0,20100224,1,3,.333,0,0,0,1,2,.500,0,1,1,0,0,1,2,1,3,-4
Marco Belinelli,457.0,.333,.333,.333,.000,0.0,15.4,8.1,0.0,0.0,0.0,0.0,19.0,72,119,-9.4,TOR,0,0,20100224,1,3,.333,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,2,-8
Patrick O'Bryant,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,0,0,20100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Oden,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Przybilla,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Banks,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,0,1,20100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Bosh,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,0,1,20100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
