player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Carlos Arroyo,2525.0,.545,.545,.091,.000,0.0,2.5,1.4,13.4,0.0,0.0,8.3,14.9,108,115,-7.8,MIA,1,0,20100322,6,11,.545,0,1,.000,0,0,0,0,1,1,4,0,0,1,2,12,+16
Dwyane Wade,2277.0,.739,.692,.000,.923,10.3,11.0,10.7,51.2,3.0,2.0,9.9,28.0,150,103,18.5,MIA,1,0,20100322,9,13,.692,0,0,0,9,12,.750,3,4,7,12,2,1,2,2,27,+8
Jermaine O'Neal,2065.0,.687,.688,.000,.313,3.8,24.3,15.1,16.3,1.6,0.0,9.9,30.7,124,101,4.9,MIA,1,0,20100322,11,16,.688,0,0,0,3,5,.600,1,8,9,3,1,0,2,4,25,+10
Michael Beasley,1918.0,.500,.500,.000,.000,0.0,16.3,9.0,5.2,0.0,4.8,0.0,26.2,101,105,-4.4,MIA,1,0,20100322,8,16,.500,0,0,0,0,0,0,0,5,5,1,0,2,0,3,16,+7
Quentin Richardson,1608.0,.429,.429,1.000,.000,4.8,19.5,12.9,0.0,0.0,0.0,0.0,13.7,95,107,-7.3,MIA,1,0,20100322,2,7,.286,2,7,.286,0,0,0,1,5,6,0,0,0,0,1,6,+10
Dorell Wright,1360.0,.683,.750,.167,.500,5.7,9.2,7.7,26.0,5.0,3.4,12.0,19.2,129,99,12.7,MIA,0,0,20100322,4,6,.667,1,1,1.000,1,3,.333,1,2,3,4,2,1,1,1,10,0
Joel Anthony,1120.0,0,0,0,0,6.9,16.8,12.4,0.0,0.0,0.0,0,0.0,204,107,-10.3,MIA,0,0,20100322,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,5,0,0
Mario Chalmers,958.0,.200,.200,.600,.000,0.0,13.1,7.2,31.7,10.6,4.8,28.6,23.0,58,84,1.0,MIA,0,0,20100322,1,5,.200,0,3,.000,0,0,0,0,2,2,4,3,1,2,1,2,-4
Jamaal Magloire,569.0,.568,0,0,0,13.7,33.0,24.4,0.0,0.0,0.0,0.0,4.9,152,100,-8.8,MIA,0,0,20100322,0,0,0,0,0,0,1,2,.500,1,3,4,0,0,0,0,3,1,+3
James Jones,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20100322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakhouba Diawara,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20100322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daequan Cook,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20100322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Harris,2341.0,.597,.389,.222,1.111,2.7,10.0,5.9,31.7,0.0,0.0,18.3,19.8,116,121,-1.3,NJN,1,0,20100322,3,9,.333,1,2,.500,9,10,.900,1,3,4,6,0,0,3,2,16,-4
Brook Lopez,2077.0,.674,.571,.000,.857,3.0,0.0,1.7,17.4,0.0,2.2,4.9,27.6,138,120,9.2,NJN,1,0,20100322,8,14,.571,0,0,0,10,12,.833,1,0,1,2,0,1,1,2,26,-6
Courtney Lee,1782.0,.656,.636,.273,.091,3.5,0.0,1.9,9.3,0.0,0.0,0.0,18.2,135,122,2.8,NJN,1,0,20100322,6,11,.545,2,3,.667,1,1,1.000,1,0,1,1,0,0,0,3,15,-8
Yi Jianlian,1408.0,.250,.250,.000,.000,8.9,16.6,12.3,0.0,0.0,0.0,0.0,16.1,70,119,-12.2,NJN,1,0,20100322,2,8,.250,0,0,0,0,0,0,2,3,5,0,0,0,0,2,4,-8
Terrence Williams,1399.0,.455,.389,.111,.222,9.0,33.4,19.8,69.2,2.4,0.0,9.2,22.0,114,112,12.1,NJN,1,0,20100322,3,9,.333,1,1,1.000,2,2,1.000,2,6,8,7,1,0,1,1,9,+3
Jarvis Hayes,1631.0,.438,.438,.250,.000,0.0,19.1,8.5,8.1,0.0,0.0,20.0,17.4,72,120,-7.4,NJN,0,0,20100322,3,8,.375,1,2,.500,0,0,0,0,4,4,1,0,0,2,0,7,-15
Josh Boone,1217.0,.266,.000,.000,2.000,10.3,38.4,22.8,0.0,8.4,3.8,0.0,8.7,87,94,0.8,NJN,0,0,20100322,0,2,.000,0,0,0,2,4,.500,2,6,8,0,3,1,0,4,2,-1
Kris Humphries,1013.0,.330,.167,.000,1.167,24.7,38.4,30.8,11.8,0.0,4.6,18.1,31.0,79,112,-8.2,NJN,0,0,20100322,1,6,.167,0,0,0,4,7,.571,4,5,9,1,0,1,2,1,6,-5
Chris Douglas-Roberts,992.0,.410,.250,.250,.500,0.0,15.7,7.0,12.0,0.0,0.0,29.1,19.6,67,120,-12.3,NJN,0,0,20100322,1,4,.250,0,1,.000,2,2,1.000,0,2,2,1,0,0,2,1,4,0
Chris Quinn,539.0,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,15.8,0,123,-25.6,NJN,0,0,20100322,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-6
Trenton Hassell,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJN,0,0,20100322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Battie,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJN,0,0,20100322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
