trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
3,.636,3,121,12.4,10.3,.273,7,SAS,.500,.333,18,Richard Jefferson,3,1.000,20101114,0,11,0.9,3,0.0,106,4.7,1.3,17.5,0,0,1,1,.639,2271.0,1,2,1.8,5,1,.455,7,0.0,+11
5,.400,1,127,14.5,16.1,.000,6,SAS,.600,0,24,Tony Parker,0,1.000,20101114,1,15,6.0,4,19.8,107,9.2,1.5,26.4,3,0,1,0,.680,1930.0,0,3,0.0,9,1,.600,6,3.4,+6
3,.786,3,132,5.0,4.2,.357,11,SAS,.357,.400,21,Manu Ginóbili,5,1.000,20101114,2,14,8.0,1,21.0,105,5.8,1.6,26.5,4,0,1,2,.557,1847.0,1,1,2.2,4,1,.286,11,7.1,+5
4,.571,0,91,0.0,16.8,.000,2,SAS,.286,0,6,Tim Duncan,0,.500,20101114,1,7,-0.5,3,6.5,100,10.3,0.0,15.6,1,0,1,0,.342,1386.0,3,0,8.8,2,0,.286,4,4.7,+5
11,.091,4,97,14.9,32.4,.000,1,SAS,.364,0,9,DeJuan Blair,0,1.000,20101114,7,11,-6.5,4,0.0,95,40.7,6.0,34.5,0,0,1,0,.393,960.0,0,2,0.0,4,2,.364,1,47.7,0
4,.500,4,69,14.1,16.4,.400,4,SAS,.100,.000,6,George Hill,4,.800,20101114,0,10,-5.3,4,22.0,100,7.5,4.5,18.4,5,0,0,0,.246,1902.0,0,2,0.0,1,3,.100,5,0.0,+19
4,.000,1,205,0.0,20.7,.700,0,SAS,1.050,1.000,21,Matt Bonner,7,0,20101114,0,10,20.6,4,0.0,109,9.5,0.0,16.4,0,0,0,7,1.050,1504.0,0,0,0.0,7,0,.700,0,0.0,+14
4,1.000,2,95,14.8,27.8,.000,3,SAS,.250,0,5,Antonio McDyess,0,.750,20101114,0,4,0.4,4,15.4,103,12.7,2.6,14.9,2,0,0,0,.434,1120.0,0,1,0.0,1,1,.250,4,0.0,+10
5,.000,0,141,0.0,35.8,.250,0,SAS,.625,1.000,5,Gary Neal,1,0,20101114,0,4,3.1,5,8.6,107,16.4,0.0,9.1,1,0,0,1,.625,1087.0,0,0,0.0,2,0,.500,0,0.0,+10
2,.000,3,116,50.0,0.0,.000,0,SAS,1.000,0,2,Tiago Splitter,0,0,20101114,2,1,-13.6,0,0.0,110,34.4,0.0,23.8,0,0,0,0,1.000,207.0,0,1,0.0,1,0,1.000,0,63.2,-9
