player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
LaMarcus Aldridge,2632.0,.589,.563,.063,.500,3.3,7.8,5.8,4.4,0.0,1.6,4.9,22.9,117,114,-0.8,POR,1,0,20101210,9,16,.563,0,1,.000,5,8,.625,1,3,4,1,0,1,1,3,23,+12
Brandon Roy,2446.0,.601,.579,.211,.316,3.6,2.8,3.1,30.4,2.7,0.0,12.2,29.6,115,111,6.4,POR,1,0,20101210,10,19,.526,2,4,.500,4,6,.667,1,1,2,6,2,0,3,1,26,+11
Wesley Matthews,2399.0,.680,.600,.300,.400,0.0,5.7,3.2,16.6,5.5,0.0,14.5,16.8,124,104,8.4,POR,1,0,20101210,5,10,.500,2,3,.667,4,4,1.000,0,2,2,4,4,0,2,1,16,+7
Andre Miller,2115.0,.665,.250,.250,2.000,4.1,13.0,9.1,36.4,0.0,0.0,28.5,14.6,127,113,-0.4,POR,1,0,20101210,1,4,.250,0,1,.000,8,8,1.000,1,4,5,9,0,0,3,3,10,+10
Marcus Camby,2037.0,.913,.857,.000,.571,12.9,50.5,33.9,0.0,1.6,4.1,18.6,15.5,150,92,9.8,POR,1,0,20101210,6,7,.857,0,0,0,4,4,1.000,3,15,18,0,1,2,2,3,16,+9
Nicolas Batum,1211.0,.000,.000,.429,.000,0.0,5.7,3.2,0.0,0.0,0.0,0.0,17.0,0,116,-24.0,POR,0,0,20101210,0,7,.000,0,3,.000,0,0,0,0,1,1,0,0,0,0,3,0,-6
Rudy Fernández,776.0,.102,.000,1.000,.500,0.0,17.7,9.9,10.6,4.2,0.0,17.0,22.2,29,102,-14.5,POR,0,0,20101210,0,4,.000,0,4,.000,1,2,.500,0,2,2,1,1,0,1,0,1,0
Dante Cunningham,448.0,1.000,1.000,.000,.000,19.5,15.3,17.1,0.0,0.0,0.0,0.0,13.1,204,112,9.0,POR,0,0,20101210,2,2,1.000,0,0,0,0,0,0,1,1,2,0,0,0,0,1,4,-6
Patty Mills,336.0,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,26.2,107,118,6.3,POR,0,0,20101210,2,2,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,1,2,5,-2
Joel Przybilla,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Marks,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armon Johnson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Channing Frye,2119.0,.500,.500,.250,.000,3.2,24.7,12.7,0.0,1.6,2.5,7.7,17.2,102,111,-2.0,PHO,1,0,20101210,6,12,.500,0,3,.000,0,0,0,1,6,7,0,1,1,1,4,12,-10
Steve Nash,2058.0,.617,.605,.053,.053,10.0,17.0,13.1,32.4,1.6,0.0,13.4,30.6,122,115,11.1,PHO,1,0,20101210,11,19,.579,1,1,1.000,1,1,1.000,3,4,7,5,1,0,3,0,24,-3
Grant Hill,1850.0,.623,.500,.182,.545,11.1,4.7,8.3,10.7,1.8,0.0,0.0,20.7,149,116,8.6,PHO,1,0,20101210,5,11,.455,1,2,.500,6,6,1.000,3,1,4,2,1,0,0,3,17,-9
Jason Richardson,1681.0,.372,.222,.444,.444,0.0,20.8,9.1,15.3,2.0,0.0,8.5,19.7,90,113,-4.7,PHO,1,0,20101210,2,9,.222,0,4,.000,4,4,1.000,0,4,4,3,1,0,1,4,8,-6
Earl Barron,795.0,.000,.000,.000,.000,0.0,22.0,9.7,0.0,0.0,0.0,33.3,21.2,0,117,-29.7,PHO,1,0,20101210,0,4,.000,0,0,0,0,0,0,0,2,2,0,0,0,2,4,0,-9
Hakim Warrick,1717.0,.651,.556,.000,.444,12.0,15.2,13.4,0.0,0.0,0.0,8.5,19.2,135,118,2.5,PHO,0,0,20101210,5,9,.556,0,0,0,4,4,1.000,3,3,6,0,0,0,1,1,14,-6
Goran Dragić,1335.0,.338,.250,.125,.250,5.1,6.5,5.8,13.2,0.0,0.0,10.1,20.8,84,120,-8.4,PHO,0,0,20101210,2,8,.250,0,1,.000,2,2,1.000,1,1,2,2,0,0,1,1,6,-3
Hedo Türkoğlu,1320.0,.550,.550,.300,.000,5.2,26.4,14.5,8.4,0.0,0.0,16.7,25.5,101,116,-2.4,PHO,0,0,20101210,5,10,.500,1,3,.333,0,0,0,1,4,5,1,0,0,2,3,11,+10
Jared Dudley,1030.0,1.000,1.000,.000,.000,6.7,8.5,7.5,0.0,3.2,0.0,50.0,5.5,103,113,-0.3,PHO,0,0,20101210,1,1,1.000,0,0,0,0,0,0,1,1,2,0,1,0,1,0,2,+2
Josh Childress,495.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.8,0,0.0,0,112,-1.1,PHO,0,0,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1
Garret Siler,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earl Clark,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Babbitt,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Oden,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliot Williams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gani Lawal,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO,0,1,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Lopez,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO,0,1,20101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
