drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
2,1948.0,-7.4,22.7,0,2,122,.375,32.0,.333,2,.417,0,.250,0,.667,0,5,.000,2,13.1,UTA,10,-21,20101217,77,0.0,12,3,9.9,.333,0.0,2,0,4,1,5,3.8,0.0,Deron Williams
0,1736.0,0.9,20.5,3,2,111,.339,20.7,.333,1,.111,1,.333,1,.333,0,1,.000,1,16.2,UTA,7,-21,20101217,68,5.7,9,3,0.0,.333,3.5,1,0,3,1,3,2.2,2.8,Andrei Kirilenko
1,1734.0,-6.0,23.3,1,1,118,.385,0.0,.385,0,.000,1,.000,2,0,0,0,0,3,7.1,UTA,10,-14,20101217,76,1.9,13,0,5.5,.385,7.1,3,0,5,1,0,6.5,2.8,Al Jefferson
6,1731.0,13.9,14.6,2,0,104,.799,16.1,.714,4,.000,1,.571,0,1.000,0,0,0,2,0.0,UTA,14,-15,20101217,166,3.8,7,4,33.3,.714,0.0,6,0,5,1,2,13.0,2.8,Paul Millsap
1,1291.0,-7.4,26.8,0,1,121,.364,0.0,.273,0,.727,1,.000,0,0,0,8,.250,3,8.3,UTA,8,-21,20101217,66,0.0,11,0,7.4,.364,0.0,1,2,3,1,0,2.9,3.8,Raja Bell
3,1091.0,-8.6,33.8,1,0,108,.196,0.0,.182,1,.182,1,.364,0,.250,0,2,.000,0,0.0,UTA,5,-11,20101217,42,3.0,11,4,26.4,.182,0.0,3,0,2,0,0,10.3,4.5,C.J. Miles
0,1047.0,-12.4,21.7,0,1,125,.291,0.0,.333,0,.000,0,.333,1,.000,0,0,0,0,12.7,UTA,4,-8,20101217,56,0.0,6,2,0.0,.333,5.9,1,0,2,0,0,3.6,0.0,Earl Watson
3,960.0,0.4,14.7,0,2,115,1.215,0.0,1.000,2,.500,0,1.000,0,1.000,0,1,1.000,1,41.0,UTA,7,-1,20101217,125,0.0,2,2,30.0,1.250,0.0,3,1,2,0,0,11.7,0.0,Gordon Hayward
0,905.0,-5.7,6.4,0,0,125,.500,0.0,.500,0,.000,0,.000,2,0,0,0,0,1,0.0,UTA,2,-7,20101217,124,0.0,2,0,0.0,.500,13.5,2,0,1,0,0,8.3,0.0,Francisco Elson
0,851.0,-11.2,13.6,0,1,125,.333,13.2,.333,0,.333,0,.000,1,0,0,1,.000,2,25.0,UTA,2,-12,20101217,67,0.0,3,0,0.0,.333,7.2,1,0,1,0,1,4.4,0.0,Ronnie Price
0,649.0,-11.0,17.8,0,0,125,.250,18.1,.250,0,.250,0,.000,0,0,0,1,.000,2,0.0,UTA,2,-9,20101217,61,0.0,4,0,0.0,.250,0.0,0,0,1,0,1,0.0,0.0,Mehmet Okur
1,457.0,-7.5,11.9,0,0,118,.000,21.7,.000,0,.000,0,2.000,0,.000,0,0,0,0,0.0,UTA,0,-5,20101217,21,0.0,1,2,21.0,.000,0.0,1,0,0,0,1,8.2,0.0,Kyrylo Fesenko
5,2290.0,-4.8,27.2,1,6,83,.539,4.3,.500,3,.214,1,.286,2,.750,0,3,.000,3,27.6,NOH,17,+17,20101217,87,1.5,14,4,13.4,.500,8.4,7,0,7,1,1,11.4,2.0,Trevor Ariza
4,2040.0,17.1,21.0,1,2,81,.887,10.0,.778,9,.000,2,1.000,4,1.000,0,0,0,2,13.4,NOH,23,+24,20101217,167,1.6,9,9,12.0,.778,18.8,8,0,7,1,2,14.7,4.6,David West
6,1901.0,2.0,21.7,1,3,82,.481,49.8,.455,1,.000,0,.091,1,1.000,0,0,0,4,20.8,NOH,11,+18,20101217,114,1.7,11,1,19.3,.455,5.1,7,0,5,1,10,13.8,0.0,Chris Paul
