player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Carlos Boozer,2741.0,.657,.611,.000,.611,3.2,23.1,14.2,37.8,0.0,0.0,18.0,27.4,117,91,8.7,CHI,1,0,20101222,11,18,.611,0,0,0,8,11,.727,1,9,10,7,0,0,5,5,30,+9
Kurt Thomas,2437.0,.500,.500,.000,.000,14.3,8.6,11.2,4.1,1.3,3.6,42.9,7.7,79,90,-2.5,CHI,1,0,20101222,2,4,.500,0,0,0,0,0,0,4,3,7,1,1,2,3,6,4,+4
Derrick Rose,2290.0,.492,.429,.286,.476,3.8,12.3,8.5,32.0,1.4,5.8,13.6,34.6,97,87,6.5,CHI,1,0,20101222,9,21,.429,0,6,.000,7,10,.700,1,4,5,5,1,3,4,4,25,+1
Luol Deng,2238.0,.504,.462,.462,.154,0.0,15.7,8.7,0.0,0.0,2.0,22.4,21.6,80,92,-4.9,CHI,1,0,20101222,5,13,.385,2,6,.333,2,2,1.000,0,5,5,0,0,1,4,3,14,+3
Keith Bogans,1074.0,.258,.000,.667,.667,0.0,6.5,3.6,26.0,2.9,0.0,20.5,12.3,71,90,0.1,CHI,1,0,20101222,0,3,.000,0,2,.000,2,2,1.000,0,1,1,3,1,0,1,0,2,+9
Ronnie Brewer,1789.0,.600,.600,.000,.000,4.9,27.5,17.4,0.0,1.8,0.0,28.6,10.6,85,86,-1.0,CHI,0,0,20101222,3,5,.600,0,0,0,0,0,0,1,7,8,0,1,0,2,1,6,-2
Kyle Korver,844.0,.170,.000,.200,.400,0.0,8.3,4.6,11.0,3.7,0.0,0.0,18.8,52,87,-10.1,CHI,0,0,20101222,0,5,.000,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,3,2,+6
C.J. Watson,590.0,.250,.250,.250,.000,0.0,0.0,0.0,18.7,5.3,0.0,33.3,27.4,42,86,-11.2,CHI,0,0,20101222,1,4,.250,0,1,.000,0,0,0,0,0,0,1,1,0,2,0,2,+6
Ömer Aşık,366.0,1.136,0,0,0,47.7,38.4,42.5,0.0,0.0,24.2,0.0,6.5,233,67,21.0,CHI,0,0,20101222,0,0,0,0,0,0,2,2,1.000,2,2,4,0,0,2,0,1,2,-1
Taj Gibson,31.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,98,-3.3,CHI,0,0,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Scalabrine,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Johnson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Hinrich,2567.0,.542,.429,.071,.571,5.5,10.2,7.6,43.4,2.4,0.0,10.2,21.4,118,97,6.7,WAS,1,0,20101222,6,14,.429,0,1,.000,7,8,.875,2,3,5,9,2,0,2,4,19,-6
Nick Young,2366.0,.566,.553,.316,.053,0.0,3.7,1.6,6.4,2.7,2.1,17.1,27.9,91,97,2.4,WAS,1,0,20101222,9,19,.474,3,6,.500,1,1,1.000,0,1,1,1,2,1,4,4,22,-11
Andray Blatche,2197.0,.235,.214,.000,.143,6.4,15.9,10.6,10.1,4.3,0.0,21.2,24.2,49,92,-9.5,WAS,1,0,20101222,3,14,.214,0,0,0,1,2,.500,2,4,6,2,3,0,4,3,7,-1
Al Thornton,1746.0,.486,.400,.000,.300,4.0,15.0,8.9,0.0,0.0,0.0,0.0,18.2,107,101,-1.6,WAS,1,0,20101222,4,10,.400,0,0,0,3,3,1.000,1,3,4,0,0,0,0,1,11,-11
JaVale McGee,1725.0,.000,.000,.000,.000,8.1,40.5,22.6,11.1,0.0,5.9,25.0,6.5,46,91,-4.0,WAS,1,0,20101222,0,3,.000,0,0,0,0,0,0,2,8,10,2,0,2,1,3,0,-1
Josh Howard,1477.0,.637,.563,.125,.625,0.0,5.9,2.6,0.0,2.1,0.0,8.9,21.3,118,99,4.4,WAS,0,0,20101222,4,8,.500,1,1,1.000,4,5,.800,0,1,1,0,1,0,1,1,13,+2
Rashard Lewis,1349.0,.400,.400,.500,.000,5.2,12.9,8.7,9.9,0.0,3.7,16.7,25.0,73,99,-8.3,WAS,0,0,20101222,4,10,.400,0,5,.000,0,0,0,1,2,3,1,0,1,2,5,8,-8
Hilton Armstrong,638.0,0,0,0,0,11.0,27.4,18.3,15.0,9.8,0.0,100.0,4.4,65,77,4.2,WAS,0,0,20101222,0,0,0,0,0,0,0,0,0,1,2,3,1,2,0,1,2,0,+2
Lester Hudson,316.0,.000,.000,1.000,.000,0.0,0.0,0.0,30.4,0.0,0.0,0.0,8.9,43,104,-12.2,WAS,0,0,20101222,0,1,.000,0,1,.000,0,0,0,0,0,0,1,0,0,0,1,0,-1
Trevor Booker,20.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,104,-6.5,WAS,0,0,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Séraphin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cartier Martin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Lucas III,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,1,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joakim Noah,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,1,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yi Jianlian,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,1,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamady N'Diaye,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,1,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wall,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,1,20101222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
