threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.133,0,4,2,1.000,9.9,25,20101231,John Wall,1,.700,26.0,4,103,15,1,29.5,1.3,.667,0,4,0,2361.0,.500,0.0,1.0,WAS,10,7,.746,4,1,.267,3,108,3,0.0,4.4,-14,26.0
.300,1,5,3,.750,13.3,15,20101231,Rashard Lewis,2,.600,24.8,3,98,10,2,20.3,2.6,.500,0,4,2,2341.0,.667,5.2,9.0,WAS,5,3,.638,0,1,.400,6,117,4,2.1,8.8,+1,16.3
.063,3,0,1,0,34.2,8,20101231,Andray Blatche,0,.250,0.0,0,95,16,0,27.3,0.0,.250,0,0,3,2048.0,.000,9.0,-14.2,WAS,4,6,.250,3,1,.000,12,45,9,7.2,20.1,-22,27.7
.545,0,1,6,1.000,0.0,8,20101231,Nick Young,2,.273,5.8,2,108,11,0,20.2,0.0,.182,0,2,1,1794.0,.333,3.4,-12.7,WAS,2,3,.337,5,1,.182,1,66,0,0.0,1.9,-6,21.4
.000,0,0,0,.500,7.1,7,20101231,JaVale McGee,0,.500,0.0,1,100,6,1,0.0,2.7,.500,0,2,2,1101.0,0,11.1,-1.7,WAS,3,0,.509,4,1,.333,3,118,1,0.0,9.3,-18,16.1
.143,0,1,1,1.000,13.8,4,20101231,Cartier Martin,0,.143,8.9,2,105,7,0,0.0,0.0,.143,0,2,1,1132.0,.000,5.4,-7.7,WAS,1,0,.254,1,0,.286,3,73,2,0.0,9.1,-3,18.0
1.000,0,0,1,0,7.8,0,20101231,Hilton Armstrong,0,.000,0.0,0,100,1,1,0.0,3.0,.000,0,0,2,1000.0,.000,12.3,-4.2,WAS,0,0,.000,2,0,.000,3,82,1,0.0,10.3,+5,2.6
.000,0,0,0,1.000,7.9,10,20101231,Al Thornton,0,1.000,0.0,2,93,4,2,17.0,6.1,1.000,0,2,0,989.0,0,0.0,13.9,WAS,4,1,1.025,1,0,.500,1,163,1,0.0,3.5,+11,15.3
.600,0,0,3,.667,8.9,4,20101231,Josh Howard,0,.000,0.0,4,84,5,3,20.7,10.3,.000,0,6,2,878.0,.000,14.0,-3.1,WAS,0,2,.262,0,0,1.200,3,57,1,0.0,11.7,-10,28.3
.667,0,1,2,0,16.6,5,20101231,Lester Hudson,1,.833,32.7,0,104,3,0,0.0,0.0,.667,0,0,0,470.0,.500,0.0,12.3,WAS,2,0,.833,1,0,.000,1,177,1,0.0,7.3,+5,16.5
.000,0,0,0,0,81.6,0,20101231,Yi Jianlian,0,.000,0.0,0,88,2,0,0.0,0.0,.000,0,0,0,286.0,0,0.0,-14.4,WAS,0,0,.000,0,0,.000,3,0,3,0.0,36.0,+6,18.0
0,0,0,0,0,0,0,20101231,Trevor Booker,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0
.000,2,2,0,.833,9.7,17,20101231,Roy Hibbert,0,.462,10.6,5,96,13,0,30.9,0.0,.462,0,6,5,1887.0,0,20.6,-6.1,IND,6,7,.543,2,1,.462,8,89,3,5.0,14.5,+19,31.7
.214,0,6,3,0,13.4,18,20101231,Darren Collison,2,.643,37.3,0,94,14,1,12.5,1.6,.571,0,0,0,1827.0,.667,0.0,6.1,IND,8,2,.643,2,1,.000,4,126,4,0.0,7.5,+2,23.2
.500,1,0,3,0,20.1,3,20101231,Mike Dunleavy,1,.250,0.0,0,85,6,2,0.0,3.9,.167,0,0,0,1522.0,.333,0.0,-2.2,IND,1,0,.250,1,1,.000,5,61,5,3.1,11.3,+8,10.4
.083,0,2,1,.667,8.3,18,20101231,Danny Granger,0,.667,17.3,2,95,12,1,23.1,2.0,.667,0,3,1,1485.0,.000,5.2,-0.2,IND,8,4,.676,5,1,.250,3,106,2,0.0,6.9,+10,30.8
.333,0,2,1,0,34.1,2,20101231,Josh McRoberts,0,.333,12.8,0,84,3,1,40.0,2.4,.333,0,0,1,1259.0,.000,6.2,-2.3,IND,1,2,.333,0,1,.000,8,67,7,0.0,21.8,+4,10.5
.667,0,0,6,.667,7.4,11,20101231,Brandon Rush,1,.500,0.0,2,96,9,1,16.2,1.8,.444,0,3,0,1658.0,.167,0.0,-5.4,IND,4,2,.533,3,0,.333,2,93,2,0.0,4.1,-7,19.6
1.000,1,2,4,0,13.1,3,20101231,James Posey,1,.375,11.4,0,91,4,1,0.0,2.1,.250,0,0,1,1403.0,.250,5.5,3.8,IND,1,0,.375,1,0,.000,4,114,3,3.4,9.8,+9,7.5
.125,0,1,1,1.000,33.6,13,20101231,Paul George,0,.625,10.6,3,60,8,5,9.7,13.7,.625,0,3,1,1095.0,.000,7.1,21.2,IND,5,1,.697,3,0,.375,7,135,6,0.0,21.9,+7,24.9
.000,0,4,0,1.000,5.8,9,20101231,T.J. Ford,0,.667,40.4,1,82,6,3,13.4,8.6,.667,0,1,0,1053.0,0,0.0,15.5,IND,4,1,.699,1,0,.167,1,137,1,0.0,3.3,+7,18.7
.000,0,0,0,.500,6.2,1,20101231,Solomon Jones,0,.000,0.0,1,100,2,0,51.0,0.0,.000,0,2,1,993.0,0,7.8,-21.2,IND,0,3,.174,4,0,1.000,2,28,1,0.0,6.9,-10,15.7
.000,0,0,0,0,0.0,0,20101231,Tyler Hansbrough,0,.000,0.0,0,103,1,0,50.0,0.0,.000,0,0,1,218.0,0,35.7,-31.0,IND,0,1,.000,1,0,.000,1,28,0,0.0,15.7,-4,24.3
0,0,0,0,0,0,0,20101231,A.J. Price,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20101231,Kirk Hinrich,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20101231,Hamady N'Diaye,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20101231,Kevin Séraphin,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20101231,Jeff Foster,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20101231,Dahntay Jones,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20101231,Lance Stephenson,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
