player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Tyreke Evans,2906.0,.524,.500,.103,.345,2.3,5.2,3.7,20.5,2.9,0.0,15.2,33.1,97,107,0.1,SAC,1,0,20110121,14,29,.483,1,3,.333,6,10,.600,1,2,3,5,3,0,6,5,35,+2
Beno Udrih,2797.0,.546,.286,.143,1.000,0.0,10.8,5.1,20.0,3.0,0.0,33.2,13.2,92,106,-3.4,SAC,1,0,20110121,2,7,.286,0,1,.000,7,7,1.000,0,4,4,7,3,0,5,2,11,+1
Omri Casspi,2638.0,.467,.467,.400,.000,2.6,23.0,12.2,6.9,0.0,0.0,6.3,14.8,99,110,-3.2,SAC,1,0,20110121,6,15,.400,2,6,.333,0,0,0,1,8,9,2,0,0,1,3,14,-3
DeMarcus Cousins,2321.0,.512,.471,.000,.471,8.7,16.3,12.3,22.1,1.2,1.8,16.3,25.8,100,107,1.3,SAC,1,0,20110121,8,17,.471,0,0,0,5,8,.625,3,5,8,5,1,1,4,3,21,+1
Jason Thompson,2117.0,.510,.500,.000,.400,16.0,25.0,20.3,8.7,1.3,2.0,7.8,14.7,115,105,-0.3,SAC,1,0,20110121,5,10,.500,0,0,0,2,4,.500,5,7,12,2,1,1,1,6,12,-1
Carl Landry,1315.0,.579,.500,.000,1.000,5.1,23.0,13.6,0.0,0.0,0.0,18.8,19.7,100,110,-6.2,SAC,0,0,20110121,3,6,.500,0,0,0,4,6,.667,1,4,5,0,0,0,2,3,10,-5
Donté Greene,737.0,.500,.500,.250,.000,9.2,10.3,9.7,0.0,7.7,0.0,20.0,16.6,87,96,1.8,SAC,0,0,20110121,2,4,.500,0,1,.000,0,0,0,1,1,2,0,2,0,1,1,4,-3
Eugene Jeter,549.0,.644,.667,.333,.667,0.0,0.0,0.0,0.0,5.2,0.0,0.0,17.3,131,103,6.9,SAC,0,0,20110121,2,3,.667,0,1,.000,1,2,.500,0,0,0,0,1,0,0,0,5,-8
Samuel Dalembert,389.0,.000,.000,.000,.000,17.4,19.5,18.4,19.5,0.0,0.0,0.0,12.5,54,111,-6.8,SAC,0,0,20110121,0,2,.000,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,-11
Luther Head,132.0,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0,114,-22.9,SAC,0,0,20110121,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
Jermaine Taylor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20110121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darnell Jackson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20110121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monta Ellis,2939.0,.455,.431,.207,.138,0.0,9.2,4.9,27.0,2.9,1.3,18.5,33.3,88,100,-4.1,GSW,1,0,20110121,12,29,.414,1,6,.167,3,4,.750,0,4,4,9,3,1,7,4,28,+10
Dorell Wright,2769.0,.509,.455,.273,.364,0.0,29.3,15.5,8.0,3.1,1.4,19.0,14.7,92,95,-0.4,GSW,1,0,20110121,5,11,.455,0,3,.000,3,4,.750,0,12,12,3,3,1,3,2,13,+18
