player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Amar'e Stoudemire,2211.0,.436,.389,.000,.333,5.9,24.6,16.1,18.7,2.8,1.8,8.8,27.8,94,98,0.3,NYK,1,0,20110122,7,18,.389,0,0,0,4,6,.667,2,10,12,4,2,1,2,3,18,+3
Raymond Felton,2177.0,.313,.313,.250,.000,0.0,0.0,0.0,30.5,1.4,0.0,15.8,23.7,72,118,-11.3,NYK,1,0,20110122,5,16,.313,0,4,.000,0,0,0,0,0,0,7,1,0,3,1,10,+3
Landry Fields,1851.0,.698,.643,.429,.286,0.0,5.9,3.2,5.1,3.3,2.2,0.0,11.5,144,109,5.4,NYK,1,0,20110122,4,7,.571,1,3,.333,2,2,1.000,0,2,2,1,2,1,0,0,11,0
Danilo Gallinari,1742.0,.763,.708,.417,.583,0.0,12.5,6.8,6.5,1.8,4.7,0.0,23.5,155,107,14.3,NYK,1,0,20110122,7,12,.583,3,5,.600,6,7,.857,0,4,4,1,1,2,0,4,23,-2
Wilson Chandler,1099.0,.296,.250,.250,.125,0.0,4.9,2.7,16.5,0.0,7.4,19.2,25.8,59,115,-12.0,NYK,1,0,20110122,2,8,.250,0,2,.000,1,1,1.000,0,1,1,2,0,2,2,3,5,-5
Toney Douglas,1773.0,.479,.450,.300,.100,7.4,12.3,10.0,16.0,5.2,0.0,8.7,17.5,105,102,2.7,NYK,0,0,20110122,4,10,.400,1,3,.333,1,1,1.000,2,4,6,3,3,0,1,2,10,-3
Ronny Turiaf,1633.0,.735,1.000,.000,1.333,12.0,13.3,12.7,11.1,0.0,5.0,17.4,9.6,135,110,1.0,NYK,0,0,20110122,3,3,1.000,0,0,0,1,4,.250,3,4,7,2,0,2,1,4,7,-6
Shawne Williams,1204.0,.333,.333,.000,.000,10.9,22.6,17.3,6.9,2.6,3.4,40.0,11.3,68,99,-6.2,NYK,0,0,20110122,1,3,.333,0,0,0,0,0,0,2,5,7,1,1,1,2,3,2,+1
Henry Walker,711.0,.667,.667,1.000,.000,0.0,7.6,4.2,0.0,0.0,0.0,0.0,34.3,120,116,11.5,NYK,0,0,20110122,4,9,.444,4,9,.444,0,0,0,0,1,1,0,0,0,0,2,12,-6
Anthony Randolph,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20110122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timofey Mozgov,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20110122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Mason,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20110122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Durant,2506.0,.534,.460,.320,.280,2.2,28.7,14.2,10.2,0.0,0.0,9.7,30.3,117,107,4.2,OKC,1,0,20110122,10,25,.400,3,8,.375,7,7,1.000,1,11,12,2,0,0,3,3,30,+11
Russell Westbrook,2139.0,.623,.467,.000,1.133,10.2,3.1,6.9,27.4,2.9,2.2,18.2,31.4,122,105,11.9,OKC,1,0,20110122,7,15,.467,0,0,0,14,17,.824,4,1,5,5,2,1,5,3,28,+1
Jeff Green,1734.0,.318,.318,.091,.000,12.5,3.8,8.6,5.7,0.0,2.8,15.4,18.3,81,111,-6.4,OKC,1,0,20110122,3,11,.273,1,1,1.000,0,0,0,4,1,5,1,0,1,2,2,7,-6
Nenad Krstić,1335.0,.667,.667,.000,.000,12.2,14.7,13.3,0.0,6.9,0.0,0.0,16.5,152,95,11.8,OKC,1,0,20110122,6,9,.667,0,0,0,0,0,0,3,3,6,0,3,0,0,3,12,+3
Thabo Sefolosha,917.0,.129,.000,.000,.667,0.0,42.8,19.4,0.0,3.4,0.0,20.5,13.0,27,96,-7.8,OKC,1,0,20110122,0,3,.000,0,0,0,1,2,.500,0,6,6,0,1,0,1,0,1,+3
Serge Ibaka,1609.0,.533,.444,.000,.333,16.9,40.7,27.7,0.0,0.0,6.0,8.8,17.2,125,98,2.8,OKC,0,0,20110122,4,9,.444,0,0,0,3,3,1.000,5,10,15,0,0,2,1,3,11,-4
James Harden,1562.0,.335,.350,.400,.100,0.0,8.4,3.8,6.5,2.0,0.0,0.0,16.3,90,108,-3.6,OKC,0,0,20110122,3,10,.300,1,4,.250,0,1,.000,0,2,2,1,1,0,0,0,7,0
Nick Collison,1274.0,.543,.000,.000,4.000,21.3,0.0,11.7,0.0,2.4,3.8,26.6,7.2,121,105,-2.0,OKC,0,0,20110122,0,1,.000,0,0,0,3,4,.750,5,0,5,0,1,1,1,5,3,+8
Eric Maynor,741.0,.333,.333,.667,.000,0.0,0.0,0.0,25.8,0.0,0.0,40.0,16.5,59,114,-12.2,OKC,0,0,20110122,1,3,.333,0,2,.000,0,0,0,0,0,0,2,0,0,2,0,2,+2
Daequan Cook,582.0,.000,.000,1.000,.000,0.0,11.2,5.1,14.6,0.0,0.0,0.0,8.4,32,111,-8.6,OKC,0,0,20110122,0,2,.000,0,2,.000,0,0,0,0,1,1,1,0,0,0,0,0,-3
D.J. White,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OKC,0,0,20110122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Ivey,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OKC,0,0,20110122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelenna Azubuike,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,1,20110122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy Curry,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,1,20110122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
