threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.545,0,3,6,.667,7.0,22,20110205,Arron Afflalo,4,.909,11.7,2,108,11,0,0.0,0.0,.727,0,3,0,2260.0,.667,0.0,8.7,DEN,8,0,.893,3,1,.273,3,171,3,0.0,4.2,+17,15.1
.308,0,1,4,.625,11.8,25,20110205,Carmelo Anthony,2,.769,4.1,5,106,13,0,15.4,0.0,.692,0,8,0,2219.0,.500,0.0,1.5,DEN,9,3,.757,2,1,.615,5,119,5,0.0,7.1,+10,24.4
.667,0,13,6,1.000,12.6,21,20110205,Chauncey Billups,4,.889,51.9,5,106,9,0,0.0,0.0,.667,0,5,0,2081.0,.667,0.0,17.8,DEN,6,0,.938,1,1,.556,5,197,5,0.0,7.6,+11,15.0
.000,1,4,0,.000,13.8,12,20110205,Nenê Hilário,0,.545,17.9,0,104,11,0,14.9,0.0,.545,0,1,1,1902.0,0,4.2,-2.2,DEN,6,2,.524,4,1,.091,6,101,5,2.2,10.0,+19,19.6
.125,0,4,1,.500,23.0,7,20110205,Kenyon Martin,0,.375,23.0,1,101,8,0,10.1,0.0,.375,0,2,0,1366.0,.000,0.0,-5.0,DEN,3,1,.394,4,1,.250,6,90,6,0.0,13.9,+4,20.1
.364,0,2,4,1.000,22.3,14,20110205,J.R. Smith,1,.591,10.8,1,90,11,3,8.0,5.4,.545,0,1,0,1644.0,.250,0.0,6.7,DEN,6,1,.612,1,0,.091,7,112,7,0.0,13.5,+6,21.0
.364,0,0,4,0,21.5,8,20110205,Al Harrington,0,.364,0.0,0,98,11,1,8.3,2.0,.364,0,0,1,1459.0,.000,5.5,-9.5,DEN,4,1,.364,1,0,.000,7,70,6,0.0,15.2,+2,22.8
.667,0,2,2,0,13.1,0,20110205,Anthony Carter,0,.000,16.8,0,105,3,0,50.0,0.0,.000,0,0,0,799.0,.000,0.0,-25.6,DEN,0,3,.000,3,0,.000,2,22,2,0.0,7.9,+2,20.9
.000,1,1,0,1.000,0.0,4,20110205,Chris Andersen,0,1.000,21.8,2,103,1,0,34.7,0.0,1.000,0,2,2,374.0,0,42.8,14.8,DEN,1,1,1.064,1,0,2.000,2,162,0,11.3,16.9,+2,21.4
.000,0,0,0,0,35.4,0,20110205,Shelden Williams,0,.000,0.0,0,95,1,0,75.0,0.0,.000,0,0,1,296.0,0,27.0,-43.7,DEN,0,3,.000,2,0,.000,3,22,2,0.0,32.1,-8,37.5
0,0,0,0,0,0,0,20110205,Gary Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20110205,Renaldo Balkman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0
.200,0,5,4,.667,10.2,23,20110205,Michael Beasley,1,.375,21.6,8,118,20,1,0.0,1.3,.350,0,12,1,2347.0,.250,2.2,1.5,MIN,7,0,.455,2,1,.600,4,107,3,0.0,5.4,-11,27.1
.000,3,0,0,0,14.4,10,20110205,Darko Miličić,0,.556,0.0,0,111,9,1,18.2,1.3,.556,0,0,1,2229.0,0,2.3,-5.3,MIN,5,2,.556,4,1,.000,5,90,4,7.5,7.1,-10,12.4
.214,0,2,3,.857,48.6,18,20110205,Kevin Love,0,.429,9.3,6,117,14,0,10.5,0.0,.429,0,7,6,2141.0,.000,14.7,0.0,MIN,6,2,.527,1,1,.500,19,113,13,0.0,28.1,-15,22.4
.385,0,4,5,0,4.2,11,20110205,Jonny Flynn,1,.423,20.7,0,118,13,1,7.1,1.6,.385,0,0,0,1890.0,.200,0.0,-6.0,MIN,5,1,.423,2,1,.000,1,91,1,0.0,1.7,-14,18.6
.200,1,5,2,1.000,19.8,15,20110205,Corey Brewer,2,.700,34.0,1,117,10,0,0.0,0.0,.600,0,1,1,1613.0,1.000,3.2,9.5,MIN,6,0,.718,4,1,.100,5,155,4,3.4,9.8,-10,16.3
.636,0,2,7,0,18.1,10,20110205,Wesley Johnson,2,.455,15.4,0,110,11,2,8.3,4.5,.364,0,0,1,1324.0,.286,4.0,2.2,MIN,4,1,.455,1,0,.000,4,93,3,0.0,9.6,-5,22.8
.333,0,3,3,.500,8.1,7,20110205,Sebastian Telfair,0,.333,30.9,1,115,9,1,9.2,3.0,.333,0,2,2,990.0,.000,10.6,-2.8,MIN,3,1,.354,1,0,.222,3,86,1,0.0,9.6,+1,27.7
