stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.3,14.3,1,2441.0,1,4,.000,.333,4,0,0,.000,2,8,12,.333,0,7,1,1,+1,.167,.333,Luol Deng,19.7,0.0,0,CHI,96,20110209,-3.3,16.7,0,7,70,16.1,1.7,2,0,9.3
1.4,3.4,2,2333.0,0,11,.400,.514,7,0,1.000,.192,5,29,26,.423,5,1,1,1,+1,.192,.462,Derrick Rose,2.9,5.3,5,CHI,102,20110209,11.2,44.5,2,3,115,35.2,0.0,1,2,4.2
3.2,10.6,2,2004.0,0,6,0,.415,3,0,1.000,.125,0,14,16,.375,2,4,2,1,-2,.000,.375,Carlos Boozer,13.7,6.1,2,CHI,95,20110209,0.2,17.7,2,6,88,26.5,0.0,2,0,9.7
0.0,0.0,5,1975.0,0,4,0,.500,0,0,0,.000,0,8,8,.500,0,2,0,1,-4,.000,.500,Kurt Thomas,6.9,6.2,0,CHI,102,20110209,-5.4,0.0,2,4,112,11.4,0.0,0,0,6.6
3.2,20.5,0,1017.0,1,2,.667,.902,1,0,.500,.667,3,7,3,.667,2,2,1,1,+2,1.000,1.000,Keith Bogans,13.5,0.0,1,CHI,93,20110209,14.1,10.4,0,2,133,13.5,4.0,1,2,6.4
0.0,25.0,2,1119.0,1,2,1.000,.833,0,0,0,.000,1,5,3,.667,0,1,0,0,+3,.333,.833,Kyle Korver,6.1,0.0,0,CHI,100,20110209,-1.2,0.0,0,1,110,10.0,3.7,1,1,2.9
3.0,0.0,1,1089.0,0,0,.000,.399,1,0,.750,2.000,3,6,4,.000,8,6,1,0,+5,.750,.000,Ronnie Brewer,37.8,0.0,6,CHI,89,20110209,0.4,8.0,0,6,97,19.4,0.0,0,0,17.8
3.6,21.6,1,905.0,1,0,0,.549,0,0,.667,6.000,0,4,1,.000,6,4,1,0,+9,.000,.000,Ömer Aşık,30.3,20.3,4,CHI,86,20110209,3.2,0.0,3,7,115,14.4,4.5,1,0,25.0
3.7,0.0,3,869.0,1,2,.000,.286,0,0,0,.000,1,4,7,.286,0,3,1,0,+7,.143,.286,Taj Gibson,23.7,14.1,0,CHI,86,20110209,-5.7,0.0,2,5,77,22.6,4.7,0,0,18.6
0.0,0.0,1,648.0,0,2,0,.694,1,0,.667,1.000,0,6,3,.667,3,0,0,0,+3,.000,.667,C.J. Watson,0.0,0.0,2,CHI,105,20110209,4.6,18.4,0,0,148,18.7,0.0,0,0,0.0
