blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.313,16.0,2.6,114,4,13,.600,22.4,5,2,-14,84,1,2,20110301,2268.0,2,Monta Ellis,16,3,0,.188,0,.313,0,0,-6.6,2.8,.357,GSW,3,5,.313,1,0.0,2,.000,5.2,5.8
1.9,.412,34.0,0.0,115,7,20,1.000,28.9,7,6,-19,101,5,5,20110301,2093.0,0,Stephen Curry,17,2,0,.471,1,.529,1,4,0.1,9.2,.559,GSW,8,2,.118,1,3.0,5,.500,21.9,15.6
1.9,.500,0.0,0.0,113,0,19,.714,22.8,7,11,-14,118,1,7,20110301,2093.0,0,David Lee,14,5,0,.000,1,.500,4,0,0.1,16.8,.556,GSW,0,7,.500,1,12.0,1,0,5.5,21.9
2.8,.222,11.7,0.0,117,2,6,0,18.3,2,2,-26,74,1,2,20110301,1443.0,0,Dorell Wright,9,0,0,.667,1,.333,0,2,-8.5,4.4,.333,GSW,6,0,.000,1,0.0,4,.333,10.0,9.1
0.0,.000,0.0,0.0,117,0,0,0,19.5,0,5,-22,33,2,2,20110301,814.0,0,Andris Biedriņš,4,0,0,.000,0,.000,3,0,-24.6,19.7,.000,GSW,0,0,.000,1,23.1,2,0,33.3,16.1
0.0,.714,19.3,0.0,118,2,25,0,24.0,10,4,+14,176,0,3,20110301,1544.0,0,Reggie Williams,14,0,0,.500,0,.893,1,5,21.0,8.3,.893,GSW,7,0,.000,0,4.1,2,.714,0.0,12.7
10.8,.667,7.8,0.0,106,1,4,0,7.1,2,4,+10,143,0,4,20110301,1122.0,0,Ekpe Udoh,3,0,0,.000,3,.667,0,0,4.0,11.4,.667,GSW,0,0,.000,0,0.0,3,0,0.0,23.3
3.8,.250,7.5,2.8,109,1,4,1.000,14.4,1,3,+2,89,1,2,20110301,1081.0,1,Vladimir Radmanović,4,2,0,.500,1,.250,1,0,-5.1,8.9,.410,GSW,2,2,.500,0,5.8,4,.000,17.0,12.1
0.0,.500,9.5,0.0,114,1,6,0,18.1,3,4,+5,91,1,4,20110301,1025.0,0,Acie Law,6,0,0,.167,0,.500,0,0,-5.9,12.5,.500,GSW,1,0,.000,0,0.0,0,.000,14.3,25.5
0.0,.500,16.2,0.0,118,1,3,.500,14.0,1,2,+9,132,0,1,20110301,543.0,0,Lou Amundson,2,1,0,.000,0,.500,1,0,-1.0,11.8,.521,GSW,0,2,1.000,0,11.5,2,0,0.0,12.1
0.0,0,0.0,8.0,99,0,0,0,0.0,0,1,+10,0,0,1,20110301,374.0,1,Jeremy Lin,0,0,0,0,0,0,0,0,-0.1,8.6,0,GSW,0,0,0,0,0.0,1,0,0,17.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Jeff Adrien,0,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
9.3,.417,19.2,1.5,98,4,12,1.000,19.1,5,9,+5,102,2,6,20110301,2008.0,1,Roy Hibbert,12,2,0,.000,4,.417,3,0,3.9,14.3,.466,IND,0,2,.167,1,9.8,3,0,13.4,18.7
2.4,.455,9.9,0.0,106,2,27,1.000,27.6,5,7,+10,140,3,6,20110301,1964.0,0,Danny Granger,11,16,0,.182,1,.500,1,1,7.9,11.4,.748,IND,2,16,1.455,1,3.3,4,.500,14.3,19.1
0.0,.571,6.0,0.0,114,1,13,.833,16.9,4,0,+12,130,1,0,20110301,1618.0,0,Darren Collison,7,5,0,.143,0,.571,0,0,-3.3,0.0,.674,IND,1,6,.857,1,0.0,2,.000,9.4,0.0
0.0,.500,26.2,6.0,93,4,8,0,13.8,4,7,0,123,0,6,20110301,1498.0,3,Josh McRoberts,8,0,0,.125,0,.500,1,0,10.2,15.0,.500,IND,1,0,.000,1,4.4,1,.000,0.0,25.1
0.0,.429,6.3,2.0,106,1,8,1.000,13.0,3,3,+8,119,0,3,20110301,1476.0,1,Brandon Rush,7,1,0,.429,0,.500,0,1,0.9,6.5,.538,IND,3,1,.143,1,0.0,1,.333,0.0,12.7
