blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
1.9,.533,20.6,2.5,102,5,25,.900,24.3,8,7,-3,116,5,4,20110301,2586.0,2,Rodney Stuckey,15,9,0,.133,1,.533,3,0,6.5,8.1,.644,DET,2,10,.667,1,6.7,4,.000,20.5,9.7
2.2,.600,4.7,0.0,108,1,13,.333,16.8,6,9,+9,103,3,3,20110301,2193.0,0,Greg Monroe,10,1,0,.000,1,.600,6,0,-1.8,12.3,.574,DET,0,3,.300,1,15.8,2,0,20.9,8.6
0.0,.333,18.0,1.5,106,4,10,0,16.0,4,5,+6,102,1,3,20110301,2097.0,1,Ben Gordon,12,0,0,.250,0,.417,2,2,0.7,7.2,.417,DET,3,0,.000,1,5.5,1,.667,7.7,9.0
0.0,.375,5.7,0.0,103,1,6,0,14.1,3,5,-1,78,1,5,20110301,1646.0,0,Austin Daye,8,0,0,.375,0,.375,0,0,-8.9,9.1,.375,DET,3,0,.000,1,0.0,4,.000,11.1,19.0
5.1,.250,0.0,0.0,100,0,2,0,11.0,1,4,-10,72,0,3,20110301,937.0,0,Chris Wilcox,4,0,0,.000,1,.250,1,0,-8.2,12.8,.250,DET,0,0,.000,1,6.1,2,0,0.0,20.0
0.0,.235,19.3,4.1,101,3,10,.667,30.2,4,2,+4,75,0,2,20110301,1562.0,2,Richard Hamilton,17,2,0,.176,0,.235,0,0,-3.6,3.8,.273,DET,3,3,.176,0,0.0,0,.000,0.0,8.0
3.2,.417,7.2,2.1,93,1,12,.000,25.4,5,9,+1,91,2,7,20110301,1508.0,1,Charlie Villanueva,12,0,0,.333,1,.500,2,2,3.4,17.9,.466,DET,4,2,.167,0,7.6,1,.500,13.4,29.1
0.0,.286,29.7,3.3,104,3,4,0,23.9,2,0,-4,63,2,0,20110301,969.0,1,Will Bynum,7,0,0,.143,0,.286,0,0,-13.1,0.0,.286,DET,1,0,.000,0,0.0,4,.000,22.2,0.0
0.0,.750,0.0,0.0,105,0,8,1.000,18.5,3,5,-9,179,0,2,20110301,681.0,0,Jason Maxiell,4,2,0,.000,0,.750,3,0,15.7,22.0,.820,DET,0,2,.500,0,25.4,0,0,0.0,18.4
0.0,0,0.0,0.0,106,0,0,0,0.0,0,0,-3,0,0,0,20110301,221.0,0,DaJuan Summers,0,0,0,0,0,0,0,0,-22.5,0.0,0,DET,0,0,0,0,0.0,3,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Tayshaun Prince,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Tracy McGrady,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0
3.4,.417,16.9,5.4,88,4,16,.750,17.8,5,10,-6,124,2,8,20110301,2354.0,4,Carlos Delfino,12,3,0,.583,2,.542,2,3,13.0,12.7,.581,MIL,7,4,.333,1,5.3,0,.429,12.7,19.6
1.7,.500,9.2,0.0,105,2,14,.000,17.3,6,4,+1,104,2,4,20110301,2292.0,0,John Salmons,12,0,0,.333,1,.583,0,2,-3.7,5.2,.543,MIL,4,2,.167,1,0.0,4,.500,13.4,10.1
1.8,.421,22.3,3.0,97,4,21,.750,29.6,8,5,-2,106,3,5,20110301,2135.0,2,Brandon Jennings,19,3,0,.368,1,.474,0,2,4.5,7.0,.506,MIL,7,4,.211,1,0.0,1,.286,12.6,13.5
6.5,.167,0.0,0.0,96,0,2,.000,12.9,1,8,+3,32,2,7,20110301,1827.0,0,Larry Sanders,6,0,0,.000,3,.167,1,0,-12.8,13.1,.145,MIL,0,2,.333,1,3.4,5,0,22.5,22.1
0.0,.667,13.3,2.0,105,2,8,0,11.9,4,8,-2,144,1,1,20110301,1571.0,1,Jon Brockman,6,0,0,.000,0,.667,7,0,5.1,15.3,.667,MIL,0,0,.000,1,27.9,1,0,14.3,3.7
0.0,.556,17.9,0.0,109,2,12,1.000,22.9,5,1,+3,116,2,1,20110301,1332.0,0,Keyon Dooling,9,1,0,.333,0,.611,0,1,-1.2,2.3,.636,MIL,3,1,.111,0,0.0,1,.333,17.5,4.3
0.0,.429,0.0,0.0,103,0,11,.500,29.5,3,5,+1,90,3,3,20110301,1221.0,0,Corey Maggette,7,4,0,.143,0,.500,2,1,-8.3,12.3,.523,MIL,1,8,1.143,0,10.3,3,1.000,22.2,14.2
4.2,.286,0.0,0.0,96,0,4,0,19.8,2,9,+5,98,0,4,20110301,942.0,0,Earl Barron,7,0,0,.000,1,.286,5,0,-5.4,28.7,.286,MIL,0,0,.000,0,33.2,1,0,0.0,24.5
0.0,.200,12.8,0.0,111,1,4,1.000,21.6,1,0,+7,96,0,0,20110301,726.0,0,Earl Boykins,5,2,0,.200,0,.200,0,0,-10.5,0.0,.340,MIL,1,2,.400,0,0.0,1,.000,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Luc Mbah a Moute,0,0,0,0,0,0,0,0,0,0,0,MIL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Chris Douglas-Roberts,0,0,0,0,0,0,0,0,0,0,0,MIL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Andrew Bogut,0,0,0,0,0,0,0,0,0,0,0,MIL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Jonas Jerebko,0,0,1,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Ben Wallace,0,0,1,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Terrico White,0,0,1,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Drew Gooden,0,0,1,0,0,0,0,0,0,0,0,MIL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Ersan İlyasova,0,0,1,0,0,0,0,0,0,0,0,MIL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110301,0.0,0,Michael Redd,0,0,1,0,0,0,0,0,0,0,0,MIL,0,0,0,0,0,0,0,0,0
