threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.273,1,4,3,0,11.7,5,20110311,Ray Allen,1,.227,16.1,0,99,11,1,8.3,1.4,.182,0,0,0,2345.0,.333,0.0,-4.9,BOS,2,1,.227,0,1,.000,4,56,4,1.8,5.5,-6,14.9
.286,1,5,2,.750,19.3,11,20110311,Paul Pierce,0,.571,24.4,3,100,7,0,25.5,0.0,.571,0,4,1,2135.0,.000,2.9,-0.2,BOS,4,3,.628,5,1,.571,7,103,6,2.0,10.6,0,16.1
.000,0,5,0,0,13.1,12,20110311,Rajon Rondo,0,.500,27.7,0,101,12,1,14.3,1.5,.500,0,0,0,2099.0,0,0.0,-1.0,BOS,6,2,.500,0,1,.000,4,91,4,0.0,6.2,-2,19.4
.000,0,0,0,.667,37.4,16,20110311,Nenad Krstić,0,.400,0.0,4,96,15,1,5.4,1.6,.400,0,6,4,2016.0,0,12.2,-1.3,BOS,6,1,.454,3,1,.400,15,95,11,0.0,24.1,-6,27.0
.000,1,5,0,1.000,20.5,14,20110311,Kevin Garnett,0,.385,27.7,4,100,13,0,11.9,0.0,.385,0,4,0,2009.0,0,0.0,3.2,BOS,5,2,.474,1,1,.308,6,93,6,2.1,9.7,-2,24.3
.286,2,1,4,1.000,9.4,18,20110311,Jeff Green,2,.571,10.3,2,97,14,0,0.0,0.0,.500,0,2,2,1455.0,.500,8.4,11.4,BOS,7,0,.605,4,0,.143,4,121,2,5.9,8.9,+9,29.8
.500,0,2,1,0,11.6,2,20110311,Sasha Pavlović,0,.500,16.0,0,104,2,0,33.3,0.0,.500,0,0,0,1179.0,.000,0.0,-4.7,BOS,1,1,.500,2,0,.000,2,80,2,0.0,5.5,+1,7.4
.333,0,2,1,1.000,0.0,6,20110311,Carlos Arroyo,0,.333,24.7,4,97,3,1,17.4,4.0,.333,0,4,1,793.0,.000,7.7,7.9,BOS,1,1,.630,1,0,1.333,1,122,0,0.0,4.1,-2,21.2
.000,0,0,0,0,54.9,2,20110311,Troy Murphy,0,1.000,0.0,0,97,1,0,0.0,0.0,1.000,0,0,0,250.0,0,0.0,11.3,BOS,1,0,1.000,0,0,.000,2,200,2,0.0,25.9,-5,11.7
.000,0,0,0,0,0.0,0,20110311,Avery Bradley,0,.000,0.0,0,106,1,0,0.0,0.0,.000,0,0,0,119.0,0,0.0,-25.9,BOS,0,0,.000,0,0,.000,0,0,0,0.0,0.0,-2,24.5
0,0,0,0,0,0,0,20110311,Von Wafer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20110311,Glen Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0
.231,0,7,3,.500,10.8,9,20110311,Jrue Holiday,0,.308,31.8,1,98,13,1,12.6,1.4,.308,0,2,0,2268.0,.000,0.0,-6.3,PHI,4,2,.324,2,1,.154,4,73,4,0.0,5.7,+5,20.8
.571,1,0,4,1.000,8.4,12,20110311,Jodie Meeks,2,.571,0.0,4,97,7,1,0.0,1.5,.429,0,4,0,2201.0,.500,0.0,2.9,PHI,3,0,.685,1,1,.571,3,135,3,1.9,4.4,+5,11.8
.273,1,8,3,.500,22.7,13,20110311,Andre Iguodala,2,.545,40.6,1,93,11,1,14.4,1.5,.455,0,2,1,2155.0,.667,3.2,7.2,PHI,5,2,.547,2,1,.182,9,107,8,2.0,13.5,+6,19.1
.000,2,0,0,.500,15.4,14,20110311,Elton Brand,0,.429,0.0,2,86,14,3,0.0,4.8,.429,0,4,0,1986.0,0,0.0,2.8,PHI,6,0,.444,1,1,.286,5,86,5,4.3,8.1,+4,23.6
.200,1,3,2,.500,29.4,14,20110311,Spencer Hawes,1,.650,19.3,1,95,10,0,0.0,0.0,.600,0,2,1,1877.0,.500,3.7,10.5,PHI,6,0,.643,0,1,.200,10,131,9,2.3,17.2,+4,17.2
