trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
2,.462,2,140,20.4,3.1,.308,5,DEN,.692,.500,23,Ty Lawson,4,.833,20110314,1,13,7.9,1,45.2,112,3.6,2.8,24.7,10,0,1,2,.735,2170.0,0,4,0.0,8,2,.615,6,4.3,+10
7,.308,2,129,11.9,22.8,.385,3,DEN,.692,.800,21,Wilson Chandler,5,.750,20110314,0,13,4.3,7,9.3,112,13.3,0.0,22.2,2,0,1,4,.711,2054.0,1,2,2.2,7,0,.538,4,0.0,+13
13,.143,3,103,35.0,24.5,.000,1,DEN,.571,0,9,Nenê Hilário,0,1.000,20110314,6,7,-5.6,7,4.4,111,26.5,0.0,16.3,1,0,1,0,.605,1910.0,1,4,2.4,4,0,.571,1,29.2,+9
9,.000,3,130,10.0,26.6,.111,0,DEN,.556,.000,10,Kenyon Martin,1,0,20110314,2,9,9.6,7,20.5,95,19.9,7.0,15.5,4,0,1,0,.556,1762.0,1,1,2.6,5,4,.556,0,10.5,+5
0,.000,0,29,75.0,0.0,.000,0,DEN,1.000,0,2,Gary Forbes,0,0,20110314,0,1,-24.1,0,0.0,119,0.0,0.0,31.9,0,0,1,0,1.000,342.0,0,3,0.0,1,0,1.000,0,0.0,-9
3,.333,2,172,6.8,7.9,.750,2,DEN,.833,.667,22,Raymond Felton,9,.500,20110314,0,12,11.4,3,42.5,115,4.6,1.2,15.8,12,0,0,6,.799,2538.0,0,1,0.0,7,1,.583,4,0.0,+20
3,.333,2,113,12.7,13.1,.667,3,DEN,.625,.625,18,J.R. Smith,8,.750,20110314,0,12,2.8,3,0.0,107,7.6,4.0,28.0,0,0,0,5,.654,1536.0,0,2,0.0,5,2,.417,4,0.0,-1
4,1.000,4,222,0.0,14.9,.000,3,DEN,1.000,0,9,Chris Andersen,0,1.000,20110314,1,3,4.8,3,0.0,110,11.5,0.0,8.7,0,0,0,0,1.042,1349.0,2,0,6.8,3,0,1.000,3,6.9,+6
2,.000,1,0,44.4,18.1,.400,0,DEN,.000,.000,0,Al Harrington,2,0,20110314,0,5,-41.8,2,0.0,115,10.5,0.0,33.2,0,0,0,0,.000,739.0,0,4,0.0,0,0,.000,0,0.0,+2
0,0,0,0,0,0,0,0,DEN,0,0,0,Timofey Mozgov,0,0,20110314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DEN,0,0,0,Kosta Koufos,0,0,20110314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DEN,0,0,0,Melvin Ely,0,0,20110314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
5,.563,2,139,9.1,18.4,.313,7,NOH,.625,.400,27,Chris Paul,5,.778,20110314,0,16,16.7,5,38.5,108,7.7,8.5,23.6,10,0,1,2,.676,2518.0,0,2,0.0,9,7,.563,9,0.0,-6
4,.222,1,73,23.3,19.9,.000,2,NOH,.222,0,6,David West,0,1.000,20110314,0,9,-4.2,4,25.1,121,8.4,1.6,18.7,6,0,1,0,.304,1864.0,2,3,6.7,2,1,.222,2,0.0,-18
7,.000,3,161,0.0,27.5,.000,0,NOH,.750,0,6,Emeka Okafor,0,0,20110314,2,4,0.6,5,0.0,116,16.1,3.6,6.4,0,0,1,0,.750,1690.0,1,0,3.7,3,2,.750,0,7.9,-3
1,.000,1,88,9.1,6.6,.800,0,NOH,.450,.375,9,Marco Belinelli,8,0,20110314,0,10,-7.9,1,6.0,131,2.7,0.0,21.0,1,0,1,3,.450,1416.0,0,1,0.0,3,0,.300,0,0.0,+2
2,.333,2,86,22.5,7.0,.111,2,NOH,.444,.000,10,Trevor Ariza,1,.667,20110314,1,9,-8.4,1,13.8,126,5.8,2.3,27.0,2,0,1,0,.484,1335.0,0,3,0.0,4,1,.444,3,5.0,-15
2,.063,4,106,5.7,5.3,.250,1,NOH,.531,.750,18,Willie Green,4,1.000,20110314,1,16,-3.6,1,0.0,127,4.4,1.7,26.8,0,0,0,3,.547,1759.0,0,1,0.0,7,1,.438,1,3.8,+1
1,.000,0,94,20.0,7.1,.250,0,NOH,.563,.500,9,Jarrett Jack,2,0,20110314,0,8,-3.6,1,14.0,126,3.0,2.3,20.6,2,0,0,1,.563,1314.0,0,2,0.0,4,1,.500,0,0.0,-10
1,.667,3,139,0.0,0.0,.000,1,NOH,.667,0,5,Carl Landry,0,.500,20110314,1,3,-7.7,0,0.0,132,3.3,0.0,8.9,0,0,0,0,.644,1185.0,0,0,0.0,2,0,.667,2,5.7,-5
5,.000,0,110,25.0,12.3,.000,0,NOH,.667,0,8,Jason Smith,0,0,20110314,4,6,-3.2,1,0.0,130,25.8,0.0,28.7,0,0,0,0,.667,754.0,0,2,0.0,4,0,.667,0,35.5,+8
0,.000,1,118,0.0,0.0,.667,0,NOH,.500,.500,3,Quincy Pondexter,2,0,20110314,0,3,1.7,0,31.9,132,0.0,0.0,27.2,1,0,0,1,.500,298.0,0,0,0.0,1,0,.333,0,0.0,-5
3,.000,0,208,0.0,69.9,.000,0,NOH,1.000,0,2,Aaron Gray,0,0,20110314,1,1,8.9,2,0.0,117,43.9,0.0,10.2,0,0,0,0,1.000,266.0,0,0,0.0,1,0,1.000,0,25.2,-4
0,0,0,0,0,0,0,0,NOH,0,0,0,David Andersen,0,0,20110314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DEN,0,0,0,Arron Afflalo,0,0,20110314,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
