player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Sam Young,2497.0,.463,.409,.136,.182,9.1,12.1,10.6,17.2,2.4,0.0,11.2,26.3,102,113,-0.5,MEM,1,0,20110413,8,22,.364,2,3,.667,4,4,1.000,3,4,7,4,2,0,3,0,22,-4
Greivis Vásquez,1971.0,.743,.727,.182,.091,0.0,0.0,0.0,22.7,0.0,0.0,14.9,16.7,131,121,1.6,MEM,1,0,20110413,7,11,.636,2,2,1.000,1,1,1.000,0,0,0,4,0,0,2,1,17,-8
Darrell Arthur,1853.0,.298,.200,.000,.400,12.3,24.5,18.4,14.2,3.2,2.4,14.5,18.2,80,106,-6.7,MEM,1,0,20110413,2,10,.200,0,0,0,3,4,.750,3,6,9,3,2,1,2,6,7,-2
O.J. Mayo,1805.0,.505,.455,.545,.182,0.0,8.4,4.2,21.5,3.3,2.4,29.6,23.0,82,110,-4.4,MEM,1,0,20110413,4,11,.364,2,6,.333,2,2,1.000,0,2,2,4,2,1,5,5,12,-10
Marc Gasol,1608.0,.455,.455,.000,.000,9.4,23.6,16.5,13.2,0.0,2.7,8.3,18.3,102,113,-4.2,MEM,1,0,20110413,5,11,.455,0,0,0,0,0,0,2,5,7,2,0,1,1,4,10,-4
Shane Battier,1697.0,.637,.563,.500,.625,8.9,26.8,17.9,17.4,0.0,0.0,16.4,17.6,123,114,2.6,MEM,0,0,20110413,4,8,.500,1,4,.250,4,5,.800,2,6,8,3,0,0,2,1,13,-7
Ish Smith,1505.0,.926,1.000,.000,1.000,5.0,5.0,5.0,19.0,2.0,0.0,48.1,13.6,96,115,-2.4,MEM,0,0,20110413,3,3,1.000,0,0,0,2,3,.667,1,1,2,3,1,0,4,2,8,+3
Hamed Haddadi,796.0,.694,.600,.000,1.000,9.5,19.0,14.3,0.0,3.7,5.5,0.0,22.2,154,104,8.3,MEM,0,0,20110413,3,5,.600,0,0,0,4,5,.800,1,2,3,0,1,1,0,3,10,+11
Leon Powe,669.0,.420,.000,.000,1.333,11.3,0.0,5.7,23.9,0.0,0.0,29.6,24.8,86,120,-10.8,MEM,0,0,20110413,0,3,.000,0,0,0,4,4,1.000,1,0,1,2,0,0,2,2,4,-14
Zach Randolph,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,20110413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
