threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.000,1,6,0,0,30.8,6,20110504,Al Horford,0,.250,29.2,0,97,12,0,14.3,0.0,.250,0,0,2,2612.0,0,4.1,-3.0,ATL,3,2,.250,1,1,.000,14,64,12,1.8,15.9,-13,15.5
.200,0,1,3,.500,10.7,16,20110504,Joe Johnson,1,.500,6.4,1,93,15,5,11.2,6.6,.467,0,2,1,2500.0,.333,2.1,4.4,ATL,7,2,.504,2,1,.133,5,90,4,0.0,5.9,-7,20.7
.143,2,3,2,.857,5.6,21,20110504,Jeff Teague,1,.536,20.7,6,99,14,3,0.0,4.2,.500,0,7,0,2379.0,.500,0.0,13.6,ATL,7,0,.615,2,1,.500,2,130,2,3.9,2.5,-7,20.8
.143,4,3,2,.714,9.4,13,20110504,Josh Smith,0,.286,19.6,5,100,14,1,19.0,1.5,.286,0,7,3,2141.0,.000,7.5,-1.4,ATL,4,4,.381,4,1,.500,6,74,3,8.7,8.3,-4,28.5
.111,2,0,1,.000,18.6,4,20110504,Marvin Williams,0,.222,0.0,0,95,9,1,0.0,2.3,.222,0,2,3,1438.0,.000,11.1,-4.5,ATL,2,0,.202,2,1,.222,7,57,4,6.5,14.5,-11,19.9
.500,0,1,5,1.000,0.0,11,20110504,Jamal Crawford,1,.250,6.0,6,112,10,0,13.7,0.0,.200,0,6,0,2074.0,.200,0.0,-8.7,ATL,2,2,.435,2,0,.600,0,82,0,0.0,0.0,-9,20.4
.000,0,0,0,0,14.0,0,20110504,Zaza Pachulia,0,.000,0.0,0,106,1,0,50.0,0.0,.000,0,0,1,480.0,0,11.1,-18.7,ATL,0,1,.000,1,0,.000,2,26,1,0.0,12.4,-4,12.1
.000,1,0,0,0,32.2,2,20110504,Damien Wilkins,0,1.000,0.0,0,91,1,0,50.0,0.0,1.000,0,0,0,416.0,0,0.0,3.5,ATL,1,1,1.000,0,0,.000,2,75,2,11.2,14.3,-6,13.9
0,0,0,0,0,0.0,0,20110504,Jason Collins,0,0,0.0,0,112,0,0,0,0.0,0,0,0,0,196.0,0,0.0,-13.5,ATL,0,0,0,1,0,0,0,0,0,0.0,0.0,-1,0.0
.000,0,0,0,0,100.0,0,20110504,Hilton Armstrong,0,.000,0.0,0,57,1,0,0.0,0.0,.000,0,0,0,55.0,0,0.0,-33.4,ATL,0,0,.000,0,0,.000,1,0,1,0.0,54.0,-1,52.6
0,0,0,0,0,0.0,0,20110504,Pape Sy,0,0,0.0,0,113,0,0,0,0.0,0,0,0,0,55.0,0,0.0,-8.6,ATL,0,0,0,0,0,0,0,0,0,0.0,0.0,-1,0.0
0,0,0,0,0,0.0,0,20110504,Josh Powell,0,0,0.0,0,113,0,0,0,0.0,0,0,0,0,55.0,0,0.0,-7.9,ATL,0,0,0,0,0,0,0,0,0,0.0,0.0,-1,0.0
.154,1,2,2,1.000,21.2,14,20110504,Luol Deng,0,.462,7.8,2,81,13,1,0.0,1.2,.462,0,2,1,2761.0,.000,2.4,4.8,CHI,6,0,.504,2,1,.154,12,119,11,1.6,12.9,+14,13.8
.296,2,10,8,.667,12.4,25,20110504,Derrick Rose,1,.389,51.1,4,86,27,0,21.3,0.0,.370,0,6,0,2580.0,.125,0.0,2.2,CHI,10,8,.422,0,1,.222,6,82,6,3.5,6.9,+14,40.0
.000,1,2,0,.875,16.2,19,20110504,Joakim Noah,0,.750,9.8,7,76,8,3,14.8,4.3,.750,0,8,7,2311.0,0,20.3,14.7,CHI,6,2,.825,5,1,1.000,14,154,7,1.9,18.0,+12,16.1
.000,0,0,0,0,21.9,8,20110504,Carlos Boozer,0,.333,0.0,0,81,12,1,7.7,1.7,.333,0,0,3,1947.0,0,10.3,-4.4,CHI,4,1,.333,3,1,.000,11,78,8,0.0,16.8,+6,18.3
