threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.000,2,2,0,.643,12.2,25,20111228,Chris Bosh,0,.615,9.3,9,106,13,0,5.0,0.0,.615,0,14,2,2359.0,0,5.7,5.3,MIA,8,1,.652,1,1,1.077,6,130,4,3.8,8.8,+2,24.5
.000,2,7,0,1.000,18.5,35,20111228,LeBron James,0,.565,43.4,9,95,23,3,6.9,4.0,.565,0,9,0,2329.0,0,0.0,19.0,MIA,13,2,.649,0,1,.391,6,126,6,3.9,8.9,+5,35.7
.000,2,4,0,0,3.8,10,20111228,Dwyane Wade,0,.385,21.1,0,104,13,1,18.8,1.6,.385,0,0,0,1919.0,0,0.0,-7.8,MIA,5,3,.385,4,1,.000,1,69,1,4.7,1.8,-3,23.9
.250,0,4,3,1.000,3.8,15,20111228,Mario Chalmers,1,.542,22.9,2,110,12,0,7.2,0.0,.500,0,2,0,1880.0,.333,0.0,-2.6,MIA,6,1,.582,3,1,.167,1,112,1,0.0,1.8,+7,21.2
.000,0,0,0,0,25.6,0,20111228,Joel Anthony,0,.000,0.0,0,103,1,0,0.0,0.0,.000,0,0,0,1124.0,0,0.0,-8.1,MIA,0,0,.000,1,1,.000,4,0,4,0.0,12.3,-12,2.6
.000,0,0,0,1.000,20.6,4,20111228,Udonis Haslem,0,.250,0.0,2,100,4,1,38.1,1.8,.250,0,2,1,1747.0,0,3.8,-11.9,MIA,1,3,.410,4,0,.500,6,59,5,0.0,11.9,+7,12.9
.500,3,0,1,0,6.0,0,20111228,Shane Battier,0,.000,0.0,0,99,2,1,0.0,2.6,.000,0,0,1,1197.0,.000,5.6,1.3,MIA,0,0,.000,0,0,.000,2,39,1,11.3,5.8,-11,4.8
.125,0,1,1,1.000,14.5,5,20111228,Norris Cole,0,.250,9.6,1,106,8,0,0.0,0.0,.250,0,1,0,990.0,.000,0.0,-16.2,MIA,2,0,.296,3,0,.125,2,65,2,0.0,7.0,-3,24.5
.500,1,0,1,0,10.0,2,20111228,James Jones,0,.500,0.0,0,96,2,1,0.0,4.3,.500,0,0,0,720.0,.000,0.0,1.7,MIA,1,0,.500,1,0,.000,1,96,1,6.3,4.8,+14,8.0
0,0,1,0,0,0.0,0,20111228,Juwan Howard,0,0,58.8,0,112,0,0,0,0.0,0,0,0,1,136.0,0,49.2,20.9,MIA,0,0,0,0,0,0,1,204,0,0.0,25.5,-1,0.0
0,0,0,0,0,0,0,20111228,Dexter Pittman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20111228,Terrel Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20111228,Mickell Gladness,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
.053,2,4,1,0,7.9,21,20111228,Gerald Henderson,1,.553,16.3,0,101,19,2,17.4,2.4,.526,0,0,1,2549.0,1.000,2.8,2.8,CHA,10,4,.553,2,1,.000,4,104,3,3.1,5.4,+1,23.6
.357,1,8,5,0,34.7,16,20111228,Boris Diaw,2,.571,32.9,0,101,14,1,30.0,1.3,.500,0,0,4,2314.0,.400,12.4,5.4,CHA,7,6,.571,2,1,.000,16,102,12,1.7,24.0,0,22.6
