trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
7,.789,2,138,7.2,9.2,.421,13,IND,.605,.625,36,Danny Granger,8,.867,20120201,3,19,10.8,4,8.5,102,8.5,0.0,29.1,2,0,1,5,.703,2460.0,0,2,0.0,9,0,.474,15,7.8,+6
9,.444,4,134,8.5,21.5,.000,3,IND,.667,0,15,Roy Hibbert,0,.750,20120201,1,9,6.7,8,9.2,91,12.8,1.3,14.5,2,0,1,0,.697,2102.0,3,1,5.6,6,1,.667,4,3.0,+7
6,.417,1,136,12.3,16.9,.167,5,IND,.625,.500,20,Darren Collison,2,1.000,20120201,0,12,11.6,6,41.3,93,9.0,2.8,21.0,8,0,1,1,.704,1999.0,0,2,0.0,7,2,.583,5,0.0,+14
8,.143,5,90,0.0,31.4,.000,2,IND,.357,0,12,David West,0,1.000,20120201,0,14,-5.0,8,14.3,93,16.7,0.0,26.8,2,0,1,0,.403,1440.0,0,0,0.0,5,0,.357,2,0.0,+15
4,.333,4,123,12.7,19.4,.500,1,IND,.750,.333,10,Paul George,3,.500,20120201,0,6,8.8,4,8.8,88,10.3,2.4,17.6,1,0,1,1,.727,1162.0,2,1,6.7,4,1,.667,2,0.0,+14
5,.125,4,106,0.0,10.4,.000,1,IND,.375,0,7,Tyler Hansbrough,0,1.000,20120201,2,8,-3.1,3,10.8,101,9.2,0.0,13.5,2,0,0,0,.415,1628.0,0,0,0.0,3,0,.375,1,7.9,0
1,.200,2,68,15.5,4.6,.200,0,IND,.400,.000,4,Dahntay Jones,1,.000,20120201,0,5,-8.7,1,7.1,104,2.5,0.0,13.7,1,0,0,0,.368,1221.0,0,1,0.0,2,0,.400,1,0.0,+7
0,.000,0,0,75.0,0.0,.000,0,IND,.000,0,0,Lance Stephenson,0,0,20120201,0,1,-16.0,0,0.0,106,0.0,0.0,11.3,0,0,0,0,.000,917.0,0,3,0.0,0,0,.000,0,0.0,-7
3,.000,2,29,22.2,19.2,.143,0,IND,.143,.000,2,A.J. Price,1,0,20120201,0,7,-18.8,3,9.4,91,10.2,3.2,26.5,1,0,0,0,.143,881.0,0,2,0.0,1,1,.143,0,0.0,-4
2,1.333,2,89,0.0,0.0,.000,1,IND,.333,0,3,Lou Amundson,0,.250,20120201,2,3,-3.6,0,0.0,91,10.2,4.7,20.9,0,0,0,0,.315,591.0,1,0,6.6,1,1,.333,4,21.7,-2
0,0,0,0,0,0,0,0,IND,0,0,0,George Hill,0,0,20120201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,IND,0,0,0,Jeff Foster,0,0,20120201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,IND,0,0,0,Jeff Ayres,0,0,20120201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
17,.688,4,110,8.8,34.1,.188,9,MIN,.375,.000,21,Kevin Love,3,.818,20120201,5,16,4.1,12,9.7,104,22.7,0.0,23.7,2,0,1,0,.504,2251.0,1,2,1.9,6,0,.375,11,12.5,+1
4,.714,3,119,9.8,11.5,.143,4,MIN,.429,.000,10,Ricky Rubio,1,.800,20120201,0,7,-1.9,4,25.9,111,5.4,0.0,10.7,6,0,1,0,.543,2217.0,0,1,0.0,3,0,.429,5,0.0,-5
2,.077,3,114,13.0,3.8,.231,1,MIN,.577,.333,16,Luke Ridnour,3,1.000,20120201,1,13,3.4,1,31.1,112,3.6,0.0,21.4,4,0,1,1,.595,1683.0,0,2,0.0,7,0,.538,1,3.4,-8
3,.000,3,45,18.2,11.7,.000,0,MIN,.222,0,4,Darko Miličić,0,0,20120201,1,9,-12.4,2,0.0,101,8.2,2.6,23.5,0,0,1,0,.222,1093.0,1,2,3.8,2,1,.222,0,5.2,-15
3,.167,2,53,23.7,18.3,.000,0,MIN,.333,0,4,Wesley Johnson,0,.000,20120201,0,6,-1.6,3,9.6,96,8.6,2.7,18.8,1,0,1,0,.311,1050.0,2,2,8.0,2,1,.333,1,0.0,-12
12,.545,3,97,12.8,25.3,.000,3,MIN,.455,0,13,Nikola Peković,0,.500,20120201,5,11,-2.3,7,0.0,108,20.3,0.0,20.6,0,0,0,0,.477,1771.0,0,2,0.0,5,0,.455,6,15.9,+2
1,.364,4,82,13.6,5.1,.273,4,MIN,.318,.333,11,Michael Beasley,3,1.000,20120201,0,11,-5.9,1,0.0,107,2.4,2.2,27.2,0,0,0,1,.431,1267.0,0,2,0.0,3,1,.273,4,0.0,+1
4,.571,3,124,0.0,10.4,.429,4,MIN,.357,.333,9,Martell Webster,3,1.000,20120201,2,7,6.3,2,0.0,101,9.7,4.5,16.6,0,0,0,1,.514,1235.0,0,0,0.0,2,2,.286,4,9.1,-2
2,.500,0,75,17.0,15.5,.375,3,MIN,.250,.000,7,J.J. Barea,3,.750,20120201,0,8,-5.3,2,38.7,110,7.3,0.0,33.3,3,0,0,0,.359,826.0,0,2,0.0,2,0,.250,4,0.0,-8
1,.333,0,82,22.5,10.2,.333,0,MIN,.667,.000,4,Derrick Williams,1,.000,20120201,0,3,-2.9,1,0.0,111,4.8,0.0,16.5,0,0,0,0,.581,629.0,0,1,0.0,2,0,.667,1,0.0,-11
2,0,0,0,0,33.8,0,0,MIN,0,0,0,Wayne Ellington,0,0,20120201,0,0,-2.3,2,0.0,106,15.8,0.0,0.0,0,0,0,0,0,379.0,0,0,0.0,0,0,0,0,0.0,+7
