drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
3,2398.0,-7.6,11.6,2,3,107,.538,6.8,.571,0,.000,0,.143,0,.000,0,0,0,4,28.7,POR,8,+6,20120202,78,2.6,7,1,9.2,.571,0.0,3,0,4,1,2,4.3,0.0,Gerald Wallace
0,2299.0,-4.7,13.9,3,0,106,.375,3.6,.333,0,.333,0,.000,2,0,0,4,.250,4,0.0,POR,9,-4,20120202,93,4.1,12,0,0.0,.375,5.6,2,1,4,1,1,3.0,0.0,Wesley Matthews
4,2182.0,3.9,22.0,3,1,102,.441,42.9,.412,0,.412,0,.000,0,0,0,7,.143,3,5.6,POR,15,-13,20120202,108,4.3,17,0,13.5,.441,0.0,4,1,7,1,10,6.3,0.0,Raymond Felton
7,2078.0,7.9,31.5,0,2,108,.622,11.9,.632,4,.000,0,.421,7,.500,0,0,0,2,8.2,POR,28,-4,20120202,124,0.0,19,8,24.9,.632,21.6,14,0,12,1,2,23.1,0.0,LaMarcus Aldridge
3,1492.0,8.6,8.7,2,0,91,.205,20.3,.250,0,.000,5,.500,1,.000,0,0,0,1,0.0,POR,2,-5,20120202,85,4.2,4,2,14.8,.250,4.3,4,0,1,1,4,9.2,16.4,Marcus Camby
4,1697.0,-4.2,36.4,2,4,102,.443,17.1,.353,4,.294,0,.294,0,.800,0,5,.200,1,17.2,POR,17,-4,20120202,83,3.7,17,5,17.4,.382,0.0,4,1,6,0,3,8.1,0.0,Jamal Crawford
4,1088.0,-0.5,19.6,0,1,104,.714,0.0,.714,0,.000,1,.000,1,0,0,0,0,4,12.5,POR,10,+2,20120202,120,0.0,7,0,27.1,.714,5.9,5,0,5,0,0,15.8,4.5,Kurt Thomas
3,802.0,-20.1,16.6,0,2,107,.000,9.0,.000,0,.000,0,.000,2,0,0,0,0,2,40.0,POR,0,+1,20120202,33,0.0,3,0,27.6,.000,16.0,5,0,0,0,1,21.4,0.0,Craig Smith
1,364.0,2.0,14.6,0,0,109,.750,0.0,.500,0,1.000,0,.000,0,0,0,2,.500,1,0.0,POR,3,+6,20120202,149,0.0,2,0,20.3,.750,0.0,1,1,1,0,0,9.4,0.0,Elliot Williams
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nolan Smith
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Johnson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armon Johnson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luke Babbitt
1,2482.0,2.9,22.7,2,2,102,.547,11.9,.308,10,.538,1,.923,0,.833,0,7,.286,2,9.9,SAC,20,+4,20120202,113,2.5,13,12,2.6,.385,0.0,1,2,4,1,3,1.4,1.7,Marcus Thornton
4,2448.0,-4.5,27.1,1,3,103,.431,23.9,.400,2,.150,0,.100,1,1.000,0,3,.000,3,12.6,SAC,18,+9,20120202,91,1.3,20,2,10.5,.400,3.0,5,0,8,1,5,7.0,0.0,Tyreke Evans
8,2286.0,5.3,18.2,0,1,102,.679,10.5,.571,0,.286,0,.000,0,0,0,4,.750,0,6.7,SAC,19,0,20120202,130,0.0,14,0,22.4,.679,0.0,8,3,8,1,2,12.0,0.0,John Salmons
8,1959.0,-0.2,18.1,0,4,99,.742,5.5,.714,3,.000,1,.571,4,.750,0,0,0,3,31.3,SAC,13,+13,20120202,110,0.0,7,4,26.1,.714,15.1,12,0,5,1,1,21.0,2.1,Jason Thompson
4,878.0,-0.2,28.1,0,1,97,.508,27.2,.429,2,.000,0,.286,2,1.000,0,0,0,4,11.3,SAC,8,+5,20120202,112,0.0,7,2,29.2,.429,16.8,6,0,3,1,2,23.4,0.0,DeMarcus Cousins
2,1729.0,-0.6,7.8,2,2,98,.521,0.0,.500,1,.000,1,1.000,3,.500,0,0,0,1,41.0,SAC,3,-2,20120202,86,3.6,2,2,7.4,.500,12.8,5,0,1,0,0,9.9,2.4,Chuck Hayes
1,1031.0,-7.3,18.8,0,2,103,.400,29.5,.400,0,.000,1,.000,0,0,0,0,0,2,28.6,SAC,4,-6,20120202,75,0.0,5,0,6.2,.400,0.0,1,0,2,0,3,3.3,4.0,Isaiah Thomas
2,902.0,9.7,13.3,2,0,91,.694,0.0,.667,2,.000,0,1.000,0,.667,0,0,0,0,0.0,SAC,6,-8,20120202,145,7.0,3,3,14.2,.667,0.0,2,0,2,0,0,7.6,0.0,J.J. Hickson
2,685.0,-16.1,27.4,0,0,102,.296,0.0,.200,2,.600,0,.800,0,.500,0,3,.000,2,0.0,SAC,4,0,20120202,68,0.0,5,4,18.7,.200,0.0,2,0,1,0,0,10.0,0.0,Travis Outlaw
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyler Honeycutt
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Donté Greene
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Francisco García
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jimmer Fredette
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POR,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicolas Batum
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POR,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greg Oden
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SAC,0,0,20120202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hassan Whiteside
