player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Chris Kaman,2345.0,.430,.389,.000,.222,5.1,22.6,13.9,22.4,0.0,1.7,16.8,25.9,85,104,-2.1,NOH,1,0,20120228,7,18,.389,0,0,0,3,4,.750,2,9,11,5,0,1,4,3,17,-5
Trevor Ariza,2063.0,.667,.667,.167,.000,0.0,22.8,11.5,21.3,4.4,1.9,20.0,18.6,107,95,10.2,NOH,1,0,20120228,7,12,.583,2,2,1.000,0,0,0,0,8,8,4,3,1,3,0,16,-10
Gustavo Ayón,1621.0,.363,.333,.000,.333,7.4,7.3,7.3,5.5,3.7,7.4,0.0,10.8,96,98,2.7,NOH,1,0,20120228,2,6,.333,0,0,0,1,2,.500,2,2,4,1,2,3,0,2,5,-5
Marco Belinelli,1438.0,.429,.429,.429,.000,0.0,12.3,6.2,6.7,0.0,0.0,22.2,16.0,70,109,-8.7,NOH,1,0,20120228,3,7,.429,0,3,.000,0,0,0,0,3,3,1,0,0,2,0,6,-15
Greivis Vásquez,1273.0,.510,.400,.100,.400,4.7,4.6,4.7,25.2,0.0,0.0,7.8,25.6,111,111,-1.3,NOH,1,0,20120228,4,10,.400,0,1,.000,4,4,1.000,1,1,2,3,0,0,1,3,12,-16
Jarrett Jack,1685.0,.556,.556,.222,.000,3.6,10.5,7.0,23.4,1.8,0.0,18.2,16.7,103,106,-1.0,NOH,0,0,20120228,4,9,.444,2,2,1.000,0,0,0,1,3,4,4,1,0,2,4,10,+10
Solomon Jones,1229.0,.460,.400,.000,.200,14.6,4.8,9.7,8.8,2.4,3.3,0.0,22.6,112,104,3.9,NOH,0,0,20120228,4,10,.400,0,0,0,2,2,1.000,3,1,4,1,1,1,0,1,10,-1
Xavier Henry,1106.0,.459,.300,.100,.700,5.4,26.6,16.1,0.0,2.7,0.0,7.1,32.5,98,98,-2.0,NOH,0,0,20120228,3,10,.300,0,1,.000,6,7,.857,1,5,6,0,1,0,1,2,12,+9
Al-Farouq Aminu,1094.0,.205,.000,.000,.500,16.5,5.4,10.9,21.9,0.0,3.7,17.0,13.7,80,109,-1.1,NOH,0,0,20120228,0,4,.000,0,0,0,2,2,1.000,3,1,4,3,0,1,1,0,2,+8
Lance Thomas,546.0,.727,.667,.000,.333,0.0,10.8,5.4,0.0,0.0,0.0,0.0,16.1,149,108,-1.4,NOH,0,0,20120228,2,3,.667,0,0,0,1,1,1.000,0,1,1,0,0,0,0,3,5,+5
Jason Smith,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOH,0,0,20120228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donald Sloan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOH,0,0,20120228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emeka Okafor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOH,0,0,20120228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luol Deng,2495.0,.415,.406,.313,.125,4.7,21.6,13.1,6.8,2.4,0.0,5.6,18.5,93,99,-2.3,CHI,1,0,20120228,6,16,.375,1,5,.200,1,2,.500,2,9,11,2,2,0,1,1,14,+10
Derrick Rose,2449.0,.555,.479,.208,.458,2.4,2.5,2.4,37.7,3.7,2.9,6.5,32.4,121,101,13.8,CHI,1,0,20120228,11,24,.458,1,5,.200,9,11,.818,1,1,2,9,3,2,2,2,32,+16
