trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
9,.182,2,82,7.8,26.4,.000,2,IND,.364,0,10,David West,0,1.000,20120305,1,11,-2.9,8,6.6,104,13.9,0.0,19.1,1,0,1,0,.421,2031.0,2,1,4.5,4,0,.364,2,2.9,-8
1,.294,4,103,5.0,0.0,.235,5,IND,.471,.000,21,Paul George,4,1.000,20120305,1,17,4.9,0,0.0,112,1.6,3.4,30.4,0,0,1,0,.547,2001.0,1,1,2.3,8,2,.471,5,2.9,-11
1,.167,1,78,13.4,3.6,.417,2,IND,.375,.200,11,Danny Granger,5,1.000,20120305,0,12,-1.1,1,22.3,114,1.7,1.8,24.0,3,0,1,1,.427,1863.0,1,2,2.5,4,1,.333,2,0.0,-18
1,.000,0,21,0.0,3.6,.000,0,IND,.000,0,0,Darren Collison,0,0,20120305,0,6,-10.0,1,17.3,111,1.7,3.6,9.8,3,0,1,0,.000,1848.0,0,0,0.0,0,2,.000,0,0.0,-14
7,.333,5,56,0.0,26.9,.000,0,IND,.167,0,2,Roy Hibbert,0,.000,20120305,1,6,-0.4,6,30.8,95,14.7,2.2,13.9,4,0,1,0,.145,1494.0,3,0,9.2,1,1,.167,2,3.9,-19
1,.250,3,117,7.0,0.0,.417,3,IND,.583,.400,17,George Hill,5,1.000,20120305,1,12,10.0,0,24.8,115,2.1,2.2,28.7,2,0,0,2,.638,1500.0,0,1,0.0,6,1,.500,3,3.9,-10
6,.000,3,49,14.3,18.1,.000,0,IND,.167,0,2,Tyler Hansbrough,0,0,20120305,2,6,-5.8,4,7.8,95,12.7,6.8,14.3,1,0,0,0,.167,1478.0,0,1,0.0,1,3,.167,0,8.0,-7
1,.800,0,63,0.0,0.0,.400,1,IND,.200,.000,3,A.J. Price,2,.250,20120305,1,5,-9.2,0,23.1,121,3.0,0.0,19.7,2,0,0,0,.222,1032.0,0,0,0.0,1,0,.200,4,5.7,-6
5,1.000,0,90,14.8,44.2,.000,2,IND,.500,0,6,Lou Amundson,0,.500,20120305,0,4,7.2,5,19.6,87,20.7,4.4,26.9,1,0,0,0,.521,757.0,0,1,0.0,2,1,.500,4,0.0,-6
0,0,0,211,0,0.0,0,0,IND,0,0,0,Dahntay Jones,0,0,20120305,0,0,-4.4,0,26.9,121,0.0,0.0,0.0,1,0,0,0,0,396.0,0,0,0.0,0,0,0,0,0.0,-1
