trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
17,1.133,2,130,8.2,35.2,.000,10,LAC,.600,0,28,Blake Griffin,0,.588,20120307,6,15,8.9,11,10.1,103,28.7,2.6,28.6,2,0,1,0,.623,2369.0,1,2,2.6,9,2,.600,17,21.5,-1
6,.455,3,136,27.5,19.4,.364,5,LAC,.773,.750,22,Chris Paul,4,1.000,20120307,0,11,14.2,6,46.5,100,10.2,6.7,21.5,10,0,1,3,.833,2345.0,0,5,0.0,7,5,.636,5,0.0,-4
1,.167,4,114,13.4,3.6,.556,3,LAC,.583,.500,24,Randy Foye,10,1.000,20120307,0,18,1.3,1,11.4,115,1.9,1.5,29.4,2,0,1,5,.621,2106.0,0,3,0.0,8,1,.444,3,0.0,0
2,.000,1,40,0.0,10.4,.000,0,LAC,.167,0,2,Caron Butler,0,0,20120307,0,6,-10.7,2,0.0,112,5.5,2.2,11.4,0,0,1,0,.167,1455.0,0,0,0.0,1,1,.167,0,0.0,-7
2,.000,2,125,0.0,6.9,.000,0,LAC,.500,0,2,DeAndre Jordan,0,0,20120307,1,2,-4.5,1,0.0,114,7.2,0.0,5.0,0,0,1,0,.500,1106.0,1,0,5.5,1,0,.500,0,7.7,-13
1,.000,4,76,14.3,3.9,.417,0,LAC,.375,.200,9,Mo Williams,5,0,20120307,0,12,-13.3,1,10.3,118,2.1,0.0,20.1,2,0,0,1,.375,1929.0,0,2,0.0,4,0,.333,0,0.0,+8
3,.333,2,89,0.0,14.2,.000,1,LAC,.333,0,5,Kenyon Martin,0,.500,20120307,0,6,-6.6,3,5.7,116,7.5,0.0,11.9,1,0,0,0,.363,1604.0,0,0,0.0,2,0,.333,2,0.0,+12
5,.000,1,40,66.7,33.4,.000,0,LAC,.000,0,0,Reggie Evans,0,0,20120307,2,1,-14.9,3,0.0,111,29.4,0.0,12.2,0,0,0,0,.000,681.0,0,2,0.0,0,0,.000,0,24.9,0
1,.000,0,90,33.3,17.7,1.000,0,LAC,.750,.500,3,Bobby Simmons,2,0,20120307,0,2,-1.7,1,0.0,115,9.3,0.0,19.4,0,0,0,1,.750,428.0,0,1,0.0,1,0,.500,0,0.0,-9
0,.000,2,105,25.0,0.0,.333,0,LAC,.833,1.000,5,Eric Bledsoe,1,0,20120307,0,3,18.2,0,0.0,90,0.0,8.3,29.4,0,0,0,1,.833,377.0,1,1,16.3,2,1,.667,0,0.0,+9
