stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.2,13.9,3,2386.0,3,9,0,.566,2,0,.769,.684,0,28,19,.474,13,6,1,1,-4,.000,.474,Marcin Gortat,15.4,13.4,10,PHO,113,20120307,4.0,8.9,5,11,112,29.6,5.6,4,0,14.4
0.0,9.6,1,2352.0,0,6,.000,.636,13,0,.000,.111,1,12,9,.667,1,2,0,1,-3,.111,.667,Steve Nash,5.2,0.0,0,PHO,123,20120307,3.5,51.9,0,2,141,10.9,0.0,1,0,2.7
2.5,10.1,1,2296.0,0,7,.200,.479,1,0,.500,.250,5,17,16,.438,4,7,2,1,-4,.313,.469,Jared Dudley,18.7,11.1,2,PHO,112,20120307,0.8,4.3,4,11,100,21.2,0.0,2,1,15.0
0.0,24.1,4,1713.0,0,5,.500,.689,2,0,1.000,.111,4,13,9,.556,1,7,0,1,+14,.444,.667,Channing Frye,25.0,3.7,1,PHO,115,20120307,0.7,11.4,1,8,105,17.9,0.0,3,2,14.6
1.8,30.7,5,1598.0,1,3,.000,.740,2,0,1.000,.800,1,10,5,.600,4,3,1,1,+1,.200,.600,Grant Hill,11.5,0.0,4,PHO,115,20120307,-0.5,11.1,0,3,107,15.0,2.8,3,0,5.9
0.0,7.0,2,1556.0,0,5,.000,.450,2,0,.667,.250,3,12,12,.417,3,1,0,0,-16,.250,.417,Shannon Brown,3.9,4.1,2,PHO,123,20120307,-4.7,12.9,1,2,100,22.7,0.0,1,0,4.0
0.0,34.7,2,799.0,3,0,0,.266,2,0,.500,2.000,0,1,1,.000,2,0,0,0,-13,.000,.000,Markieff Morris,0.0,8.0,1,PHO,115,20120307,3.4,19.0,1,1,77,8.9,16.6,1,0,3.9
0.0,16.8,0,678.0,0,3,.000,.405,1,0,1.000,.222,4,8,9,.333,2,4,0,0,-15,.444,.333,Michael Redd,36.2,0.0,2,PHO,111,20120307,-10.6,16.8,0,4,77,43.1,0.0,2,0,18.5
0.0,25.0,4,528.0,0,0,.000,.000,3,0,0,.000,1,0,3,.000,0,1,0,0,-8,.333,.000,Sebastian Telfair,11.6,24.2,0,PHO,120,20120307,-15.6,43.1,2,3,61,18.7,0.0,1,0,17.8
0.0,0.0,1,494.0,0,0,0,.543,0,0,.750,4.000,0,3,1,.000,4,1,0,0,-7,.000,.000,Robin Lopez,12.4,25.9,3,PHO,120,20120307,-1.5,0.0,2,3,146,13.8,0.0,0,0,19.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hakim Warrick,0,0,0,PHO,0,20120307,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ronnie Price,0,0,0,PHO,0,20120307,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Childress,0,0,0,PHO,0,20120307,0,0,0,0,0,0,0,0,0,0
3.5,6.0,4,2514.0,2,10,.200,.478,3,0,.900,.370,5,30,27,.370,10,4,3,1,+12,.185,.389,Kevin Durant,10.2,4.9,9,OKC,104,20120307,3.9,12.0,2,6,108,32.4,3.5,2,1,7.5
4.8,10.9,2,2437.0,0,11,.500,.632,10,0,.750,.381,6,31,21,.524,8,2,4,1,+7,.286,.595,Russell Westbrook,5.3,2.5,6,OKC,105,20120307,14.2,43.8,1,3,132,27.5,0.0,3,3,3.9
0.0,16.7,4,2402.0,3,9,0,.600,1,0,0,.000,0,18,15,.600,0,11,0,1,+11,.000,.600,Serge Ibaka,29.3,23.0,0,OKC,103,20120307,1.4,4.1,9,20,120,18.3,5.5,3,0,26.1
2.7,24.0,4,1092.0,1,2,0,.475,2,0,.667,.600,0,6,5,.400,3,3,1,1,-12,.000,.400,Kendrick Perkins,17.6,11.2,2,OKC,102,20120307,-1.7,15.2,2,5,96,18.6,4.1,2,0,14.3
0.0,0.0,0,719.0,0,0,.000,.000,0,0,0,.000,4,0,4,.000,0,2,0,1,-16,1.000,.000,Daequan Cook,17.8,0.0,0,OKC,110,20120307,-17.4,0.0,0,2,0,13.6,0.0,0,0,8.7
2.7,5.6,3,2161.0,2,8,.571,.891,1,0,.909,.917,7,30,12,.667,11,4,2,0,+27,.583,.833,James Harden,11.8,0.0,10,OKC,104,20120307,17.4,4.5,0,4,176,20.1,4.1,1,4,5.8
0.0,0.0,3,1023.0,0,0,.000,.000,0,0,0,.000,4,0,4,.000,0,0,0,0,+23,1.000,.000,Royal Ivey,0.0,0.0,0,OKC,116,20120307,-17.8,0.0,0,0,0,9.5,0.0,0,0,0.0
3.0,50.0,1,972.0,1,0,0,.000,1,0,0,.000,0,0,2,.000,0,1,1,0,+1,.000,.000,Nick Collison,6.6,6.3,0,OKC,106,20120307,-7.4,7.4,1,2,29,10.0,4.6,2,0,6.4
0.0,0,0,443.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+4,0,0,Reggie Jackson,0.0,0.0,0,OKC,117,20120307,-7.2,0.0,0,0,0,0.0,0.0,0,0,0.0
0.0,0,1,366.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,Lazar Hayward,0.0,0.0,0,OKC,116,20120307,-7.5,0.0,0,0,0,0.0,0.0,0,0,0.0
0.0,0.0,2,271.0,1,0,0,.000,0,0,0,.000,0,0,1,.000,0,2,0,0,-1,.000,.000,Nazr Mohammed,47.2,0.0,0,OKC,89,20120307,-9.7,0.0,0,2,0,9.0,16.3,0,0,23.1
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Reid,0,0,0,OKC,0,20120307,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cole Aldrich,0,0,0,OKC,0,20120307,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eric Maynor,0,0,0,OKC,0,20120307,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Thabo Sefolosha,0,0,0,OKC,0,20120307,0,0,0,0,0,0,0,0,0,0
