stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
3.9,10.2,5,2459.0,0,9,.600,.713,2,0,.500,.571,5,25,14,.643,8,0,3,1,-8,.357,.750,Iman Shumpert,0.0,2.9,4,NYK,112,20120330,9.0,11.4,1,1,131,22.3,0.0,2,3,1.6
6.6,14.2,3,2424.0,2,11,.250,.597,2,0,.929,.583,4,36,24,.458,14,6,5,1,-7,.167,.479,Carmelo Anthony,22.3,8.7,13,NYK,99,20120330,15.1,13.3,3,9,113,40.7,4.4,5,1,14.6
0.0,36.1,5,2356.0,1,2,0,.376,1,0,.000,.750,0,4,4,.500,3,8,0,1,-10,.000,.500,Tyson Chandler,30.6,3.0,0,NYK,113,20120330,-8.2,4.3,1,9,56,9.9,2.3,3,0,15.1
0.0,29.1,2,1624.0,0,3,0,.717,2,0,.500,.500,0,7,4,.750,2,2,0,1,+2,.000,.750,Landry Fields,11.1,0.0,1,NYK,118,20120330,-2.8,13.8,0,2,106,11.9,0.0,2,0,4.9
2.2,33.3,2,1439.0,0,2,.000,.250,4,0,0,.000,2,4,8,.250,0,1,1,1,-11,.250,.250,Baron Davis,6.3,4.9,0,NYK,114,20120330,-13.0,29.7,1,2,55,23.4,0.0,4,0,5.5
1.6,15.5,4,1982.0,0,2,.250,.230,0,0,.000,.200,4,5,10,.200,2,2,1,0,-11,.400,.250,J.R. Smith,9.1,3.5,0,NYK,115,20120330,-13.8,0.0,1,3,46,18.3,0.0,2,1,6.0
0.0,0.0,2,1222.0,0,1,.500,.750,0,0,0,.000,2,3,2,.500,0,2,0,0,-2,1.000,.750,Steve Novak,14.7,0.0,0,NYK,117,20120330,-3.4,0.0,0,2,153,4.6,0.0,0,1,6.5
6.1,0.0,1,524.0,1,1,0,.630,1,0,1.000,1.333,0,6,3,.333,4,1,1,0,0,.000,.333,Josh Harrellson,17.2,26.8,4,NYK,97,20120330,22.2,21.6,2,3,155,25.5,10.2,0,0,22.6
0.0,0.0,0,370.0,0,0,0,.000,1,0,0,.000,0,0,1,.000,0,1,0,0,-3,.000,.000,Mike Bibby,24.3,19.0,0,NYK,115,20120330,-1.1,25.1,1,2,89,7.6,0.0,0,0,21.3
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeremy Lin,0,0,0,NYK,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jerome Jordan,0,0,0,NYK,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jared Jeffries,0,0,0,NYK,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toney Douglas,0,0,0,NYK,0,20120330,0,0,0,0,0,0,0,0,0,0
2.6,23.4,5,2495.0,1,8,.000,.501,3,0,.778,.474,5,23,19,.421,9,4,2,1,+12,.263,.421,Josh Smith,11.3,7.2,7,ATL,100,20120330,-5.9,12.5,2,6,88,34.1,2.2,7,0,9.5
1.4,8.0,0,2355.0,0,10,.400,.607,3,0,.857,.350,5,28,20,.500,7,5,1,1,+13,.250,.550,Joe Johnson,14.9,3.8,6,ATL,104,20120330,6.3,14.8,1,6,124,30.2,0.0,2,2,10.1
4.2,33.6,4,2290.0,3,5,.000,.557,7,0,.500,.222,2,11,9,.556,2,2,3,1,+14,.222,.556,Jeff Teague,6.1,0.0,1,ATL,95,20120330,4.1,28.7,0,2,90,18.4,7.1,5,0,3.4
1.6,13.4,3,2054.0,0,2,0,.388,0,0,1.000,.167,0,5,6,.333,1,8,1,1,+16,.000,.333,Zaza Pachulia,27.4,17.5,1,ATL,99,20120330,-3.7,0.0,4,12,99,10.3,0.0,1,0,23.0
5.0,33.3,4,1273.0,0,0,.000,.000,4,0,0,.000,2,0,2,.000,0,1,2,1,-6,1.000,.000,Kirk Hinrich,5.5,0.0,0,ATL,97,20120330,-1.5,24.5,0,1,63,6.7,0.0,1,0,3.1
3.2,0.0,4,1984.0,2,4,.000,.707,1,0,1.000,.714,1,13,7,.571,5,6,2,0,+3,.143,.571,Marvin Williams,21.2,4.5,5,ATL,94,20120330,8.9,4.7,1,7,159,13.2,5.5,0,0,13.9
0.0,0.0,2,1131.0,0,8,.667,1.012,0,0,1.000,.222,3,20,9,.889,2,4,0,0,+6,.333,1.000,Willie Green,24.8,0.0,2,ATL,103,20120330,21.9,0.0,0,4,201,24.8,0.0,0,2,14.0
0.0,100.0,1,535.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-6,0,0,Ivan Johnson,13.1,16.8,0,ATL,106,20120330,-9.3,0.0,1,2,52,5.3,0.0,1,0,14.7
0.0,0.0,1,193.0,0,0,.000,.000,0,0,0,.000,1,0,1,.000,0,0,0,0,-4,1.000,.000,Jerry Stackhouse,0.0,0.0,0,ATL,108,20120330,-24.5,0.0,0,0,0,14.7,0.0,0,0,0.0
0.0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0,0,Jason Collins,0.0,0.0,0,ATL,111,20120330,-2.2,0.0,0,0,0,0.0,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vladimir Radmanović,0,0,0,ATL,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracy McGrady,0,0,0,ATL,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Erick Dampier,0,0,0,ATL,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Amar'e Stoudemire,0,0,0,NYK,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry Walker,0,0,0,NYK,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Horford,0,0,0,ATL,0,20120330,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jannero Pargo,0,0,0,ATL,0,20120330,0,0,0,0,0,0,0,0,0,0
