player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Kevin Love,2027.0,.586,.559,.294,.353,9.7,15.4,12.3,5.1,0.0,2.3,0.0,27.0,129,129,-0.3,MIN,1,0,20120402,8,17,.471,3,5,.600,4,6,.667,3,4,7,1,0,1,0,5,23,-8
Luke Ridnour,1809.0,.401,.357,.071,.357,0.0,8.6,3.9,30.8,1.7,0.0,11.0,28.0,92,129,-10.7,MIN,1,0,20120402,5,14,.357,0,1,.000,3,5,.600,0,2,2,6,1,0,2,3,13,+3
Martell Webster,1440.0,.500,.500,.000,.000,4.5,21.6,12.3,5.7,2.2,0.0,0.0,7.7,123,124,-2.4,MIN,1,0,20120402,2,4,.500,0,0,0,0,0,0,1,4,5,1,1,0,0,0,4,+3
Wesley Johnson,1316.0,.800,.800,.400,.000,5.0,17.7,10.8,6.7,0.0,0.0,16.7,12.7,133,130,0.1,MIN,1,0,20120402,3,5,.600,2,2,1.000,0,0,0,1,3,4,1,0,0,1,1,8,+6
Brad Miller,1305.0,.786,.786,.571,.000,5.0,6.0,5.4,43.9,0.0,0.0,0.0,14.9,177,133,12.5,MIN,1,0,20120402,4,7,.571,3,4,.750,0,0,0,1,1,2,6,0,0,0,1,11,-6
Wayne Ellington,1564.0,.507,.438,.250,.250,4.2,5.0,4.5,22.0,4.0,0.0,25.3,21.1,95,125,-3.4,MIN,0,0,20120402,3,8,.375,1,2,.500,2,2,1.000,1,1,2,4,2,0,3,2,9,-14
Anthony Tolliver,1440.0,.726,.625,.750,1.250,4.5,27.0,14.8,5.7,0.0,3.2,13.9,13.9,137,125,-0.7,MIN,0,0,20120402,2,4,.500,1,3,.333,4,5,.800,1,5,6,1,0,1,1,3,9,-11
Derrick Williams,1270.0,.368,.350,.300,.200,5.2,12.3,8.4,0.0,2.5,7.3,8.4,26.0,76,122,-9.0,MIN,0,0,20120402,3,10,.300,1,3,.333,1,2,.500,1,2,3,0,1,2,1,1,8,-3
Nikola Peković,1158.0,.871,.875,.000,.500,11.3,13.4,12.3,23.0,0.0,0.0,9.3,25.9,162,131,8.8,MIN,0,0,20120402,7,8,.875,0,0,0,3,4,.750,2,2,4,2,0,0,1,4,17,+1
Malcolm Lee,1071.0,.615,.500,.250,.500,0.0,0.0,0.0,8.0,2.9,0.0,29.1,17.9,92,129,-9.3,MIN,0,0,20120402,2,4,.500,0,1,.000,2,2,1.000,0,0,0,1,1,0,2,2,6,-11
Anthony Randolph,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,20120402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darko Miličić,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,20120402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Barea,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,20120402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreke Evans,2285.0,.637,.571,.000,.786,6.8,22.9,15.6,26.8,2.8,0.0,5.0,23.1,145,115,8.6,SAC,1,0,20120402,8,14,.571,0,0,0,8,11,.727,2,8,10,7,2,0,1,1,24,+16
DeMarcus Cousins,1800.0,.663,.583,.000,.583,30.3,7.3,17.8,15.1,0.0,5.3,16.6,26.7,134,121,2.2,SAC,1,0,20120402,7,12,.583,0,0,0,6,7,.857,7,2,9,3,0,2,3,4,20,-6
Isaiah Thomas,1601.0,.612,.577,.538,.154,0.0,0.0,0.0,27.9,2.0,0.0,0.0,23.1,148,123,6.8,SAC,1,0,20120402,6,13,.462,3,7,.429,2,2,1.000,0,0,0,5,1,0,0,1,17,-6
Jason Thompson,1247.0,.654,.667,.000,.333,0.0,5.2,2.9,0.0,2.5,3.8,12.7,16.8,114,118,-2.0,SAC,1,0,20120402,4,6,.667,0,0,0,1,2,.500,0,1,1,0,1,1,1,1,9,-8
Marcus Thornton,495.0,.500,.500,.500,.000,0.0,26.4,14.4,18.6,6.4,0.0,0.0,21.5,121,106,3.3,SAC,1,0,20120402,2,4,.500,0,2,.000,0,0,0,0,2,2,1,1,0,0,1,4,-5
