trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
3,.200,0,131,21.6,2.6,.300,2,PHO,.600,.667,14,Steve Nash,3,1.000,20120406,2,10,6.4,1,55.9,122,4.3,0.0,17.3,11,0,1,2,.643,2091.0,0,3,0.0,5,0,.500,2,6.4,-2
6,.111,1,90,13.7,16.0,.333,1,PHO,.472,.500,18,Shannon Brown,6,.500,20120406,0,18,-2.8,6,5.7,113,8.8,1.5,27.4,1,0,1,3,.477,2075.0,0,3,0.0,7,1,.389,2,0.0,+1
14,.286,3,97,27.6,27.0,.000,1,PHO,.571,0,9,Marcin Gortat,0,.500,20120406,4,7,-1.4,10,4.9,106,20.7,1.5,13.8,1,0,1,0,.571,2055.0,1,3,2.2,4,1,.571,2,13.0,-1
11,.400,5,123,7.8,26.6,.300,4,PHO,.450,.333,13,Channing Frye,3,1.000,20120406,2,10,3.4,9,5.5,106,17.8,0.0,17.7,1,0,1,1,.553,1872.0,3,1,7.1,4,0,.400,4,7.2,-9
4,.357,3,106,15.6,9.1,.286,4,PHO,.464,.250,17,Jared Dudley,4,.800,20120406,1,14,-0.8,3,25.6,119,6.6,0.0,27.3,4,0,1,1,.525,1832.0,0,3,0.0,6,0,.429,5,3.7,-3
3,4.000,5,141,0.0,11.0,1.000,3,PHO,.000,.000,3,Markieff Morris,1,.750,20120406,1,1,-7.8,2,0.0,116,9.0,0.0,7.1,0,0,0,0,.543,1008.0,0,0,0.0,0,0,.000,4,6.6,+3
3,.667,0,119,0.0,5.9,.250,6,PHO,.375,.333,15,Michael Redd,3,.750,20120406,2,12,4.0,1,0.0,121,9.7,0.0,42.8,0,0,0,1,.483,942.0,0,0,0.0,4,0,.333,8,14.2,-8
3,.000,4,99,33.3,6.1,.000,0,PHO,.500,0,2,Josh Childress,0,0,20120406,2,2,-0.2,1,10.3,112,10.0,0.0,8.6,1,0,0,0,.500,911.0,2,1,9.7,1,0,.500,0,14.7,-2
6,.000,1,75,25.0,26.9,.000,0,PHO,.333,0,2,Robin Lopez,0,0,20120406,2,3,-5.8,4,0.0,107,22.0,0.0,12.6,0,0,0,0,.333,825.0,1,1,5.4,1,0,.333,0,16.2,-5
1,.400,1,109,14.5,7.0,.400,2,PHO,.400,.000,6,Sebastian Telfair,2,1.000,20120406,0,5,-3.4,1,27.3,120,3.8,0.0,22.7,2,0,0,0,.510,789.0,0,1,0.0,2,0,.400,2,0.0,-4
0,0,0,0,0,0,0,0,PHO,0,0,0,Hakim Warrick,0,0,20120406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,PHO,0,0,0,Ronnie Price,0,0,20120406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,PHO,0,0,0,Grant Hill,0,0,20120406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
5,.158,4,153,0.0,10.7,.474,3,DEN,.711,.556,30,Arron Afflalo,9,1.000,20120406,1,19,12.9,4,14.2,111,6.1,1.2,21.1,3,0,1,5,.738,2504.0,0,0,0.0,11,1,.579,3,2.2,+11
2,.000,2,77,0.0,6.6,.125,0,DEN,.125,.000,2,Ty Lawson,1,0,20120406,0,8,-6.8,2,31.7,112,3.0,1.5,10.2,8,0,1,0,.125,2044.0,0,0,0.0,1,1,.125,0,0.0,0
8,.700,3,114,0.0,15.3,.000,4,DEN,.400,0,12,Kenneth Faried,0,.571,20120406,4,10,0.0,4,5.4,106,13.9,1.8,19.5,1,0,1,0,.459,1747.0,1,0,2.7,4,1,.400,7,12.7,+4
8,1.000,3,83,14.8,18.6,.000,1,DEN,.250,0,3,Kosta Koufos,0,.250,20120406,5,4,-10.4,3,0.0,103,22.5,2.9,16.3,0,0,1,0,.260,1078.0,0,1,0.0,1,1,.250,4,25.7,+16
5,.000,0,132,0.0,26.2,.333,0,DEN,.611,.333,11,Jordan Hamilton,3,0,20120406,1,9,11.7,4,24.5,106,14.8,0.0,22.9,2,0,1,1,.611,1024.0,0,0,0.0,5,0,.556,0,5.4,+6
7,.500,1,124,6.4,16.8,.167,6,DEN,.375,.500,15,Andre Miller,2,1.000,20120406,2,12,7.9,5,32.4,104,10.6,3.1,20.4,7,0,0,1,.512,1993.0,0,1,0.0,4,2,.333,6,5.6,-6
4,.211,2,102,8.8,15.3,.526,3,DEN,.526,.400,23,Al Harrington,10,.750,20120406,0,19,4.6,4,6.9,107,6.9,1.8,33.7,1,0,0,4,.554,1756.0,0,2,0.0,8,1,.421,4,0.0,+7
2,.714,4,83,0.0,5.7,.000,1,DEN,.429,0,7,JaVale McGee,0,.200,20120406,1,7,-7.1,1,0.0,108,5.1,2.7,20.3,0,0,0,0,.380,1179.0,1,0,4.1,3,1,.429,5,4.7,-15
0,.500,3,57,17.0,0.0,.500,2,DEN,.000,.000,2,Corey Brewer,2,1.000,20120406,0,4,-14.4,0,14.5,118,0.0,0.0,14.2,2,0,0,0,.205,1075.0,0,1,0.0,0,0,.000,2,0.0,+7
0,0,0,0,0,0,0,0,DEN,0,0,0,Julyan Stone,0,0,20120406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DEN,0,0,0,Timofey Mozgov,0,0,20120406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DEN,0,0,0,Danilo Gallinari,0,0,20120406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DEN,0,0,0,Chris Andersen,0,0,20120406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
