trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
4,.857,2,75,29.3,19.2,.000,4,MIA,.429,0,10,Eddy Curry,0,.667,20120426,1,7,-10.1,3,0.0,114,10.8,0.0,27.2,0,0,1,0,.519,1448.0,1,4,3.0,3,0,.429,6,4.6,-20
4,.400,0,120,0.0,16.2,.000,2,MIA,.400,0,6,Udonis Haslem,0,1.000,20120426,2,5,4.9,2,13.2,109,13.6,2.7,14.8,1,0,1,0,.510,1148.0,1,0,3.8,2,1,.400,2,11.7,-11
2,.000,1,66,20.0,16.5,.500,0,MIA,.375,.500,3,Shane Battier,2,0,20120426,0,4,1.7,2,11.9,100,6.9,8.3,12.8,1,0,1,1,.375,1126.0,0,1,0.0,1,3,.250,0,0.0,-11
1,.222,0,69,23.3,9.1,.444,2,MIA,.333,.000,8,Mario Chalmers,4,1.000,20120426,0,9,-11.9,1,36.1,119,3.8,0.0,36.3,2,0,1,0,.405,1025.0,0,3,0.0,3,0,.333,2,0.0,-11
3,.500,2,93,38.1,27.5,.500,1,MIA,.875,.500,8,Mike Miller,2,.500,20120426,0,4,-0.5,3,18.4,111,11.5,0.0,22.5,1,0,1,1,.820,1013.0,1,3,4.3,3,0,.750,2,0.0,-9
5,.444,2,60,21.8,14.9,.556,3,MIA,.167,.200,6,Terrel Harris,5,.750,20120426,2,9,-11.2,3,20.6,117,10.4,0.0,21.3,3,0,0,1,.279,1867.0,0,3,0.0,1,0,.111,4,7.2,-25
0,.200,1,94,26.9,0.0,.000,2,MIA,.600,0,14,Norris Cole,0,1.000,20120426,0,10,-6.0,0,21.1,119,0.0,0.0,23.2,2,0,0,0,.643,1855.0,0,4,0.0,6,0,.600,2,0.0,-23
2,.222,2,74,9.2,10.6,.556,1,MIA,.389,.200,8,James Jones,5,.500,20120426,0,9,-9.8,2,0.0,118,4.4,0.0,17.9,0,0,0,1,.405,1754.0,0,1,0.0,3,0,.333,2,0.0,-23
5,.000,2,29,22.2,21.5,.000,0,MIA,.143,0,2,Juwan Howard,0,0,20120426,1,7,-14.7,4,0.0,114,11.2,0.0,15.0,0,0,0,0,.143,1732.0,1,2,2.5,1,0,.143,0,3.9,-23
5,2.000,3,118,21.0,34.5,.000,3,MIA,.500,0,5,Ronny Turiaf,0,.750,20120426,1,2,7.4,4,12.6,92,18.1,8.7,12.8,1,0,0,0,.665,1076.0,1,1,4.1,1,3,.500,4,6.2,-10
0,.000,1,0,0.0,0.0,.000,0,MIA,.000,0,0,Joel Anthony,0,0,20120426,0,1,-16.9,0,0.0,118,0.0,0.0,8.1,0,0,0,0,.000,356.0,0,0,0.0,0,0,.000,0,0.0,-4
0,0,0,0,0,0,0,0,MIA,0,0,0,Dexter Pittman,0,0,20120426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
