drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
5,2367.0,-2.2,16.5,1,1,112,.403,20.7,.273,5,.182,0,.545,1,.833,0,2,.000,3,6.8,PHI,11,-4,20120428,95,1.3,11,6,16.9,.273,2.5,6,0,3,1,5,8.6,0.0,Andre Iguodala
4,2158.0,-3.8,27.7,0,3,114,.414,11.3,.389,1,.222,1,.167,3,.333,0,4,.250,2,13.4,PHI,16,-25,20120428,81,0.0,18,3,14.8,.417,8.2,7,1,7,1,2,11.0,2.1,Jrue Holiday
6,2119.0,7.5,20.6,1,0,104,.582,0.0,.533,3,.000,4,.200,1,1.000,0,0,0,3,0.0,PHI,19,-13,20120428,123,1.4,15,3,22.7,.533,2.8,7,0,8,1,0,11.2,8.5,Elton Brand
3,1190.0,-3.2,11.2,1,0,108,.400,0.0,.400,0,.000,0,.000,3,0,0,0,0,3,0.0,PHI,4,-6,20120428,106,2.6,5,0,20.2,.400,14.8,6,0,2,1,0,17.1,0.0,Lavoy Allen
0,649.0,-7.5,11.9,0,1,118,.532,13.4,.000,2,.000,0,2.000,0,1.000,0,0,0,1,34.7,PHI,2,-6,20120428,84,0.0,1,2,0.0,.000,0.0,0,0,0,1,1,0.0,0.0,Jodie Meeks
2,1770.0,6.3,21.5,3,3,106,.536,30.7,.444,4,.000,0,.556,1,.800,0,0,0,2,21.1,PHI,12,-5,20120428,98,5.2,9,5,9.0,.444,3.3,3,0,4,0,5,5.7,0.0,Evan Turner
0,1626.0,-2.1,19.0,2,2,111,.473,11.3,.167,7,.333,0,1.333,1,.875,0,2,.000,2,17.4,PHI,9,+6,20120428,94,3.8,6,8,0.0,.167,3.6,1,0,1,0,2,2.1,0.0,Lou Williams
3,1525.0,3.2,24.4,2,1,107,.505,8.7,.500,1,.000,0,.167,1,.500,0,0,0,2,7.2,PHI,13,-2,20120428,99,4.0,12,2,15.7,.500,3.9,4,0,6,0,1,8.9,0.0,Thaddeus Young
3,926.0,1.8,14.1,0,0,112,.512,23.2,.500,1,.000,0,.500,1,.500,0,0,0,3,0.0,PHI,5,-3,20120428,122,0.0,4,2,25.9,.500,6.3,4,0,2,0,2,14.6,0.0,Spencer Hawes
0,70.0,-67.8,76.4,0,0,119,.000,0.0,.000,0,.500,0,.000,0,0,0,1,.000,0,0.0,PHI,0,-2,20120428,0,0.0,2,0,0.0,.000,0.0,0,0,0,0,0,0.0,0.0,Sam Young
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,20120428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nikola Vučević
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,20120428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Craig Brackins
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,20120428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tony Battie
6,2368.0,-1.7,18.3,0,2,101,.607,0.0,.571,0,.214,0,.000,0,0,0,3,.333,2,12.5,CHI,17,+3,20120428,101,0.0,14,0,14.9,.607,0.0,6,1,8,1,0,8.6,0.0,Luol Deng
6,2233.0,5.4,35.0,1,5,97,.482,40.9,.391,2,.261,1,.087,3,1.000,0,6,.500,1,17.3,CHI,23,+6,20120428,100,1.4,23,2,15.8,.457,10.7,9,3,9,1,9,13.7,1.7,Derrick Rose
