player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Rajon Rondo,2659.0,.220,.200,.067,.133,7.1,7.7,7.4,47.3,4.7,0.0,23.9,21.6,69,97,-2.2,BOS,1,0,20120605,3,15,.200,0,1,.000,1,2,.500,3,3,6,13,4,0,5,3,7,+11
Paul Pierce,2581.0,.448,.368,.263,.263,0.0,10.6,5.1,17.0,2.4,0.0,8.6,24.7,92,101,-0.2,BOS,1,0,20120605,6,19,.316,2,5,.400,5,5,1.000,0,4,4,4,2,0,2,5,19,0
Ray Allen,2403.0,.519,.278,.444,.889,0.0,20.0,9.5,0.0,1.3,2.1,7.4,15.4,105,99,-0.8,BOS,1,0,20120605,2,9,.222,1,4,.250,8,8,1.000,0,7,7,0,1,1,1,3,13,+1
Kevin Garnett,2136.0,.574,.550,.000,.300,8.8,25.7,16.9,14.8,1.5,4.8,4.2,30.4,117,95,10.8,BOS,1,0,20120605,11,20,.550,0,0,0,4,6,.667,3,8,11,2,1,2,1,4,26,+4
Brandon Bass,1784.0,.563,.500,.000,.250,3.5,11.5,7.3,0.0,3.5,2.9,10.1,15.2,105,97,3.3,BOS,1,0,20120605,4,8,.500,0,0,0,2,2,1.000,1,3,4,0,2,1,1,1,10,0
Mickaël Piétrus,1625.0,.732,.750,.500,.250,3.9,8.4,6.0,0.0,3.8,0.0,18.4,18.4,111,99,5.3,BOS,0,0,20120605,5,8,.625,2,4,.500,1,2,.500,1,2,3,0,2,0,2,4,13,+5
Keyon Dooling,527.0,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,300,110,5.9,BOS,0,0,20120605,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,1,3,+1
Greg Stiemsma,508.0,.798,1.000,.000,2.000,12.3,40.5,25.8,0.0,6.1,0.0,0.0,10.2,168,82,13.7,BOS,0,0,20120605,1,1,1.000,0,0,0,1,2,.500,1,3,4,0,1,0,0,0,3,+1
Marquis Daniels,177.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,111,-4.2,BOS,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Sean Williams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sasha Pavlović,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E'Twaun Moore,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Hollins,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeBron James,2720.0,.526,.480,.240,.320,7.6,23.0,15.6,10.4,2.3,1.6,9.5,30.9,108,97,10.4,MIA,1,0,20120605,11,25,.440,2,6,.333,6,8,.750,3,10,13,2,2,1,3,1,30,0
Dwyane Wade,2368.0,.529,.477,.136,.364,2.9,13.2,8.3,18.4,0.0,1.8,10.5,32.1,107,104,5.9,MIA,1,0,20120605,10,22,.455,1,3,.333,6,8,.750,1,5,6,3,0,1,3,3,27,+8
Mario Chalmers,2139.0,.541,.500,.714,.429,0.0,11.7,6.1,14.4,1.5,0.0,26.5,14.1,91,103,-1.8,MIA,1,0,20120605,3,7,.429,1,5,.200,2,3,.667,0,4,4,3,1,0,3,2,9,-10
Udonis Haslem,2004.0,.255,.200,.000,.400,6.8,37.5,22.9,4.7,0.0,0.0,25.4,10.5,59,99,-5.5,MIA,1,0,20120605,1,5,.200,0,0,0,1,2,.500,2,12,14,1,0,0,2,5,3,+6
Shane Battier,1925.0,.625,.625,.750,.000,0.0,6.5,3.4,10.3,0.0,2.3,20.0,6.9,112,105,0.9,MIA,1,0,20120605,2,4,.500,1,3,.333,0,0,0,0,2,2,2,0,1,1,3,5,-7
James Jones,1007.0,.450,.375,.750,.250,0.0,6.2,3.3,0.0,3.1,0.0,18.4,14.4,81,101,-1.2,MIA,0,0,20120605,1,4,.250,1,3,.333,1,1,1.000,0,1,1,0,1,0,1,1,4,-1
Chris Bosh,863.0,.483,.375,.125,.375,47.7,7.3,26.5,0.0,0.0,0.0,9.7,31.9,114,107,3.8,MIA,0,0,20120605,3,8,.375,0,1,.000,3,3,1.000,6,1,7,0,0,0,1,1,9,-12
Norris Cole,741.0,.000,.000,.500,.000,0.0,0.0,0.0,24.3,8.4,0.0,20.0,18.0,22,91,-6.7,MIA,0,0,20120605,0,4,.000,0,2,.000,0,0,0,0,0,0,2,2,0,1,2,0,+6
Mike Miller,633.0,.500,.500,1.000,.000,0.0,19.8,10.3,0.0,0.0,0.0,0.0,12.6,112,103,-3.3,MIA,0,0,20120605,1,3,.333,1,3,.333,0,0,0,0,2,2,0,0,0,0,3,3,-10
Ronny Turiaf,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dexter Pittman,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juwan Howard,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Anthony,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Bradley,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,1,20120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
