stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.2,16.9,2,2567.0,3,7,.200,.428,7,0,.750,.381,5,21,21,.333,8,9,1,1,+15,.238,.357,Michael Beasley,23.5,14.6,6,PHO,117,20121107,-3.6,22.3,6,15,105,28.2,5.2,5,1,18.9
1.4,6.0,5,2299.0,7,10,0,.730,2,0,.750,.286,0,23,14,.714,4,7,1,1,+9,.000,.714,Marcin Gortat,20.4,8.2,3,PHO,113,20121107,7.5,8.2,3,10,152,17.9,13.5,1,0,14.1
0.0,14.1,3,1970.0,0,5,.500,.656,8,0,.600,.500,6,16,10,.500,5,1,0,1,+8,.600,.650,Goran Dragić,3.4,3.2,3,PHO,131,20121107,-1.6,32.8,1,2,141,17.7,0.0,2,3,3.3
0.0,0.0,3,1873.0,0,4,.400,.500,3,0,0,.000,5,10,10,.400,0,4,0,1,+2,.500,.500,Jared Dudley,14.3,0.0,0,PHO,127,20121107,-7.9,12.5,0,4,138,13.1,0.0,0,2,6.9
1.9,9.2,2,1680.0,0,4,0,.455,5,0,.500,.222,0,9,9,.444,2,1,1,1,+8,.000,.444,Luis Scola,4.0,22.4,1,PHO,127,20121107,-1.5,23.7,6,7,131,15.9,0.0,1,0,13.5
2.2,6.6,1,1420.0,0,7,.750,.845,2,0,.800,.417,8,24,12,.583,5,1,1,0,0,.667,.833,Shannon Brown,4.7,4.4,4,PHO,126,20121107,18.1,14.1,1,2,169,26.3,0.0,1,6,4.6
10.2,20.0,2,928.0,0,0,.000,.000,1,0,0,.000,2,0,4,.000,0,3,3,0,-1,.500,.000,Sebastian Telfair,21.7,0.0,0,PHO,100,20121107,-13.0,7.2,0,3,18,13.2,0.0,1,0,10.5
0.0,7.7,3,915.0,0,5,.000,.417,0,0,0,.000,1,10,12,.417,0,1,0,0,-9,.083,.417,Markieff Morris,7.3,20.5,0,PHO,130,20121107,-19.1,0.0,3,4,100,34.9,0.0,1,0,14.1
4.2,0.0,3,748.0,1,1,0,.725,1,0,.500,4.000,0,4,1,1.000,4,1,1,0,+3,.000,1.000,P.J. Tucker,9.0,16.7,2,PHO,116,20121107,5.2,9.8,2,3,164,9.1,5.9,0,0,13.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luke Zeller,0,0,0,PHO,0,20121107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kendall Marshall,0,0,0,PHO,0,20121107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wesley Johnson,0,0,0,PHO,0,20121107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diante Garrett,0,0,0,PHO,0,20121107,0,0,0,0,0,0,0,0,0,0
1.3,0.0,5,2403.0,0,6,.000,.511,8,0,.833,.429,2,17,14,.429,6,1,1,1,-9,.143,.429,Kemba Walker,2.6,0.0,5,CHA,133,20121107,-5.6,31.1,0,1,134,18.0,0.0,0,0,1.3
1.4,5.9,5,2210.0,0,9,.600,.750,0,0,0,.000,10,24,16,.563,0,6,1,1,-8,.625,.750,Byron Mullens,17.0,6.1,0,CHA,125,20121107,2.7,0.0,2,8,141,20.0,0.0,1,6,11.7
0.0,22.3,3,1749.0,3,4,0,.431,3,0,1.000,.100,0,9,10,.400,1,6,0,1,+4,.000,.400,Michael Kidd-Gilchrist,21.5,7.7,1,CHA,123,20121107,-7.5,15.7,2,8,87,20.0,7.5,3,0,14.8
0.0,31.1,2,1045.0,2,3,0,.788,0,0,1.000,.250,0,7,4,.750,1,4,0,1,-3,.000,.750,Brendan Haywood,24.0,19.2,1,CHA,121,20121107,-3.2,0.0,3,7,114,16.0,8.4,2,0,21.7
0.0,0.0,0,604.0,0,0,0,.000,0,0,0,.000,0,0,3,.000,0,0,0,1,+2,.000,.000,Jeffery Taylor,0.0,0.0,0,CHA,139,20121107,-24.3,0.0,0,0,0,12.9,0.0,0,0,0.0
0.0,15.7,0,2072.0,0,2,.333,.526,9,0,.857,1.400,3,17,10,.200,14,2,0,0,-8,.300,.250,Ramon Sessions,6.0,3.2,12,CHA,135,20121107,-3.5,35.5,1,3,120,24.0,0.0,3,1,4.7
2.1,12.5,1,1494.0,2,5,.333,.429,5,0,0,.000,6,12,14,.357,0,2,1,0,-11,.429,.429,Ben Gordon,8.4,4.5,0,CHA,127,20121107,-0.1,34.0,1,3,98,27.8,5.8,2,2,6.5
0.0,22.5,2,1316.0,3,2,0,.727,0,0,1.000,.333,0,5,3,.667,1,3,0,0,-1,.000,.667,Bismack Biyombo,14.3,10.2,1,CHA,126,20121107,-3.5,0.0,2,5,125,8.8,9.9,1,0,12.3
3.4,0.0,2,932.0,2,3,0,.512,1,0,1.000,.500,0,10,8,.375,4,0,1,0,-1,.000,.375,Tyrus Thomas,0.0,14.4,4,CHA,127,20121107,3.6,10.8,2,2,131,27.2,9.4,0,0,6.9
0.0,0.0,0,575.0,0,4,1.000,.900,0,0,0,.000,1,9,5,.800,0,0,0,0,0,.200,.900,Reggie Williams,0.0,23.3,0,CHA,139,20121107,16.2,0.0,2,2,182,22.6,0.0,0,1,11.3
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cory Higgins,0,0,0,CHA,0,20121107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeSagana Diop,0,0,0,CHA,0,20121107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt Carroll,0,0,0,CHA,0,20121107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Channing Frye,0,0,0,PHO,0,20121107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jermaine O'Neal,0,0,0,PHO,0,20121107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Gerald Henderson,0,0,0,CHA,0,20121107,0,0,0,0,0,0,0,0,0,0
