threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.250,1,5,4,0,0.0,22,20121130,Joe Johnson,2,.688,30.0,0,109,16,0,5.9,0.0,.625,0,0,0,2023.0,.500,0.0,9.0,BRK,10,1,.688,1,1,.000,0,138,0,2.1,0.0,+14,25.3
.000,2,0,0,1.000,15.5,11,20121130,Kris Humphries,0,.333,0.0,3,103,12,0,0.0,0.0,.333,0,3,3,1962.0,0,11.3,-8.1,BRK,4,0,.413,4,1,.250,7,105,4,4.4,13.3,+5,20.4
.667,1,3,6,.500,15.6,20,20121130,Gerald Wallace,5,1.056,16.1,1,105,9,0,0.0,0.0,.778,0,2,0,1947.0,.833,0.0,18.0,BRK,7,0,1.012,1,1,.222,4,199,4,2.2,7.7,+17,15.3
.333,1,7,3,1.000,16.9,11,20121130,Deron Williams,1,.500,35.5,2,104,9,0,16.8,0.0,.444,0,2,0,1799.0,.333,0.0,-0.7,BRK,4,2,.557,3,1,.222,4,117,4,2.4,8.3,+18,19.9
.000,1,3,0,1.000,31.4,14,20121130,Andray Blatche,0,.429,18.4,2,101,14,0,6.3,0.0,.429,0,2,2,1691.0,0,8.7,-0.8,BRK,6,1,.470,3,1,.143,9,108,7,2.5,19.9,+19,28.3
.000,0,0,0,.500,24.0,5,20121130,Reggie Evans,0,.500,0.0,1,96,4,2,29.1,4.4,.500,0,2,5,1581.0,0,23.4,-3.8,BRK,2,2,.512,2,0,.500,10,104,5,0.0,23.7,+7,13.1
.750,0,1,3,0,15.7,6,20121130,C.J. Watson,2,.750,9.3,0,107,4,0,0.0,0.0,.500,0,0,0,966.0,.667,0.0,2.5,BRK,2,0,.750,1,0,.000,2,157,2,0.0,7.7,+2,12.5
1.000,0,2,1,0,9.9,0,20121130,Keith Bogans,0,.000,19.9,0,99,1,1,50.0,4.5,.000,0,0,0,762.0,.000,0.0,-3.0,BRK,0,1,.000,0,0,.000,1,51,1,0.0,4.9,+3,7.9
.000,0,0,0,0,14.0,2,20121130,Josh Childress,0,.200,0.0,0,107,5,0,0.0,0.0,.200,0,0,1,541.0,0,13.6,-19.8,BRK,1,0,.200,0,0,.000,2,61,1,0.0,13.8,-9,27.8
.750,0,0,3,0,14.4,3,20121130,Mirza Teletović,1,.375,0.0,0,107,4,0,0.0,0.0,.250,0,0,0,526.0,.333,0.0,-13.5,BRK,1,0,.375,2,0,.000,1,83,1,0.0,7.1,-7,22.9
.000,0,0,0,1.000,21.9,4,20121130,MarShon Brooks,0,.250,0.0,2,86,4,1,0.0,10.0,.250,0,2,0,346.0,0,0.0,1.9,BRK,1,0,.410,0,0,.500,1,96,1,0.0,10.8,-3,42.4
.000,0,1,0,0,0.0,0,20121130,Tyshawn Taylor,0,.000,29.6,0,111,1,0,0.0,0.0,.000,0,0,0,256.0,0,0.0,-11.3,BRK,0,0,.000,0,0,.000,0,59,0,0.0,0.0,-6,11.8
0,0,0,0,0,0,0,20121130,Jerry Stackhouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,BRK,0,0,0,0,0,0,0,0,0,0,0,0,0
.300,0,2,3,.500,3.6,5,20121130,Arron Afflalo,0,.200,8.7,1,126,10,0,0.0,0.0,.200,0,2,0,2049.0,.000,0.0,-13.8,ORL,2,0,.230,2,1,.200,1,59,1,0.0,1.8,-19,16.0
.300,0,4,3,0,11.8,13,20121130,E'Twaun Moore,1,.650,23.7,0,123,10,0,0.0,0.0,.600,0,0,1,1881.0,.333,4.0,4.8,ORL,6,0,.650,1,1,.000,4,139,3,0.0,8.0,-18,16.1
.000,0,2,0,.800,12.7,16,20121130,Glen Davis,0,.545,13.2,4,123,11,0,18.5,0.0,.545,0,5,0,1739.0,0,0.0,-2.0,ORL,6,3,.606,1,1,.455,3,101,3,0.0,6.5,-9,28.1
.000,1,3,0,1.000,21.8,12,20121130,Nikola Vučević,0,.417,19.3,2,108,12,2,0.0,4.1,.417,0,2,1,1691.0,0,4.5,5.6,ORL,5,0,.466,3,1,.167,6,108,5,2.7,13.3,-18,23.0
.000,1,0,0,0,31.3,8,20121130,Maurice Harkless,0,.500,0.0,0,109,8,1,20.0,2.1,.500,0,0,0,1653.0,0,0.0,-5.7,ORL,4,2,.500,3,1,.000,7,76,7,2.8,15.8,-3,18.3
