threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.300,1,5,6,.833,13.9,30,20121208,Brandon Knight,5,.625,27.8,5,111,20,1,4.2,1.4,.500,0,6,2,2305.0,.833,6.9,12.6,DET,10,1,.663,3,1,.300,7,143,5,2.0,10.8,+13,30.0
.250,0,1,1,1.000,0.0,9,20121208,Kyle Singler,0,.500,4.2,5,119,4,1,24.4,1.6,.500,0,5,2,2105.0,.000,7.6,-4.6,DET,2,2,.726,4,1,1.250,2,127,0,0.0,3.4,+1,11.4
.000,0,1,0,1.000,24.8,14,20121208,Tayshaun Prince,0,.455,5.0,4,108,11,0,7.3,0.0,.455,0,4,0,2063.0,0,0.0,-5.0,DET,5,1,.549,1,1,.364,8,113,8,0.0,13.8,+3,19.5
.000,1,0,0,.500,7.1,10,20121208,Jason Maxiell,0,.571,0.0,2,117,7,0,10.2,0.0,.571,0,4,2,1800.0,0,8.9,-7.0,DET,4,1,.571,4,1,.571,4,114,2,2.5,7.9,+13,15.9
.000,0,3,0,.778,11.0,11,20121208,Greg Monroe,0,.250,15.6,7,112,8,1,20.1,1.9,.250,0,9,1,1745.0,0,4.6,-7.4,DET,2,3,.460,2,1,1.125,4,93,3,0.0,8.2,-1,25.1
.400,1,6,4,0,7.3,10,20121208,Rodney Stuckey,2,.500,34.8,0,113,10,1,0.0,1.9,.400,0,0,0,1748.0,.500,0.0,5.3,DET,4,0,.500,1,0,.000,2,130,2,2.6,4.1,+11,16.7
.000,1,0,0,.333,10.1,9,20121208,Andre Drummond,0,.667,0.0,1,109,6,1,0.0,2.6,.667,0,3,1,1268.0,0,6.3,-1.8,DET,4,0,.615,4,0,.500,3,130,2,3.5,8.4,+10,16.9
.800,0,1,4,0,13.5,6,20121208,Charlie Villanueva,2,.600,10.5,0,115,5,0,16.7,0.0,.400,0,0,1,947.0,.500,8.4,-1.1,DET,2,1,.600,1,0,.000,3,114,2,0.0,11.3,-8,18.5
.000,1,0,0,.500,15.3,5,20121208,Corey Maggette,0,.500,0.0,1,109,4,0,0.0,0.0,.500,0,2,1,419.0,0,19.1,0.8,DET,2,0,.512,2,0,.500,2,117,1,10.7,17.0,-7,34.0
0,0,0,0,0,0,0,20121208,Jonas Jerebko,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20121208,Kim English,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20121208,Austin Daye,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20121208,Will Bynum,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
.500,1,0,6,1.000,21.0,12,20121208,Alonzo Gee,1,.375,0.0,3,118,12,1,7.0,1.5,.333,0,3,3,2285.0,.167,8.4,-2.9,CLE,4,1,.450,2,1,.250,9,112,6,2.1,14.0,-6,16.0
.000,2,5,0,.667,22.1,16,20121208,Anderson Varejão,0,.538,22.3,2,119,13,0,17.3,0.0,.538,0,3,7,2174.0,0,20.6,3.2,CLE,7,3,.559,5,1,.231,13,120,6,4.4,21.3,-2,20.4
.818,0,6,9,0,4.0,6,20121208,Daniel Gibson,2,.273,24.2,0,124,11,1,21.4,1.7,.182,0,0,0,1976.0,.222,0.0,-10.8,CLE,2,3,.273,4,1,.000,1,75,1,0.0,1.8,-1,18.1
.222,1,4,4,.667,9.7,24,20121208,Jeremy Pargo,2,.611,32.4,2,124,18,0,4.9,0.0,.556,0,3,0,1650.0,.500,0.0,11.4,CLE,10,1,.621,3,1,.167,2,139,2,2.9,4.3,+3,31.5
.000,1,0,0,.500,5.5,9,20121208,Tristan Thompson,0,.667,0.0,1,120,6,1,0.0,2.3,.667,0,2,4,1454.0,0,17.6,1.3,CLE,4,0,.654,3,1,.333,5,153,1,3.3,12.2,+7,12.1
.091,3,0,1,.500,13.8,13,20121208,Tyler Zeller,0,.545,0.0,1,119,11,0,14.4,0.0,.545,0,2,5,1734.0,.000,18.5,-1.3,CLE,6,2,.547,3,0,.182,8,111,3,8.3,16.4,-9,20.5
.167,0,2,1,0,26.0,2,20121208,Donald Sloan,0,.167,12.8,0,122,6,0,0.0,0.0,.167,0,0,0,1230.0,.000,0.0,-13.5,CLE,1,0,.167,2,0,.000,4,69,4,0.0,11.6,-10,12.5
.364,0,1,4,1.000,8.8,15,20121208,C.J. Miles,1,.500,13.8,4,126,11,0,19.0,0.0,.455,0,4,1,904.0,.250,7.1,-1.2,CLE,5,3,.588,3,0,.364,2,110,1,0.0,7.9,-6,44.6
