drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
7,2278.0,2.6,19.1,1,2,104,.648,0.0,.615,2,.000,1,.154,4,1.000,0,0,0,4,12.6,NOH,18,-6,20121221,122,1.4,13,2,25.3,.615,11.2,11,0,8,1,0,17.4,2.2,Anthony Davis
3,1837.0,-1.7,23.9,0,1,110,.467,22.4,.467,0,.067,0,.000,0,0,0,1,.000,1,6.3,NOH,14,-2,20121221,100,0.0,15,0,13.4,.467,0.0,3,0,7,1,4,5.9,0.0,Greivis Vásquez
4,1619.0,-6.1,18.2,0,1,110,.359,10.0,.250,3,.125,0,.500,1,.750,0,1,.000,2,9.3,NOH,7,-6,20121221,83,0.0,8,4,20.3,.250,4.0,5,0,2,1,2,11.1,0.0,Austin Rivers
4,1531.0,7.7,14.3,1,1,102,.714,6.4,.714,0,.000,1,.000,2,0,0,0,0,0,12.5,NOH,10,-5,20121221,132,2.0,7,0,21.5,.714,8.4,6,0,5,1,1,14.1,3.2,Robin Lopez
1,929.0,-5.6,8.9,0,0,111,.333,0.0,.333,0,.000,0,.000,0,0,0,0,0,0,0.0,NOH,2,-6,20121221,74,0.0,3,0,8.9,.333,0.0,1,0,1,1,0,3.9,0.0,Lance Thomas
4,1951.0,-1.2,23.9,2,2,101,.400,4.7,.333,0,.467,1,.000,2,0,0,7,.286,3,11.8,NOH,12,+1,20121221,82,3.2,15,0,16.9,.400,6.6,6,2,5,0,1,11.1,2.5,Ryan Anderson
3,1286.0,-2.5,27.5,0,2,110,.460,22.4,.400,2,.400,0,.200,1,1.000,0,4,.000,2,15.5,NOH,10,+8,20121221,93,0.0,10,2,19.2,.400,5.0,4,0,4,0,3,11.2,0.0,Roger Mason
1,1043.0,2.2,29.8,0,1,111,.533,29.6,.444,3,.222,0,.333,0,1.000,0,2,.000,1,8.8,NOH,11,-3,20121221,111,0.0,9,3,7.9,.444,0.0,1,0,4,0,3,3.5,0.0,Brian Roberts
2,846.0,2.2,6.5,1,0,102,.500,9.6,.500,0,.000,0,.000,0,0,0,0,0,2,0.0,NOH,2,-7,20121221,118,3.7,2,0,19.5,.500,0.0,2,0,1,0,1,8.5,0.0,Dominic McGuire
3,814.0,4.5,24.3,1,2,102,.769,0.0,.667,4,.000,0,1.667,1,.800,0,0,0,2,27.8,NOH,8,+5,20121221,116,3.8,3,5,30.3,.667,7.9,4,0,2,0,0,17.7,0.0,Xavier Henry
1,266.0,-16.0,10.3,0,0,109,.000,0.0,.000,0,1.000,0,.000,0,0,0,1,.000,1,0.0,NOH,0,-4,20121221,0,0.0,1,0,30.9,.000,0.0,1,0,0,0,0,13.5,0.0,Darius Miller
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOH,0,0,20121221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al-Farouq Aminu
9,1930.0,10.5,20.7,2,2,91,.656,26.1,.636,1,.000,2,.091,1,1.000,0,0,0,1,14.9,SAS,15,+13,20121221,116,3.2,11,1,29.8,.636,4.3,10,0,7,1,5,18.7,4.3,Tim Duncan
1,1871.0,2.0,34.3,0,2,109,.636,32.6,.588,5,.118,0,.353,0,.833,0,2,.000,2,9.2,SAS,25,-2,20121221,115,0.0,17,6,3.4,.588,0.0,1,0,10,1,5,1.9,0.0,Tony Parker
7,1614.0,-4.8,14.5,1,3,98,.615,10.1,.500,2,.000,0,.500,0,1.000,0,0,0,2,38.1,SAS,6,-1,20121221,80,1.9,4,2,27.8,.500,0.0,7,0,2,1,2,15.6,0.0,Tiago Splitter
4,1420.0,-2.6,18.8,0,0,105,.500,13.1,.444,0,.556,0,.000,0,0,0,5,.200,1,0.0,SAS,9,+7,20121221,98,0.0,9,0,18.0,.500,0.0,4,1,4,1,2,10.1,0.0,Danny Green
2,1292.0,-13.4,11.5,0,1,107,.250,6.1,.250,0,.500,0,.000,0,0,0,2,.000,2,20.0,SAS,2,+3,20121221,47,0.0,4,0,9.9,.250,0.0,2,0,1,1,1,5.6,0.0,Gary Neal
4,1506.0,8.0,13.5,0,0,105,.872,19.5,.833,1,.167,0,.333,1,.500,0,1,1.000,2,0.0,SAS,12,-1,20121221,172,0.0,6,2,17.0,.917,5.5,5,1,5,0,3,12.0,0.0,Boris Diaw
2,1442.0,8.3,31.0,2,2,96,.497,42.4,.300,6,.300,1,.700,0,.857,0,3,.333,0,13.3,SAS,13,-3,20121221,101,4.3,10,7,8.9,.350,0.0,2,1,3,0,7,5.0,2.9,Manu Ginóbili
2,1200.0,4.8,19.5,2,0,93,.508,7.5,.429,1,.429,1,.286,0,.500,0,3,.333,1,0.0,SAS,8,+9,20121221,98,5.2,7,2,10.7,.500,0.0,2,1,3,0,1,6.0,3.4,Kawhi Leonard
1,1048.0,-8.7,22.3,0,1,105,.363,8.2,.333,1,.333,1,.333,0,.500,0,2,.000,0,12.7,SAS,5,-3,20121221,66,0.0,6,2,6.1,.333,0.0,1,0,2,0,1,3.4,3.9,Stephen Jackson
2,839.0,1.8,8.6,0,0,106,.820,21.4,1.000,0,.000,0,.500,0,.000,0,0,0,1,0.0,SAS,4,+1,20121221,166,0.0,2,1,15.3,1.000,0.0,2,0,2,0,2,8.6,0.0,Nando De Colo
0,238.0,-7.1,0.0,0,0,110,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,+2,20121221,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,Matt Bonner
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,20121221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patty Mills
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,20121221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeJuan Blair
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NOH,0,0,20121221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eric Gordon
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NOH,0,0,20121221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Smith
