blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.600,17.8,6.0,114,3,38,.875,31.3,15,0,+6,135,1,0,20130104,2619.0,5,Kobe Bryant,25,7,0,.240,0,.620,0,1,14.9,0.0,.666,LAL,6,8,.320,1,0.0,3,.167,3.4,0.0
0.0,.750,42.4,1.4,123,10,12,1.000,11.8,3,1,+12,139,4,1,20130104,2188.0,1,Steve Nash,4,3,0,1.000,0,1.125,0,3,6.5,1.6,1.128,LAL,4,3,.750,1,0.0,0,.750,42.9,3.2
3.9,.571,0.0,1.4,109,0,21,.455,29.2,8,15,+5,98,4,11,20130104,2173.0,1,Dwight Howard,14,5,0,.000,2,.571,4,0,-3.0,24.0,.557,LAL,0,11,.786,1,12.6,6,0,17.5,35.6
2.0,.167,8.1,1.5,117,2,2,0,9.2,1,5,-6,55,1,4,20130104,2108.0,1,Metta World Peace,6,0,0,.667,1,.167,1,0,-7.8,8.2,.167,LAL,4,0,.000,1,3.3,6,.000,14.3,13.3
5.2,.167,10.6,0.0,118,2,2,0,11.9,1,4,-20,47,1,4,20130104,1636.0,0,Pau Gasol,6,0,0,.333,2,.167,0,0,-7.6,8.5,.167,LAL,2,0,.000,1,0.0,2,.000,14.3,17.2
0.0,.231,5.6,1.8,120,1,14,1.000,25.2,3,3,+2,106,0,2,20130104,1722.0,1,Jodie Meeks,13,6,0,.615,0,.308,1,2,-2.1,6.0,.448,LAL,8,6,.462,0,4.0,2,.250,0.0,8.2
3.7,.667,0.0,0.0,118,0,13,.625,23.1,4,7,-7,152,0,3,20130104,1144.0,0,Jordan Hill,6,5,0,.000,1,.667,4,0,8.4,21.2,.683,LAL,0,8,1.333,0,24.0,1,0,0.0,18.4
0.0,.000,13.4,0.0,126,1,0,0,13.5,0,0,-17,19,1,0,20130104,615.0,0,Darius Morris,2,0,0,.500,0,.000,0,0,-20.0,0.0,.000,LAL,1,0,.000,0,0.0,2,.000,33.3,0.0
0.0,0,0.0,0.0,114,0,0,0,0.0,0,1,0,0,0,1,20130104,195.0,0,Antawn Jamison,0,0,0,0,0,0,0,0,-3.3,17.8,0,LAL,0,0,0,0,0.0,0,0,0,36.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Robert Sacre,0,0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Devin Ebanks,0,0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Chris Duhon,0,0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Earl Clark,0,0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0
0.0,.440,54.1,2.6,111,13,30,1.000,34.8,11,6,+14,119,4,6,20130104,2461.0,2,Chris Paul,25,7,0,.160,0,.460,0,1,5.9,8.5,.534,LAC,4,7,.280,1,0.0,3,.250,12.5,16.7
3.2,.250,4.2,0.0,115,1,5,.750,14.8,1,4,+4,59,4,4,20130104,1762.0,0,Caron Butler,4,3,0,.500,1,.250,0,0,-10.9,7.9,.434,LAC,2,4,1.000,1,0.0,2,.000,41.0,15.6
0.0,.563,12.9,1.8,113,2,24,.714,32.7,9,5,-9,123,2,4,20130104,1720.0,1,Blake Griffin,16,5,0,.063,0,.594,1,1,5.0,10.1,.629,LAC,1,7,.438,1,4.1,4,1.000,9.5,15.9
0.0,.667,0.0,1.9,110,0,8,.000,12.2,4,9,+1,117,1,6,20130104,1623.0,1,DeAndre Jordan,6,0,0,.000,0,.667,3,0,-2.6,19.2,.621,LAC,0,1,.167,1,13.0,4,0,13.4,25.3
0.0,.667,22.8,0.0,119,3,10,1.000,14.2,4,2,+7,173,0,1,20130104,1206.0,0,Willie Green,6,1,0,.167,0,.750,1,1,7.6,5.8,.776,LAC,1,1,.167,1,5.8,3,1.000,0.0,5.7
6.0,.222,16.1,0.0,113,4,8,1.000,16.8,2,6,-5,99,2,4,20130104,1890.0,0,Matt Barnes,9,2,0,.556,2,.333,2,2,-1.2,11.0,.405,LAC,5,2,.222,0,7.4,3,.400,16.8,14.5
11.7,.667,12.0,2.2,105,2,9,0,11.0,4,6,+7,170,0,3,20130104,1449.0,1,Lamar Odom,6,0,0,.167,3,.750,3,1,11.5,14.4,.750,LAC,1,0,.000,0,14.5,5,1.000,0.0,14.2
4.3,.500,6.8,4.8,106,1,8,0,20.2,4,4,-5,98,2,1,20130104,1321.0,2,Eric Bledsoe,8,0,0,.000,1,.500,3,0,0.0,10.5,.500,LAC,0,0,.000,0,16.0,4,0,20.0,5.2
0.0,1.000,9.3,3.5,107,1,5,.333,9.9,2,5,+11,160,0,3,20130104,898.0,1,Ronny Turiaf,2,1,0,.000,0,1.000,2,0,8.1,19.3,.753,LAC,0,3,1.500,0,15.6,2,0,0.0,22.9
0.0,0,0.0,0.0,118,0,0,0,0.0,0,0,0,0,0,0,20130104,70.0,0,Ryan Hollins,0,0,0,0,0,0,0,0,-22.3,0.0,0,LAC,0,0,0,0,0.0,1,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Jamal Crawford,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Steve Blake,0,0,1,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Darius Johnson-Odom,0,0,1,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Chauncey Billups,0,0,1,0,0,0,0,0,0,0,0,LAC,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Grant Hill,0,0,1,0,0,0,0,0,0,0,0,LAC,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130104,0.0,0,Trey Thompkins,0,0,1,0,0,0,0,0,0,0,0,LAC,0,0,0,0,0,0,0,0,0
