blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.556,17.5,6.4,95,3,20,0,25.1,10,10,+1,124,0,8,20130112,2173.0,4,Al Jefferson,18,0,0,.000,0,.556,2,0,10.6,20.7,.556,UTA,0,0,.000,1,7.8,1,0,0.0,35.3
2.8,.667,0.0,3.3,104,0,17,1.000,21.6,6,1,+15,100,5,1,20130112,2086.0,2,Randy Foye,9,2,0,.556,1,.833,0,3,1.0,2.2,.860,UTA,5,2,.222,1,0.0,4,.600,33.6,4.6
0.0,.462,5.4,0.0,110,1,17,.833,27.2,6,7,+5,108,2,5,20130112,1966.0,0,Paul Millsap,13,5,0,.000,0,.462,2,0,-3.8,16.0,.543,UTA,0,6,.462,1,8.6,1,0,11.3,24.4
0.0,.400,12.7,4.8,102,2,5,1.000,11.6,2,2,0,120,0,1,20130112,1423.0,2,DeMarre Carroll,5,1,0,.200,0,.400,1,0,0.1,6.3,.460,UTA,1,1,.200,1,6.0,4,.000,0.0,6.7
0.0,.000,0.0,0.0,115,0,0,0,8.4,0,0,-7,0,0,0,20130112,363.0,0,Jamaal Tinsley,1,0,0,1.000,0,.000,0,0,-16.9,0.0,.000,UTA,1,0,.000,1,0.0,0,.000,0.0,0.0
3.4,.250,25.5,2.0,107,5,6,.667,18.1,2,2,-5,95,1,0,20130112,1728.0,1,Gordon Hayward,8,2,0,.125,1,.250,2,0,-2.3,5.2,.322,UTA,1,3,.375,0,9.8,2,.000,9.7,0.0
0.0,.000,31.2,2.2,107,6,2,1.000,11.6,0,3,0,87,2,2,20130112,1538.0,1,Earl Watson,3,2,0,.000,0,.000,1,0,-5.9,8.8,.258,UTA,0,2,.667,0,5.5,3,0,34.0,12.5
0.0,.714,14.5,2.3,106,2,12,0,20.1,5,3,+6,110,3,3,20130112,1506.0,1,Alec Burks,7,0,0,.286,0,.857,0,2,2.1,9.0,.857,UTA,2,0,.000,0,0.0,4,1.000,30.0,19.1
0.0,.600,17.6,3.0,103,2,7,.250,20.5,3,3,+2,98,1,3,20130112,1147.0,1,Derrick Favors,5,1,0,.000,0,.600,0,0,-1.0,11.8,.518,UTA,0,4,.800,0,0.0,3,0,12.9,25.1
12.5,1.000,0.0,0.0,105,0,4,0,25.8,2,1,-2,83,2,0,20130112,470.0,0,Enes Kanter,2,0,0,.000,1,1.000,1,0,-1.4,9.6,1.000,UTA,0,0,.000,0,18.0,0,0,50.0,0.0
