stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
8.8,29.6,1,2229.0,1,3,.333,.683,8,0,.750,1.333,3,13,6,.500,8,5,6,1,+17,.500,.583,Jeremy Lin,15.0,0.0,6,HOU,79,20130125,14.3,34.3,0,5,120,16.9,2.2,4,1,8.3
1.5,28.3,2,2144.0,0,8,.667,.740,8,0,1.000,.800,3,30,15,.533,12,3,1,1,+4,.200,.600,James Harden,9.4,3.8,12,HOU,98,20130125,8.2,46.2,1,4,121,36.7,0.0,8,2,6.9
0.0,6.9,3,2098.0,3,5,.000,.372,2,0,.000,.077,1,10,13,.385,1,2,0,1,+16,.077,.385,Chandler Parsons,6.4,3.9,0,HOU,98,20130125,-4.4,10.1,1,3,90,19.2,6.9,1,0,5.3
0.0,0.0,2,2054.0,1,8,1.000,.758,0,0,.500,.182,1,18,11,.727,2,8,0,1,+16,.091,.773,Patrick Patterson,26.1,20.0,1,HOU,93,20130125,9.0,0.0,5,13,163,16.1,2.3,0,1,23.4
2.1,42.9,4,1553.0,1,0,0,.000,0,0,0,.000,0,0,4,.000,0,5,1,1,+6,.000,.000,Ömer Aşık,21.6,5.3,0,HOU,90,20130125,-14.3,0.0,1,6,10,12.5,3.1,3,0,14.3
0.0,0.0,1,1473.0,1,5,.667,.778,2,0,0,.000,6,14,9,.556,0,2,0,0,+13,.667,.778,Carlos Delfino,9.1,5.6,0,HOU,99,20130125,14.6,16.1,1,3,169,17.0,3.3,0,4,7.5
0.0,33.3,4,1028.0,0,3,.500,.667,0,0,0,.000,4,8,6,.500,0,2,0,0,+1,.667,.667,Marcus Morris,13.0,8.0,0,HOU,99,20130125,-8.4,0.0,1,3,83,24.4,0.0,3,2,10.8
0.0,20.0,2,860.0,0,1,.333,.375,2,0,0,.000,3,3,4,.250,0,1,0,0,+4,.750,.375,Toney Douglas,7.8,0.0,0,HOU,102,20130125,-7.7,21.9,0,1,89,16.2,0.0,1,1,4.3
0.0,29.1,5,790.0,0,1,0,.410,1,0,.000,.500,0,2,2,.500,1,2,0,0,+7,.000,.500,Greg Smith,17.0,31.2,0,HOU,98,20130125,-9.4,12.0,3,5,101,12.1,0.0,1,0,23.4
0.0,0.0,0,57.0,0,0,0,.532,0,0,1.000,2.000,0,2,1,.000,2,0,0,0,+2,.000,.000,Patrick Beverley,0.0,0.0,2,HOU,105,20130125,2.9,0.0,0,0,138,91.8,0.0,0,0,0.0
