trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
1,.000,3,101,15.0,3.0,.294,0,CHI,.588,.800,20,Marco Belinelli,5,0,20130303,0,17,-0.3,1,20.2,117,1.4,1.2,21.4,5,0,1,4,.588,2693.0,0,3,0.0,8,1,.471,0,0.0,-8
5,.385,2,102,6.2,17.8,.385,4,CHI,.423,.200,15,Luol Deng,5,.800,20130303,0,13,0.0,5,13.5,109,8.5,2.9,20.8,3,0,1,1,.493,2241.0,0,1,0.0,5,2,.385,5,0.0,-6
10,.154,4,107,12.6,28.8,.000,2,CHI,.462,0,14,Joakim Noah,0,1.000,20130303,3,13,1.7,7,28.3,110,19.5,0.0,23.5,5,0,1,0,.504,1947.0,1,2,2.6,6,0,.462,2,11.1,-8
1,.333,4,121,0.0,6.6,.167,2,CHI,.333,.000,6,Nate Robinson,1,1.000,20130303,0,6,-0.1,1,47.0,112,3.1,2.7,16.3,6,0,1,0,.436,1216.0,0,0,0.0,2,1,.333,2,0.0,-10
2,.000,2,63,18.2,7.9,.000,0,CHI,.333,0,6,Carlos Boozer,0,0,20130303,1,9,-13.6,1,10.8,111,7.5,3.2,31.4,1,0,1,0,.333,1010.0,0,2,0.0,3,1,.333,0,7.1,-9
4,.545,2,140,6.8,4.3,.455,5,CHI,.682,.600,20,Jimmy Butler,5,.833,20130303,3,11,11.2,1,6.0,111,8.1,3.5,22.6,1,0,0,3,.733,1870.0,0,1,0.0,6,2,.545,6,11.6,+4
3,.400,5,51,14.5,14.5,.200,0,CHI,.200,.000,2,Marquis Teague,1,.000,20130303,0,5,-12.4,3,15.7,112,6.9,2.0,12.0,3,0,0,0,.170,1651.0,0,1,0.0,1,1,.200,2,0.0,+7
5,.250,1,160,0.0,34.3,.000,1,CHI,.750,0,7,Nazr Mohammed,0,1.000,20130303,1,4,8.8,4,0.0,103,20.3,0.0,13.7,0,0,0,0,.788,933.0,2,0,10.6,3,0,.750,1,7.7,+3
3,.000,4,60,25.0,36.8,.667,0,CHI,.333,.000,2,Vladimir Radmanović,2,0,20130303,0,3,-6.4,3,14.4,99,17.4,0.0,17.7,1,0,0,0,.333,652.0,2,1,15.2,1,0,.333,0,0.0,-1
0,0,0,0,0,0.0,0,0,CHI,0,0,0,Daequan Cook,0,0,20130303,0,0,13.8,0,0.0,83,0.0,17.5,0.0,0,0,0,0,0,187.0,0,0,0.0,0,1,0,0,0.0,+3
0,0,0,0,0,0,0,0,CHI,0,0,0,Kirk Hinrich,0,0,20130303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,CHI,0,0,0,Lou Amundson,0,0,20130303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10,.000,3,79,22.2,21.5,.357,0,IND,.357,.400,10,Paul George,5,0,20130303,2,14,-4.6,8,22.5,105,14.1,2.4,19.4,6,0,1,2,.357,2680.0,0,4,0.0,4,2,.286,0,6.0,+9
7,.500,2,137,8.3,19.9,.056,9,IND,.611,.000,31,David West,1,1.000,20130303,1,18,11.5,6,14.4,104,12.2,3.0,32.0,2,0,1,0,.706,2170.0,0,2,0.0,11,2,.611,9,3.7,0
6,1.667,3,149,22.4,20.1,.500,6,IND,1.250,1.000,21,George Hill,3,.600,20130303,0,6,14.4,6,26.9,103,10.6,1.5,18.1,5,0,1,3,1.010,2148.0,2,3,4.3,6,1,1.000,10,0.0,+13
10,.429,4,120,5.7,16.9,.000,4,IND,.500,0,18,Roy Hibbert,0,.667,20130303,5,14,3.7,5,5.8,98,17.8,3.1,24.0,1,0,1,0,.541,2128.0,3,1,6.5,7,2,.500,6,18.8,+11
7,.400,4,80,14.5,21.1,.200,2,IND,.350,.500,9,Lance Stephenson,2,.500,20130303,1,10,-10.2,6,9.8,110,13.0,0.0,19.4,2,0,1,1,.383,2048.0,0,2,0.0,3,0,.300,4,3.9,+11
