trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
11,.727,0,115,0.0,28.5,.182,5,PHO,.455,.000,15,Markieff Morris,2,.625,20130315,2,11,3.0,9,0.0,101,17.2,2.7,17.0,0,0,1,0,.517,2112.0,0,0,0.0,5,2,.455,8,6.2,-4
2,.667,4,134,11.4,3.3,.167,6,PHO,.625,.500,21,Goran Dragić,2,.750,20130315,1,12,5.7,1,46.2,112,3.3,0.0,21.6,8,0,1,1,.677,2000.0,0,2,0.0,7,0,.583,8,3.3,-9
5,.444,3,156,8.5,11.7,.000,4,PHO,.778,0,18,Jermaine O'Neal,0,1.000,20130315,2,9,7.5,3,7.2,108,9.6,0.0,16.9,1,0,1,0,.836,1716.0,1,1,2.8,7,0,.778,4,7.6,-12
2,.000,1,37,41.7,5.0,.000,0,PHO,.286,0,4,Marcus Morris,0,0,20130315,1,7,-18.7,1,0.0,111,4.9,0.0,22.1,0,0,1,0,.286,1343.0,0,5,0.0,2,0,.286,0,4.9,-9
4,.000,2,47,23.1,21.8,.300,0,PHO,.300,.000,6,Wesley Johnson,3,0,20130315,0,10,-12.1,4,0.0,98,10.8,4.6,26.1,0,0,1,0,.300,1229.0,0,3,0.0,3,2,.300,0,0.0,-8
4,.125,2,99,19.2,15.5,.375,0,PHO,.563,.333,9,Jared Dudley,3,.000,20130315,1,8,8.2,3,34.0,95,10.2,6.5,19.9,4,0,0,1,.533,1298.0,0,2,0.0,4,3,.500,1,5.0,-10
6,.556,1,78,21.1,27.5,.556,3,PHO,.389,.200,10,Michael Beasley,5,.600,20130315,1,9,-1.9,5,8.5,99,16.3,2.3,28.8,1,0,0,1,.446,1218.0,1,3,3.9,3,1,.333,5,5.4,-10
1,.000,4,16,28.6,5.6,.800,0,PHO,.000,.000,0,Kendall Marshall,4,0,20130315,0,5,-21.0,1,13.7,111,2.8,0.0,14.4,2,0,0,0,.000,1199.0,0,2,0.0,0,0,.000,0,0.0,+2
8,.500,4,70,45.0,28.8,.000,1,PHO,.500,0,5,Hamed Haddadi,0,.500,20130315,3,4,-8.0,5,8.2,101,22.8,2.4,18.8,1,0,0,0,.512,1164.0,0,4,0.0,2,1,.500,2,16.9,-1
2,1.000,3,116,18.8,17.4,.000,2,PHO,.667,0,6,Luis Scola,0,.667,20130315,0,3,2.0,2,13.6,101,8.6,3.7,17.1,1,0,0,0,.694,768.0,0,1,0.0,2,1,.667,3,0.0,-9
1,.000,0,42,50.0,19.0,.000,0,PHO,.000,0,0,Diante Garrett,0,0,20130315,0,1,-10.6,1,46.6,109,9.4,0.0,14.0,2,0,0,0,.000,353.0,0,1,0.0,0,0,.000,0,0.0,+5
0,0,0,0,0,0,0,0,PHO,0,0,0,P.J. Tucker,0,0,20130315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,PHO,0,0,0,Shannon Brown,0,0,20130315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
11,.071,2,112,17.2,30.4,.143,1,ATL,.571,.000,17,Josh Smith,2,1.000,20130315,1,14,6.7,10,30.9,85,16.9,3.9,21.0,7,0,1,0,.589,2151.0,1,3,2.2,8,3,.571,1,3.1,+15
11,.250,4,97,14.5,21.8,.000,4,ATL,.375,0,16,Al Horford,0,1.000,20130315,4,16,-6.3,7,16.8,94,17.4,0.0,25.7,4,0,1,0,.450,2097.0,1,3,2.3,6,0,.375,4,12.8,+13
2,.222,2,100,16.8,7.1,.778,1,ATL,.611,.429,12,DeShawn Stevenson,7,.500,20130315,0,9,1.4,2,9.1,92,3.6,3.1,16.8,2,0,1,3,.607,1831.0,1,2,2.6,4,2,.444,2,0.0,+17
2,.000,2,147,10.0,7.4,.556,0,ATL,.889,.800,16,Kyle Korver,5,0,20130315,0,9,4.4,2,10.4,100,3.7,0.0,14.7,2,0,1,4,.889,1770.0,0,1,0.0,6,0,.667,0,0.0,+9
4,.111,3,134,17.5,18.3,.222,1,ATL,.778,1.000,15,Devin Harris,2,1.000,20130315,0,9,11.4,4,34.9,85,9.3,5.9,20.8,5,0,1,2,.794,1428.0,0,2,0.0,6,3,.667,1,0.0,+10
1,.400,1,67,25.4,4.8,.400,4,ATL,.200,.000,8,Jeff Teague,4,1.000,20130315,0,10,-13.1,1,23.2,92,2.4,4.1,30.2,4,0,0,0,.340,1353.0,0,4,0.0,2,2,.200,4,0.0,+5
6,.400,2,94,25.4,28.1,.000,1,ATL,.600,0,7,Ivan Johnson,0,.500,20130315,2,5,-2.3,4,0.0,82,21.3,6.0,21.9,0,0,0,0,.595,933.0,0,2,0.0,3,2,.600,2,14.4,+10
1,.000,1,127,40.0,0.0,.667,0,ATL,1.333,1.000,8,John Jenkins,2,0,20130315,1,3,8.9,0,10.8,95,3.8,3.3,15.0,1,0,0,2,1.333,862.0,0,2,0.0,3,1,1.000,0,7.8,-3
1,.000,0,68,0.0,7.6,.000,0,ATL,.333,0,2,Anthony Tolliver,0,0,20130315,0,3,-5.4,1,0.0,93,3.9,3.3,9.1,0,0,0,0,.333,858.0,0,0,0.0,1,1,.333,0,0.0,+4
2,.000,2,95,16.7,25.6,.200,0,ATL,.500,1.000,5,Johan Petro,1,0,20130315,0,5,2.4,2,37.9,88,13.0,0.0,30.5,2,0,0,1,.500,511.0,1,1,9.4,2,0,.400,0,0.0,-9
0,2.000,0,60,0.0,0.0,.000,1,ATL,.000,0,1,Dahntay Jones,0,.500,20130315,0,1,-14.8,0,0.0,102,0.0,0.0,17.0,0,0,0,0,.266,286.0,0,0,0.0,0,0,.000,2,0.0,-4
0,0,0,0,0,0.0,0,0,ATL,0,0,0,Mike Scott,0,0,20130315,0,0,-7.5,0,0.0,102,0.0,0.0,0.0,0,0,0,0,0,221.0,0,0,0.0,0,0,0,0,0.0,0
0,0,0,0,0,0.0,0,0,ATL,0,0,0,Shelvin Mack,0,0,20130315,0,0,-10.1,0,0.0,102,0.0,0.0,0.0,0,0,0,0,0,99.0,0,0,0.0,0,0,0,0,0.0,-2
0,0,0,0,0,0,0,0,PHO,0,0,0,Channing Frye,0,0,20130315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,PHO,0,0,0,Marcin Gortat,0,0,20130315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,ATL,0,0,0,Zaza Pachulia,0,0,20130315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,ATL,0,0,0,Lou Williams,0,0,20130315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
