player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Stephen Curry,2320.0,.723,.684,.474,.211,3.7,14.6,10.2,16.5,0.0,0.0,25.2,37.2,105,89,2.5,GSW,1,0,20130318,10,19,.526,6,9,.667,4,4,1.000,1,6,7,3,0,0,7,3,30,+19
Klay Thompson,1993.0,.433,.433,.400,.000,0.0,14.2,8.5,5.2,1.7,0.0,21.1,29.7,68,86,-10.2,GSW,1,0,20130318,5,15,.333,3,6,.500,0,0,0,0,5,5,1,1,0,4,3,13,+16
Andrew Bogut,1830.0,.667,.667,.000,.000,4.6,24.7,16.7,27.4,1.8,9.5,14.3,11.9,137,73,14.5,GSW,1,0,20130318,4,6,.667,0,0,0,0,0,0,1,8,9,5,1,4,1,3,8,+24
David Lee,1794.0,.859,.778,.000,.667,18.9,22.0,20.8,27.0,0.0,2.4,20.5,25.4,149,83,13.4,GSW,1,0,20130318,7,9,.778,0,0,0,6,6,1.000,4,7,11,4,0,1,3,3,20,+25
Harrison Barnes,1288.0,.608,.500,.000,1.000,0.0,8.8,5.3,0.0,0.0,0.0,0.0,13.9,127,92,-2.2,GSW,1,0,20130318,2,4,.500,0,0,0,3,4,.750,0,2,2,0,0,0,0,1,7,+11
Jarrett Jack,1859.0,.477,.500,.222,.111,0.0,6.1,3.6,26.9,1.8,0.0,9.6,17.5,105,89,-1.2,GSW,0,0,20130318,4,9,.444,1,2,.500,0,1,.000,0,2,2,5,1,0,1,2,9,+16
Carl Landry,1012.0,.500,.500,.000,.000,0.0,5.6,3.3,0.0,3.3,0.0,0.0,12.3,98,86,-4.7,GSW,0,0,20130318,2,4,.500,0,0,0,0,0,0,0,1,1,0,1,0,0,3,4,-6
Draymond Green,771.0,.000,.000,.000,.000,0.0,14.6,8.8,21.3,4.4,5.7,0.0,4.0,92,75,9.6,GSW,0,0,20130318,0,1,.000,0,0,0,0,0,0,0,2,2,2,1,1,0,1,0,-1
Festus Ezeli,770.0,0,0,0,0,0.0,29.3,17.6,0.0,0.0,5.7,0,0.0,0,77,3.6,GSW,0,0,20130318,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0
Richard Jefferson,437.0,.000,.000,1.000,.000,0.0,12.9,7.8,18.8,0.0,0.0,0.0,7.1,58,90,-6.6,GSW,0,0,20130318,0,1,.000,0,1,.000,0,0,0,0,1,1,1,0,0,0,1,0,-3
Kent Bazemore,328.0,.500,.500,.500,.000,0.0,0.0,0.0,0.0,10.2,0.0,0.0,19.0,97,74,7.8,GSW,0,0,20130318,1,2,.500,0,1,.000,0,0,0,0,0,0,0,1,0,0,0,2,+4
