threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.200,0,7,3,1.000,17.2,19,20130330,Chris Paul,2,.533,50.3,3,97,15,3,5.8,4.7,.467,0,3,0,1942.0,.667,0.0,12.0,LAC,7,1,.582,5,1,.200,5,123,5,0.0,8.6,-12,25.1
.000,1,2,0,1.000,7.9,12,20130330,Blake Griffin,0,.455,15.1,2,109,11,0,14.4,0.0,.455,0,2,1,1694.0,0,4.0,-1.1,LAC,5,2,.505,2,1,.182,3,94,2,3.0,5.9,-12,23.1
.000,1,1,0,0,10.4,8,20130330,DeAndre Jordan,0,.800,10.2,0,107,5,0,37.5,0.0,.800,0,0,3,1285.0,0,15.6,-0.7,LAC,4,3,.800,3,1,.000,5,105,2,4.0,13.0,-15,17.6
.333,0,1,2,0,0.0,6,20130330,Willie Green,2,.500,9.2,0,113,6,0,25.0,0.0,.333,0,0,0,1194.0,1.000,0.0,-6.3,LAC,2,2,.500,2,1,.000,0,76,0,0.0,0.0,-9,18.9
.300,0,1,3,0,0.0,5,20130330,Caron Butler,1,.250,11.4,0,113,10,0,16.7,0.0,.200,0,0,1,1002.0,.333,6.7,-15.6,LAC,2,2,.250,1,1,.000,1,51,0,0.0,3.3,-10,33.8
.429,0,0,6,1.000,11.9,15,20130330,Jamal Crawford,1,.464,0.0,2,106,14,1,0.0,1.8,.429,0,2,0,1686.0,.167,0.0,1.7,LAC,6,0,.504,1,0,.143,3,102,3,0.0,6.0,-8,24.9
.250,0,2,1,0,22.6,2,20130330,Eric Bledsoe,0,.250,13.4,0,93,4,3,33.3,6.1,.250,0,0,0,1479.0,.000,0.0,-1.3,LAC,1,2,.250,0,0,.000,5,47,5,0.0,11.3,-3,11.4
.000,3,0,0,1.000,28.9,6,20130330,Ryan Hollins,0,.667,0.0,2,97,3,0,34.0,0.0,.667,0,2,2,1389.0,0,9.6,-0.7,LAC,2,2,.773,5,0,.667,8,109,6,11.1,19.3,-2,11.9
1.000,1,1,5,.500,17.2,4,20130330,Matt Barnes,1,.300,8.6,1,93,5,2,14.5,5.2,.200,0,2,0,1170.0,.200,0.0,-1.9,LAC,1,1,.340,5,0,.400,3,66,3,4.4,8.6,-12,16.6
.000,0,0,0,.000,16.1,2,20130330,Grant Hill,0,.333,0.0,0,100,3,1,36.8,3.6,.333,0,1,0,830.0,0,0.0,-10.4,LAC,1,2,.291,1,0,.333,2,35,2,0.0,8.1,-1,18.5
1.000,1,0,1,0,56.4,0,20130330,Lamar Odom,0,.000,0.0,0,87,1,0,0.0,0.0,.000,0,0,0,356.0,.000,0.0,0.0,LAC,0,0,.000,0,0,.000,3,0,3,14.4,28.2,-4,7.9
1.000,0,0,1,1.000,0.0,2,20130330,Maalik Wayns,0,.000,0.0,2,112,1,0,34.7,0.0,.000,0,2,0,192.0,.000,0.0,-20.4,LAC,0,1,.532,1,0,2.000,0,73,0,0.0,0.0,+1,42.3
0,0,0,0,0,0.0,0,20130330,Ronny Turiaf,0,0,0.0,0,113,0,0,0,0.0,0,0,0,0,181.0,0,0.0,-4.6,LAC,0,0,0,0,0,0,0,0,0,0.0,0.0,+2,0.0
.333,1,4,5,.500,22.8,15,20130330,Chandler Parsons,2,.467,21.1,1,84,15,1,11.2,1.5,.400,0,2,2,2054.0,.400,6.5,5.6,HOU,6,2,.472,3,1,.133,9,102,7,2.5,14.7,+20,22.4
.000,2,2,0,.250,33.0,13,20130330,Ömer Aşık,0,.667,10.7,1,79,9,1,15.7,1.5,.667,0,4,2,2031.0,0,6.6,8.5,HOU,6,2,.604,1,1,.444,12,110,10,5.1,19.8,+13,16.2
.200,1,3,2,.750,0.0,15,20130330,Jeremy Lin,1,.450,15.9,6,92,10,0,30.7,0.0,.400,0,8,0,1880.0,.500,0.0,-5.6,HOU,4,6,.555,4,1,.800,0,85,0,2.7,0.0,+12,26.7
