player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Bismack Biyombo,2520.0,.800,.800,.000,.000,10.1,20.2,15.1,3.4,0.0,6.0,28.6,8.2,120,113,-1.1,CHA,1,0,20130330,4,5,.800,0,0,0,0,0,0,3,6,9,1,0,3,2,5,8,-7
Josh McRoberts,2437.0,.508,.462,.000,.308,3.5,7.0,5.2,3.8,0.0,0.0,6.3,19.0,104,120,-7.0,CHA,1,0,20130330,6,13,.462,0,0,0,3,4,.750,1,2,3,1,0,0,1,4,15,-2
Gerald Henderson,2399.0,.470,.472,.056,.278,0.0,10.6,5.3,29.6,2.8,0.0,0.0,24.7,110,114,4.5,CHA,1,0,20130330,8,18,.444,1,1,1.000,2,5,.400,0,3,3,7,2,0,0,1,19,-8
Kemba Walker,2291.0,.508,.429,.214,.286,0.0,11.1,5.5,37.1,1.4,0.0,20.2,25.3,99,116,-4.2,CHA,1,0,20130330,6,14,.429,0,3,.000,4,4,1.000,0,3,3,9,1,0,4,4,16,0
Michael Kidd-Gilchrist,2035.0,.823,.818,.000,.364,0.0,37.5,18.7,0.0,0.0,0.0,7.3,19.8,148,115,4.2,CHA,1,0,20130330,9,11,.818,0,0,0,3,4,.750,0,9,9,0,0,0,1,4,21,+2
Jannero Pargo,1025.0,.458,.458,.333,.000,16.5,8.3,12.4,11.7,3.2,0.0,14.3,40.1,87,113,-4.4,CHA,0,0,20130330,5,12,.417,1,4,.250,0,0,0,2,1,3,1,1,0,2,3,11,-7
Ben Gordon,890.0,.000,.000,.000,.000,0.0,19.0,9.5,25.5,3.7,0.0,50.0,13.2,36,111,-9.0,CHA,0,0,20130330,0,2,.000,0,0,0,0,0,0,0,2,2,3,1,0,2,0,0,-11
Jeff Adrien,803.0,.275,.000,.000,6.000,21.1,10.5,15.8,0.0,0.0,0.0,0.0,13.3,87,120,-11.1,CHA,0,0,20130330,0,1,.000,0,0,0,2,6,.333,2,1,3,0,0,0,0,1,2,-7
Reggie Williams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrus Thomas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffery Taylor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Mullens,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSagana Diop,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jrue Holiday,2458.0,.356,.353,.176,.353,0.0,10.3,5.2,34.0,0.0,0.0,16.9,29.2,78,111,-13.0,PHI,1,0,20130330,6,17,.353,0,3,.000,2,6,.333,0,3,3,9,0,0,4,2,14,+4
Thaddeus Young,2297.0,.663,.600,.100,.300,11.1,25.8,18.4,12.3,2.9,0.0,15.0,17.6,125,102,2.7,PHI,1,0,20130330,6,10,.600,0,1,.000,3,3,1.000,3,7,10,3,2,0,2,3,15,+10
Damien Wilkins,2140.0,.615,.600,.000,.500,0.0,15.8,7.9,9.0,0.0,0.0,0.0,17.3,127,109,-3.3,PHI,1,0,20130330,6,10,.600,0,0,0,3,5,.600,0,4,4,2,0,0,0,4,15,0
Spencer Hawes,2069.0,.738,.708,.167,.167,16.4,8.2,12.3,31.1,0.0,2.0,13.4,21.8,140,109,8.9,PHI,1,0,20130330,8,12,.667,1,2,.500,2,2,1.000,4,2,6,6,0,1,2,4,19,+15
Evan Turner,1944.0,.661,.607,.214,.429,0.0,30.5,15.3,17.0,0.0,0.0,10.7,29.1,120,107,2.3,PHI,1,0,20130330,8,14,.571,1,3,.333,5,6,.833,0,7,7,3,0,0,2,2,22,-3
Royal Ivey,1411.0,.917,.917,.833,.000,0.0,0.0,0.0,13.7,7.0,0.0,0.0,12.9,171,98,14.2,PHI,0,0,20130330,4,6,.667,3,5,.600,0,0,0,0,0,0,2,3,0,0,4,11,+16
Dorell Wright,1214.0,.282,.000,.500,.750,0.0,14.0,7.0,18.7,2.7,0.0,0.0,13.3,90,104,-5.8,PHI,0,0,20130330,0,4,.000,0,2,.000,3,3,1.000,0,2,2,3,1,0,0,3,3,+6
Lavoy Allen,868.0,.568,0,0,0,0.0,9.8,4.9,0.0,3.8,0.0,0.0,3.1,123,103,-4.3,PHI,0,0,20130330,0,0,0,0,0,0,1,2,.500,0,1,1,0,1,0,0,2,1,-8
Nick Young,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Pargo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnett Moultrie,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Jenkins,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwame Brown,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan Haywood,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,1,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramon Sessions,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,1,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Bynum,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,1,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Richardson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,1,20130330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
