trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
5,.000,2,104,11.1,16.4,.438,0,POR,.531,.429,17,Damian Lillard,7,0,20130401,0,16,-5.2,5,19.9,130,9.8,0.0,24.2,5,0,1,3,.531,2369.0,1,2,2.0,7,0,.438,0,0.0,-16
7,.375,3,93,34.9,20.6,.000,2,POR,.625,0,12,Meyers Leonard,0,.667,20130401,1,8,-6.6,6,11.7,129,14.4,0.0,20.1,3,0,1,0,.644,2263.0,1,5,2.1,5,0,.625,3,5.1,-2
0,.154,1,153,0.0,0.0,.538,1,POR,.846,.571,23,Wesley Matthews,7,.500,20130401,0,13,6.2,0,6.1,136,0.0,0.0,23.6,1,0,1,4,.829,1874.0,0,0,0.0,9,0,.692,2,0.0,-15
0,.000,2,107,30.0,0.0,.571,0,POR,.714,.500,10,Nicolas Batum,4,0,20130401,0,7,-4.5,0,20.2,136,0.0,0.0,18.1,4,0,1,2,.714,1757.0,0,3,0.0,4,0,.571,0,0.0,-21
7,.333,2,82,22.5,31.1,.000,1,POR,.500,0,7,J.J. Hickson,0,.500,20130401,1,6,-12.3,6,0.0,129,21.6,0.0,18.8,0,0,1,0,.509,1504.0,0,2,0.0,3,0,.500,2,7.7,-20
5,.800,1,129,22.8,22.5,.600,2,POR,1.000,.667,12,Victor Claver,3,.500,20130401,0,5,4.5,5,10.3,127,13.5,1.9,16.2,2,0,0,2,.888,1726.0,0,2,0.0,4,1,.800,4,0.0,+13
1,.333,2,139,22.5,5.4,.167,1,POR,.750,1.000,10,Eric Maynor,1,.500,20130401,0,6,1.5,1,52.0,134,3.2,0.0,19.8,8,0,0,1,.727,1431.0,0,2,0.0,4,0,.667,2,0.0,-1
4,.000,3,104,0.0,23.8,.000,0,POR,.333,0,2,Joel Freeland,0,0,20130401,1,3,-8.0,3,8.1,130,18.9,0.0,9.7,1,0,0,0,.333,983.0,0,0,0.0,1,0,.333,0,11.7,+3
1,1.000,1,144,0.0,24.9,.000,2,POR,.500,0,4,Will Barton,0,1.000,20130401,0,2,8.9,1,0.0,106,14.8,10.7,29.3,0,0,0,0,.694,313.0,0,0,0.0,1,1,.500,2,0.0,+6
0,2.000,0,266,0.0,0.0,1.000,2,POR,1.500,1.000,5,Nolan Smith,1,1.000,20130401,0,1,56.9,0,69.6,136,0.0,0.0,33.2,1,0,0,1,1.330,180.0,0,0,0.0,1,0,1.000,2,0.0,+3
0,0,0,0,0,0,0,0,POR,0,0,0,Sasha Pavlović,0,0,20130401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,POR,0,0,0,Jared Jeffries,0,0,20130401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,POR,0,0,0,Luke Babbitt,0,0,20130401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
2,.182,3,137,7.8,0.0,.000,2,UTA,.636,0,16,Paul Millsap,0,1.000,20130401,2,11,-1.9,0,7.2,121,4.2,1.5,17.1,2,0,1,0,.673,2232.0,0,1,0.0,7,1,.636,2,7.0,+11
10,.095,0,115,4.4,43.9,.000,0,UTA,.571,0,24,Al Jefferson,0,.000,20130401,3,21,6.0,7,12.0,108,25.3,3.7,37.0,2,0,1,0,.548,1836.0,2,1,7.1,12,2,.571,2,12.7,+15
1,.000,3,165,7.7,6.6,.583,0,UTA,.833,.857,20,Mo Williams,7,0,20130401,0,12,13.7,1,44.3,124,2.7,0.0,22.1,9,0,1,6,.833,1749.0,0,1,0.0,7,0,.583,0,0.0,+20
5,.250,1,136,10.1,27.3,.125,2,UTA,.625,.000,12,Gordon Hayward,1,1.000,20130401,1,8,-0.9,4,14.0,124,13.7,0.0,17.4,3,0,1,0,.676,1691.0,0,1,0.0,5,0,.625,2,4.6,+24
1,.286,4,156,0.0,7.7,.857,2,UTA,.643,.500,11,Randy Foye,6,1.000,20130401,0,7,6.3,1,14.6,114,3.1,4.5,15.6,3,0,1,3,.698,1504.0,0,0,0.0,3,2,.429,2,0.0,+17
