player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
James Harden,2706.0,.495,.400,.520,.480,4.8,13.1,9.1,13.8,1.2,0.0,16.5,39.6,89,104,0.2,HOU,1,0,20130417,8,25,.320,4,13,.308,10,12,.833,2,6,8,3,1,0,6,3,30,-4
Chandler Parsons,2681.0,.609,.611,.389,.111,0.0,8.8,4.6,15.4,1.2,0.0,13.7,24.1,103,106,2.7,HOU,1,0,20130417,10,18,.556,2,7,.286,1,2,.500,0,4,4,3,1,0,3,3,23,-13
Ömer Aşık,2598.0,.538,.571,.000,.143,7.5,20.4,14.3,0.0,1.3,2.1,11.8,9.6,104,99,-2.1,HOU,1,0,20130417,4,7,.571,0,0,0,0,1,.000,3,9,12,0,1,1,1,5,8,-6
Greg Smith,2508.0,.667,.667,.000,.000,5.2,18.8,12.3,4.2,0.0,8.7,14.3,8.3,121,99,1.3,HOU,1,0,20130417,4,6,.667,0,0,0,0,0,0,2,8,10,1,0,4,1,5,8,+12
Jeremy Lin,2076.0,.381,.357,.500,.286,0.0,5.7,3.0,42.4,0.0,0.0,11.3,25.3,86,110,-4.2,HOU,1,0,20130417,4,14,.286,2,7,.286,2,4,.500,0,2,2,8,0,0,2,4,12,-5
Patrick Beverley,1105.0,.510,.400,.400,.400,5.9,21.3,14.0,19.7,3.0,0.0,0.0,15.7,123,95,4.0,HOU,0,0,20130417,2,5,.400,0,2,.000,2,2,1.000,1,4,5,2,1,0,0,3,6,-1
Carlos Delfino,923.0,.000,.000,.500,.000,0.0,12.8,6.7,19.7,3.6,0.0,0.0,12.8,28,98,-9.7,HOU,0,0,20130417,0,4,.000,0,2,.000,0,0,0,0,2,2,2,1,0,0,3,0,+1
Terrence Jones,781.0,1.000,1.000,.000,.000,8.3,15.1,11.9,30.3,4.2,0.0,0.0,7.6,207,96,16.5,HOU,0,0,20130417,2,2,1.000,0,0,0,0,0,0,1,2,3,2,1,0,0,1,4,-4
Francisco García,522.0,.463,.333,.667,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,99,114,-6.3,HOU,0,0,20130417,1,3,.333,0,2,.000,2,3,.667,0,0,0,0,0,0,0,1,4,0
Thomas Robinson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
