blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
3.7,.571,14.2,3.9,91,3,20,.571,20.9,8,10,+3,122,1,8,20130505,2402.0,3,Marc Gasol,14,4,0,.000,2,.571,2,0,14.0,14.3,.585,MEM,0,7,.500,1,5.5,1,0,5.5,24.0
0.0,.333,13.2,2.7,99,3,13,.667,22.3,5,5,+4,83,2,4,20130505,2286.0,2,Mike Conley,15,2,0,.333,0,.367,1,1,0.0,7.5,.398,MEM,5,3,.200,1,2.9,1,.200,10.9,12.6
0.0,.438,5.0,0.0,102,1,18,.800,26.3,7,10,-2,93,3,8,20130505,2238.0,0,Zach Randolph,16,4,0,.000,0,.438,2,0,-1.2,15.3,.495,MEM,0,5,.313,1,5.8,3,0,14.2,25.7
0.0,.400,9.3,0.0,104,2,9,.000,14.4,4,5,0,92,0,5,20130505,2096.0,0,Tayshaun Prince,10,0,0,.400,0,.450,0,1,0.0,8.2,.414,MEM,4,2,.200,1,0.0,1,.250,0.0,17.2
0.0,.200,0.0,0.0,106,0,3,1.000,16.8,1,4,-3,57,2,2,20130505,1231.0,0,Tony Allen,5,1,0,.000,0,.200,2,0,-11.3,11.1,.276,MEM,0,1,.200,1,10.6,3,0,26.9,11.7
0.0,.500,21.1,0.0,104,3,13,.400,18.9,4,5,-2,139,0,4,20130505,1497.0,0,Quincy Pondexter,8,2,0,.625,0,.688,1,3,10.9,11.5,.637,MEM,5,5,.625,0,4.4,4,.600,0.0,19.2
0.0,.571,9.7,0.0,107,1,10,0,16.5,4,1,-4,145,0,1,20130505,1178.0,0,Jerryd Bayless,7,0,0,.571,0,.714,0,2,6.4,2.9,.714,MEM,4,0,.000,0,0.0,3,.500,0.0,6.1
0.0,.333,0.0,0.0,106,0,2,0,23.5,1,1,+1,32,3,1,20130505,709.0,0,Darrell Arthur,3,0,0,.000,0,.333,0,0,-21.7,4.8,.333,MEM,0,0,.000,0,0.0,3,0,50.0,10.2
0.0,.000,0.0,0.0,108,0,0,0,11.8,0,0,-6,0,0,0,20130505,471.0,0,Keyon Dooling,2,0,0,.500,0,.000,0,0,-16.5,0.0,.000,MEM,1,0,.000,0,0.0,1,.000,0.0,0.0
0.0,.500,0.0,0.0,108,0,3,1.000,23.2,1,0,-1,129,0,0,20130505,292.0,0,Austin Daye,2,1,0,.000,0,.500,0,0,-1.9,0.0,.615,MEM,0,1,.500,0,0.0,2,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130505,0.0,0,Tony Wroten,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130505,0.0,0,Jon Leuer,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130505,0.0,0,Ed Davis,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,0,0,0,0,0,0,0
3.5,.500,35.2,1.2,91,6,35,.900,36.3,13,15,+2,114,3,15,20130505,2622.0,1,Kevin Durant,26,9,0,.077,2,.500,0,0,15.5,19.6,.576,OKC,2,10,.385,1,0.0,1,.000,9.0,37.4
0.0,.167,13.3,0.0,100,3,2,0,12.5,1,7,-8,44,3,6,20130505,2056.0,0,Kendrick Perkins,6,0,0,.167,0,.167,1,0,-7.3,11.7,.167,OKC,1,0,.000,1,3.5,4,.000,33.3,19.1
0.0,.500,11.4,0.0,103,2,12,1.000,16.3,4,3,-4,120,1,3,20130505,1886.0,0,Reggie Jackson,8,4,0,.125,0,.500,0,0,1.2,5.5,.615,OKC,1,4,.500,1,0.0,2,.000,9.3,10.4
7.9,.100,5.3,0.0,96,1,5,.750,21.1,1,5,+4,61,1,2,20130505,1728.0,0,Serge Ibaka,10,3,0,.100,3,.100,3,0,-8.6,9.9,.213,OKC,1,4,.400,1,12.5,4,.000,7.8,7.6
0.0,.400,0.0,0.0,104,0,4,0,13.4,2,1,-10,83,0,1,20130505,1066.0,0,Thabo Sefolosha,5,0,0,.200,0,.400,0,0,-4.1,3.2,.400,OKC,1,0,.000,1,0.0,0,.000,0.0,6.1
2.4,.571,0.0,0.0,97,0,25,.857,27.2,8,7,+14,139,1,7,20130505,1897.0,0,Kevin Martin,14,6,0,.357,1,.679,0,3,13.4,12.7,.732,OKC,5,7,.500,0,0.0,2,.600,5.5,24.2
0.0,.429,0.0,2.2,100,0,8,0,14.1,3,0,+14,115,0,0,20130505,1412.0,1,Derek Fisher,7,0,0,.429,0,.571,0,2,3.1,0.0,.571,OKC,3,0,.000,0,0.0,2,.667,0.0,0.0
0.0,.333,7.5,0.0,103,1,2,0,9.1,1,4,+4,93,1,1,20130505,1258.0,0,Nick Collison,3,0,0,.000,0,.333,3,0,-6.0,10.9,.333,OKC,0,0,.000,0,17.2,4,0,25.0,5.2
