trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
18,.444,2,76,15.7,28.5,.000,3,MEM,.333,0,15,Zach Randolph,0,.375,20130521,7,18,-1.3,11,13.5,94,19.8,1.2,25.1,3,0,1,0,.349,2726.0,2,4,4.0,6,1,.333,8,13.4,-7
14,.333,5,105,6.8,30.2,.000,4,MEM,.333,0,12,Marc Gasol,0,1.000,20130521,3,12,1.8,11,17.6,96,16.3,0.0,15.4,4,0,1,0,.436,2571.0,2,1,4.3,4,0,.333,4,6.1,+2
4,.429,4,117,5.7,10.0,.357,4,MEM,.500,.400,18,Mike Conley,5,.667,20130521,1,14,10.1,3,25.1,93,5.7,3.1,22.4,4,0,1,2,.541,2116.0,1,1,2.6,6,2,.429,6,2.5,+1
8,.364,2,79,13.6,17.9,.091,4,MEM,.182,.000,8,Tony Allen,1,1.000,20130521,4,11,0.9,4,20.9,93,15.2,4.2,25.1,3,0,1,0,.313,1576.0,0,2,0.0,2,2,.182,4,13.2,-16
2,.000,1,57,16.7,0.0,.000,0,MEM,.200,0,2,Tayshaun Prince,0,0,20130521,2,5,-10.2,0,11.0,104,6.1,0.0,16.5,1,0,1,0,.200,976.0,0,1,0.0,1,0,.200,0,10.7,-11
9,.000,2,130,0.0,25.2,.667,0,MEM,.583,.250,7,Quincy Pondexter,4,0,20130521,1,6,0.7,8,4.9,98,12.0,1.5,7.2,1,0,0,1,.583,2242.0,0,0,0.0,3,1,.500,0,2.3,+3
3,.222,2,99,4.8,10.5,.278,3,MEM,.417,.200,18,Jerryd Bayless,5,.750,20130521,0,18,7.6,3,21.5,93,4.5,3.2,27.6,3,0,0,1,.455,2017.0,1,1,2.7,7,2,.389,4,0.0,-2
1,.000,0,163,0.0,9.2,.333,0,MEM,.833,1.000,5,Keyon Dooling,1,0,20130521,0,3,4.4,1,0.0,103,3.9,0.0,10.5,0,0,0,1,.833,768.0,0,0,0.0,2,0,.667,0,0.0,+5
0,.000,4,75,0.0,0.0,.000,0,MEM,.333,0,4,Darrell Arthur,0,0,20130521,0,6,-8.8,0,0.0,93,0.0,4.5,22.3,0,0,0,0,.333,724.0,0,0,0.0,2,1,.333,0,0.0,+9
1,.000,0,15,0.0,0.0,.250,0,MEM,.000,.000,0,Tony Wroten,1,0,20130521,1,4,-38.1,0,0.0,104,17.8,0.0,63.5,0,0,0,0,.000,169.0,0,0,0.0,0,0,.000,0,30.8,-5
0,0,0,0,0,0.0,0,0,MEM,0,0,0,Jon Leuer,0,0,20130521,0,0,-7.8,0,0.0,104,0.0,0.0,0.0,0,0,0,0,0,16.0,0,0,0.0,0,0,0,0,0.0,+1
0,0,0,0,0,0,0,0,MEM,0,0,0,Austin Daye,0,0,20130521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MEM,0,0,0,Ed Davis,0,0,20130521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
5,.200,1,93,8.4,10.4,.200,2,SAS,.325,.250,15,Tony Parker,4,.500,20130521,0,20,7.7,5,80.1,90,6.0,3.9,29.0,18,0,1,1,.345,2514.0,0,2,0.0,6,3,.300,4,0.0,+12
9,.000,1,89,18.2,19.5,.556,0,SAS,.667,.400,12,Kawhi Leonard,5,0,20130521,0,9,0.4,9,0.0,92,11.2,0.0,14.0,0,0,1,2,.667,2411.0,1,2,1.6,5,0,.556,0,0.0,+15
4,.250,4,120,18.4,10.3,.000,2,SAS,.750,0,14,Tiago Splitter,0,1.000,20130521,0,8,4.2,4,11.9,96,5.9,0.0,16.6,2,0,1,0,.788,2020.0,2,2,3.9,6,0,.750,2,0.0,-10
9,.500,5,92,14.9,19.5,.000,5,SAS,.429,0,17,Tim Duncan,0,.714,20130521,2,14,6.7,7,19.8,79,14.5,3.5,33.0,3,0,1,0,.498,1868.0,4,3,8.5,6,2,.429,7,7.6,+22
4,.000,3,109,11.1,9.6,.500,0,SAS,.688,.750,11,Danny Green,4,0,20130521,1,8,9.1,3,6.9,94,7.3,0.0,16.9,1,0,1,3,.688,1633.0,3,1,7.3,4,0,.500,0,4.3,+12
3,.000,2,93,25.0,8.9,.500,0,SAS,.583,.333,7,Manu Ginóbili,3,0,20130521,0,6,-1.2,3,23.8,98,5.1,0.0,14.0,4,0,0,1,.583,1751.0,1,2,2.3,3,0,.500,0,0.0,+2
2,.000,4,89,0.0,6.4,.800,0,SAS,.500,.250,5,Matt Bonner,4,0,20130521,0,5,-3.9,2,0.0,99,3.7,0.0,9.4,0,0,0,1,.500,1636.0,1,0,2.4,2,0,.400,0,0.0,-12
3,.500,1,101,0.0,20.3,.750,2,SAS,.375,.333,5,Gary Neal,3,1.000,20130521,0,4,-1.1,3,0.0,92,11.7,0.0,19.5,0,0,0,1,.512,769.0,0,0,0.0,1,0,.250,2,0.0,-11
2,.000,2,67,16.7,14.6,.200,0,SAS,.400,.000,4,Boris Diaw,1,0,20130521,0,5,-9.6,2,16.5,95,8.4,0.0,25.9,1,0,0,0,.400,712.0,0,1,0.0,2,0,.400,0,0.0,-2
5,.500,0,74,0.0,35.6,.250,1,SAS,.250,.000,3,Cory Joseph,1,.500,20130521,1,4,-5.8,4,0.0,83,25.6,0.0,25.6,0,0,0,0,.307,585.0,0,0,0.0,1,0,.250,2,12.1,-8
0,0,0,0,0,0,0,0,SAS,0,0,0,Patty Mills,0,0,20130521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAS,0,0,0,Tracy McGrady,0,0,20130521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAS,0,0,0,DeJuan Blair,0,0,20130521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MEM,0,0,0,Donté Greene,0,0,20130521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MEM,0,0,0,Willie Reed,0,0,20130521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAS,0,0,0,Aron Baynes,0,0,20130521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAS,0,0,0,Nando De Colo,0,0,20130521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
