threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.176,0,3,3,.750,17.7,20,20131106,Monta Ellis,1,.500,14.2,3,112,17,0,27.2,0.0,.471,0,4,0,2330.0,.333,0.0,-8.8,DAL,8,7,.533,5,1,.235,5,82,5,0.0,7.7,-9,28.4
.333,0,3,4,1.000,23.9,16,20131106,Dirk Nowitzki,2,.500,14.4,4,102,12,3,22.5,4.2,.417,0,4,0,2064.0,.500,0.0,3.6,DAL,5,4,.581,2,1,.333,6,98,6,0.0,10.5,+3,22.1
.308,2,3,4,1.000,16.9,17,20131106,Shawn Marion,2,.615,17.3,1,103,13,2,13.0,3.0,.538,0,1,0,1950.0,.500,0.0,10.5,DAL,7,2,.632,1,1,.077,4,116,4,4.5,7.4,-9,20.3
.333,0,3,2,1.000,4.3,9,20131106,José Calderón,1,.583,14.4,2,105,6,3,30.4,4.5,.500,0,2,1,1909.0,.500,3.4,2.5,DAL,3,3,.654,1,1,.333,2,103,1,0.0,3.8,-11,13.3
.000,0,0,0,0,22.6,6,20131106,Samuel Dalembert,0,.300,0.0,0,111,10,0,23.1,0.0,.300,0,0,5,1457.0,0,22.0,-13.5,DAL,3,3,.300,2,1,.000,9,66,4,0.0,22.2,-1,22.9
.625,0,0,5,.667,5.5,17,20131106,Jae Crowder,3,.938,0.0,2,107,8,2,9.7,3.9,.750,0,3,2,1489.0,.600,8.6,16.0,DAL,6,1,.912,1,0,.375,3,160,1,0.0,7.3,-4,17.8
.000,0,1,0,0,7.2,8,20131106,DeJuan Blair,0,.500,9.7,0,108,8,1,11.1,2.5,.500,0,0,2,1145.0,0,11.2,-1.4,DAL,4,1,.500,3,0,.000,3,102,1,0.0,9.4,-18,20.2
.500,0,2,2,0,10.0,0,20131106,Vince Carter,0,.000,19.4,0,114,4,0,0.0,0.0,.000,0,0,0,826.0,.000,0.0,-11.5,DAL,0,0,.000,1,0,.000,1,31,1,0.0,4.4,-13,12.4
.250,0,2,1,0,12.7,0,20131106,Gal Mekel,0,.000,24.7,0,104,4,1,0.0,4.5,.000,0,0,1,649.0,.000,9.9,-4.7,DAL,0,0,.000,0,0,.000,2,43,1,0.0,11.1,-6,15.8
1.000,0,0,1,0,16.8,0,20131106,Wayne Ellington,0,.000,0.0,0,113,1,0,0.0,0.0,.000,0,0,0,490.0,.000,0.0,-8.9,DAL,0,0,.000,0,0,.000,1,0,1,0.0,7.3,0,5.2
.500,0,0,1,0,0.0,0,20131106,Ricky Ledo,0,.000,0.0,0,116,2,0,0.0,0.0,.000,0,0,0,91.0,.000,0.0,-52.4,DAL,0,0,.000,0,0,.000,0,0,0,0.0,0.0,-2,56.4
0,0,0,0,0,0,0,20131106,Bernard James,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
.125,0,10,2,.889,5.8,23,20131106,Kevin Durant,1,.469,38.4,8,97,16,2,20.0,2.6,.438,0,9,1,2213.0,.500,3.7,6.7,OKC,7,5,.576,2,1,.563,3,113,2,0.0,4.9,+6,29.0
.100,3,1,1,0,29.4,17,20131106,Serge Ibaka,1,.850,4.1,0,88,10,1,16.7,1.3,.800,0,0,3,2177.0,1.000,11.3,9.8,OKC,8,2,.850,2,1,.000,13,138,10,6.4,21.5,+8,14.2
.050,0,4,1,.400,3.3,22,20131106,Russell Westbrook,0,.500,20.7,2,97,20,2,18.4,2.9,.500,0,5,0,1965.0,.000,0.0,-4.4,OKC,10,5,.495,2,1,.250,1,87,1,0.0,1.8,+11,35.6
.600,0,4,3,.500,9.1,5,20131106,Thabo Sefolosha,0,.400,21.0,1,92,5,2,14.5,4.1,.400,0,2,0,1411.0,.000,0.0,4.6,OKC,2,1,.425,0,1,.400,2,100,2,0.0,5.1,+1,12.5
.000,0,0,0,0,30.2,4,20131106,Kendrick Perkins,0,.500,0.0,0,95,4,0,42.9,0.0,.500,0,0,2,849.0,0,19.4,-10.2,OKC,2,3,.500,1,1,.000,6,67,4,0.0,25.4,+4,21.2
.714,1,3,5,1.000,15.8,13,20131106,Jeremy Lamb,3,.786,21.2,2,97,7,0,20.2,0.0,.571,0,2,0,1215.0,.600,0.0,11.7,OKC,4,2,.825,2,0,.286,3,133,3,3.8,8.9,+4,20.9
.000,1,0,0,1.000,37.0,6,20131106,Steven Adams,0,.667,0.0,2,79,3,2,0.0,4.8,.667,0,2,2,1210.0,0,13.6,11.1,OKC,2,0,.773,1,0,.667,9,172,7,3.8,26.8,+8,8.2
.000,0,0,0,.000,6.1,4,20131106,Nick Collison,0,.667,0.0,0,96,3,1,20.5,2.8,.667,0,2,0,1047.0,0,0.0,-7.7,OKC,2,1,.515,5,0,.667,1,72,1,0.0,3.4,+7,12.0
.250,0,1,1,1.000,6.9,5,20131106,Derek Fisher,0,.500,8.4,1,102,4,0,0.0,0.0,.500,0,1,0,933.0,.000,0.0,-2.7,OKC,2,0,.563,2,0,.250,1,129,1,0.0,3.9,+3,12.2
.000,0,5,0,0,9.1,2,20131106,Reggie Jackson,0,.250,52.3,0,102,4,0,20.0,0.0,.250,0,0,0,707.0,0,0.0,-1.8,OKC,1,1,.250,0,0,.000,1,88,1,0.0,5.1,+11,18.2
.000,0,0,0,0,11.0,4,20131106,Perry Jones,0,1.000,0.0,0,101,2,0,33.3,0.0,1.000,0,0,1,581.0,0,14.2,3.1,OKC,2,1,1.000,0,0,.000,2,118,1,0.0,12.4,+5,13.3
.000,0,0,0,0,69.6,2,20131106,Andre Roberson,0,1.000,0.0,0,83,1,0,66.7,0.0,1.000,0,0,1,92.0,0,89.4,-22.8,OKC,1,2,1.000,0,0,.000,2,57,1,0.0,78.3,+2,83.8
0,0,0,0,0,0,0,20131106,Hasheem Thabeet,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131106,Devin Harris,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131106,Shane Larkin,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131106,Brandan Wright,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131106,Ryan Gomes,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0
