threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.333,0,7,6,0,10.0,20,20131124,Greivis Vásquez,2,.556,46.8,0,112,18,0,10.0,0.0,.500,0,0,0,1971.0,.333,0.0,1.3,SAC,9,2,.556,4,1,.000,3,106,3,0.0,5.1,-8,28.2
.000,0,1,0,.000,17.2,4,20131124,Luc Mbah a Moute,0,.400,4.7,0,104,5,2,14.5,3.2,.400,0,2,1,1902.0,0,3.6,-4.6,SAC,2,1,.340,0,1,.400,6,68,5,0.0,10.6,-8,10.1
.000,0,7,0,.714,21.4,17,20131124,DeMarcus Cousins,0,.429,43.0,5,106,14,1,14.9,1.7,.429,0,7,2,1832.0,0,7.5,4.8,SAC,6,3,.498,5,1,.500,8,101,6,0.0,14.6,-9,30.5
.429,0,0,6,.667,0.0,15,20131124,Ben McLemore,3,.464,0.0,2,115,14,0,11.5,0.0,.357,0,3,1,1576.0,.500,4.4,-6.3,SAC,5,2,.490,2,1,.214,1,85,0,0.0,2.1,+6,30.6
.000,2,1,0,0,24.6,4,20131124,Jason Thompson,0,.500,7.1,0,98,4,1,0.0,2.3,.500,0,0,0,1331.0,0,0.0,1.6,SAC,2,0,.500,2,1,.000,5,105,5,7.1,12.6,-1,8.4
.273,0,4,3,.000,7.4,9,20131124,Isaiah Thomas,1,.409,22.8,0,113,11,0,14.9,0.0,.364,0,1,1,1775.0,.333,3.9,-9.1,SAC,4,2,.393,2,0,.091,3,80,2,0.0,5.7,-14,21.0
.667,1,1,2,.500,25.2,1,20131124,Patrick Patterson,0,.000,7.9,1,105,3,0,20.5,0.0,.000,0,2,2,1041.0,.000,13.2,-8.6,SAC,0,1,.129,1,0,.667,6,54,4,4.5,19.3,-11,13.0
.333,0,0,2,0,13.5,6,20131124,Travis Outlaw,0,.500,0.0,0,105,6,1,0.0,3.2,.500,0,0,0,973.0,.000,0.0,-0.8,SAC,3,0,.500,0,0,.000,2,95,2,0.0,6.9,-10,17.1
.500,0,2,2,0,27.0,5,20131124,John Salmons,1,.625,20.5,0,108,4,0,20.0,0.0,.500,0,0,0,968.0,.500,0.0,-1.2,SAC,2,1,.625,1,0,.000,4,103,4,0.0,13.8,-11,14.4
.600,0,1,3,0,22.8,5,20131124,Jimmer Fredette,1,.500,11.8,0,102,5,1,16.7,3.6,.400,0,0,0,862.0,.333,0.0,-1.1,SAC,2,1,.500,0,0,.000,3,83,3,0.0,11.7,-6,19.3
0,0,0,0,0,38.7,0,20131124,Hamady N'Diaye,0,0,0.0,0,106,0,0,0,0.0,0,0,0,0,169.0,0,0.0,-4.5,SAC,0,0,0,0,0,0,1,0,1,0.0,19.8,+2,0.0
0,0,0,0,0,0,0,20131124,Marcus Thornton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131124,Chuck Hayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
.000,1,1,0,.667,26.4,20,20131124,Pau Gasol,0,.500,4.8,4,94,16,0,0.0,0.0,.500,0,6,2,2081.0,0,6.3,0.8,LAL,8,0,.536,3,1,.375,10,117,8,2.3,16.1,+5,24.9
.000,1,0,0,0,28.9,10,20131124,Jordan Hill,0,.417,0.0,0,94,12,0,7.7,0.0,.417,0,0,5,1897.0,0,17.3,-6.7,LAL,5,1,.417,3,1,.000,13,97,8,2.5,22.9,+8,19.1
.444,1,12,4,0,18.5,9,20131124,Steve Blake,1,.500,55.0,0,96,9,0,18.2,0.0,.444,0,0,0,1858.0,.250,0.0,4.3,LAL,4,2,.500,1,1,.000,5,116,5,2.6,9.0,+1,16.5
.400,0,0,4,1.000,8.5,14,20131124,Jodie Meeks,1,.650,0.0,1,93,10,2,0.0,3.8,.600,0,1,0,1622.0,.250,0.0,5.9,LAL,6,0,.670,0,1,.100,2,133,2,0.0,4.1,+5,17.9
.500,2,0,2,0,10.8,7,20131124,Wesley Johnson,1,.875,0.0,0,83,4,2,42.9,4.9,.750,0,0,0,1267.0,.500,0.0,3.5,LAL,3,3,.875,2,1,.000,2,83,2,7.6,5.3,0,15.4
.364,1,2,4,0,4.0,7,20131124,Nick Young,1,.318,9.6,0,95,11,1,0.0,1.8,.273,0,0,1,1717.0,.250,3.8,-4.8,LAL,3,0,.318,2,0,.000,2,81,1,2.8,3.9,+15,17.8
.667,3,2,4,0,20.4,3,20131124,Shawne Williams,1,.250,9.0,0,86,6,1,14.3,1.8,.167,0,0,1,1678.0,.250,3.9,-2.1,LAL,1,1,.250,4,0,.000,6,67,5,8.6,12.0,+14,11.6
.364,0,0,4,.833,10.9,21,20131124,Xavier Henry,2,.727,0.0,5,100,11,0,18.0,0.0,.636,0,6,0,1258.0,.500,0.0,5.8,LAL,7,3,.770,1,0,.545,2,119,2,0.0,5.3,+9,36.8
.500,0,3,4,1.000,13.4,9,20131124,Jordan Farmar,1,.438,26.8,2,87,8,2,0.0,6.0,.375,0,2,0,1022.0,.250,0.0,9.5,LAL,3,0,.507,1,0,.250,2,119,2,0.0,6.6,+13,24.2
0,0,0,0,0,0,0,20131124,Elias Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131124,Ryan Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131124,Chris Kaman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131124,Robert Sacre,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131124,Carl Landry,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131124,Ray McCallum,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131124,Kobe Bryant,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20131124,Steve Nash,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0
