blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.438,32.2,0.0,126,7,21,.833,23.7,7,1,-11,118,2,0,20131206,2365.0,0,Kyle Lowry,16,5,0,.375,0,.500,1,2,1.9,1.4,.563,TOR,6,6,.375,1,2.6,4,.333,9.7,0.0
0.0,.333,8.6,2.7,116,2,13,.750,21.8,5,3,-17,79,2,3,20131206,2333.0,2,DeMar DeRozan,15,3,0,.200,0,.333,0,0,-7.5,4.2,.388,TOR,3,4,.267,1,0.0,5,.000,10.7,8.6
2.5,.400,17.1,3.3,103,3,17,1.000,24.9,6,10,-6,110,1,9,20131206,1935.0,2,Rudy Gay,15,4,0,.200,1,.433,1,1,7.4,16.7,.507,TOR,3,4,.267,1,3.2,3,.333,5.6,31.2
0.0,.400,17.6,0.0,115,3,11,.750,18.4,4,10,-15,121,0,6,20131206,1733.0,0,Jonas Valančiūnas,10,3,0,.000,0,.400,4,0,2.9,18.7,.468,TOR,0,4,.400,1,14.5,2,0,0.0,23.2
0.0,.000,0.0,0.0,127,0,0,0,35.3,0,0,-6,0,1,0,20131206,154.0,0,Tyler Hansbrough,1,0,0,.000,0,.000,0,0,-40.9,0.0,.000,TOR,0,0,.000,1,0.0,0,0,50.0,0.0
7.3,.600,0.0,0.0,116,0,22,1.000,24.2,9,7,+9,132,1,4,20131206,1994.0,0,Amir Johnson,15,4,0,.000,3,.600,3,0,6.0,11.4,.656,TOR,0,4,.267,0,9.4,5,0,5.6,13.4
0.0,.400,0.0,2.7,114,0,6,0,11.5,2,2,+6,124,0,2,20131206,1186.0,1,Steve Novak,5,0,0,.800,0,.600,0,2,-0.3,5.5,.600,TOR,4,0,.000,0,0.0,4,.500,0.0,11.3
4.5,.500,0.0,5.8,112,0,5,1.000,11.1,2,0,-3,120,0,0,20131206,1085.0,2,Landry Fields,4,1,0,.000,1,.500,0,0,6.8,0.0,.563,TOR,0,1,.250,0,0.0,0,0,0.0,0.0
0.0,.000,0.0,0.0,126,0,0,0,10.2,0,1,-10,18,1,0,20131206,1068.0,0,Julyan Stone,3,0,0,.667,0,.000,1,0,-16.8,3.0,.000,TOR,2,0,.000,0,5.9,2,.000,25.0,0.0
0.0,.000,0.0,0.0,120,0,2,1.000,19.7,0,2,+8,76,0,1,20131206,534.0,0,Terrence Ross,3,2,0,.333,0,.000,1,0,-11.8,12.1,.258,TOR,1,2,.667,0,11.7,1,.000,0.0,12.5
0.0,0,0.0,0.0,127,0,0,0,0.0,0,0,0,0,0,0,20131206,13.0,0,Quincy Acy,0,0,0,0,0,0,0,0,-6.8,0.0,0,TOR,0,0,0,0,0.0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20131206,0.0,0,Austin Daye,0,0,0,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20131206,0.0,0,D.J. Augustin,0,0,0,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
