trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
7,.125,1,104,15.1,15.1,.438,2,ORL,.469,.429,17,Jameer Nelson,7,1.000,20131211,1,16,3.0,6,23.0,92,8.9,1.3,21.8,6,0,1,3,.504,2435.0,1,3,1.8,6,1,.375,2,2.6,+13
4,.167,1,101,4.9,8.0,.222,3,ORL,.361,.250,16,Arron Afflalo,4,1.000,20131211,1,18,-1.5,3,20.6,99,5.4,0.0,23.6,5,0,1,1,.414,2298.0,0,1,0.0,6,0,.333,3,2.7,+14
12,.000,3,114,5.6,22.1,.059,0,ORL,.500,1.000,17,Glen Davis,1,0,20131211,4,17,5.3,8,14.1,89,16.8,1.4,21.7,3,0,1,1,.500,2216.0,1,1,1.9,8,1,.471,0,11.3,+10
14,.444,2,111,15.7,31.0,.000,4,ORL,.444,0,12,Nikola Vučević,0,1.000,20131211,4,9,0.1,10,0.0,86,22.0,1.6,17.2,0,0,1,0,.558,1975.0,1,2,2.2,4,1,.444,4,12.7,+13
4,.000,3,82,28.6,6.6,.000,0,ORL,.500,0,10,Victor Oladipo,0,0,20131211,2,10,-2.5,2,10.2,90,6.7,3.4,20.1,2,0,1,0,.500,1858.0,1,4,2.3,5,2,.500,0,6.7,+5
5,.000,2,131,0.0,12.5,.111,0,ORL,.556,.000,10,E'Twaun Moore,1,0,20131211,2,9,5.1,3,13.9,93,10.6,2.2,16.4,2,0,0,0,.556,1467.0,0,0,0.0,5,1,.556,0,8.5,0
3,.000,4,81,25.0,18.0,.667,0,ORL,.556,.333,10,Andrew Nicholson,6,0,20131211,0,9,-9.0,3,0.0,96,9.1,0.0,31.4,0,0,0,2,.556,1019.0,0,3,0.0,4,0,.444,0,0.0,-5
0,0,1,0,0,0.0,0,0,ORL,0,0,0,Maurice Harkless,0,0,20131211,0,0,-8.5,0,0.0,102,0.0,0.0,0.0,0,0,0,0,0,582.0,0,0,0.0,0,0,0,0,0.0,-5
3,.000,0,0,0.0,33.4,.000,0,ORL,.000,0,0,Jason Maxiell,0,0,20131211,0,2,-10.9,3,0.0,91,16.9,0.0,9.7,0,0,0,0,.000,550.0,0,0,0.0,0,0,.000,0,0.0,0
0,0,0,0,0,0,0,0,ORL,0,0,0,Solomon Jones,0,0,20131211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,ORL,0,0,0,Doron Lamb,0,0,20131211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,ORL,0,0,0,Kyle O'Quinn,0,0,20131211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,ORL,0,0,0,Ronnie Price,0,0,20131211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
2,.111,2,52,20.9,2.9,.222,2,CHA,.222,.000,10,Kemba Walker,4,1.000,20131211,1,18,-6.3,1,21.0,96,2.9,4.5,31.5,4,0,1,0,.265,2145.0,4,5,7.6,4,3,.222,2,2.9,-11
11,.200,1,97,8.4,24.4,.000,2,CHA,.400,0,10,Al Jefferson,0,1.000,20131211,3,10,-3.5,8,5.5,97,16.6,1.6,16.4,1,0,1,0,.460,2050.0,1,1,2.0,4,1,.400,2,9.0,-13
5,.000,2,123,22.2,6.4,.429,0,CHA,.786,.333,11,Josh McRoberts,3,0,20131211,3,7,-1.2,2,18.7,110,7.9,0.0,13.0,3,0,1,1,.786,1952.0,0,2,0.0,5,0,.714,0,9.4,-3
1,.250,1,96,0.0,3.4,.250,1,CHA,.438,.500,8,Jeffery Taylor,2,.500,20131211,0,8,-5.5,1,11.8,111,1.7,0.0,13.6,2,0,1,1,.450,1848.0,0,0,0.0,3,0,.375,2,0.0,+5
4,.357,3,86,0.0,13.7,.214,5,CHA,.250,.333,12,Gerald Henderson,3,1.000,20131211,0,14,-5.2,4,18.0,105,6.8,0.0,25.1,3,0,1,1,.370,1827.0,1,0,2.2,3,0,.214,5,0.0,-14
