trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
6,.200,4,133,12.1,10.8,.300,4,SAC,.625,.500,29,Isaiah Thomas,6,1.000,20131213,2,20,3.5,4,8.8,128,7.9,1.2,24.4,2,0,1,3,.666,2549.0,0,3,0.0,11,1,.550,4,5.1,-8
1,.750,0,145,11.1,3.1,.250,8,SAC,.667,.000,24,Rudy Gay,3,.889,20131213,0,12,7.7,1,4.8,128,1.5,1.4,20.6,1,0,1,0,.752,2188.0,2,2,4.5,8,1,.667,9,0.0,-5
16,.375,2,101,13.9,36.8,.000,5,SAC,.313,0,15,DeMarcus Cousins,0,.833,20131213,5,16,6.7,11,22.7,103,26.2,7.5,26.5,5,0,1,0,.402,2049.0,1,3,2.4,5,5,.313,6,16.0,-10
2,.333,1,58,30.4,4.2,.167,2,SAC,.167,.000,4,Ben McLemore,1,1.000,20131213,1,6,-14.0,1,4.9,133,4.1,0.0,15.4,1,0,1,0,.291,1614.0,0,3,0.0,1,0,.167,2,4.1,-12
0,.000,5,120,33.3,0.0,.000,0,SAC,1.000,0,4,Jason Thompson,0,0,20131213,0,2,-9.7,0,0.0,134,0.0,0.0,9.0,0,0,1,0,1.000,837.0,0,1,0.0,2,0,1.000,0,0.0,-25
4,.400,3,133,7.8,11.2,.300,4,SAC,.500,.667,14,Derrick Williams,3,1.000,20131213,1,10,0.7,3,5.0,127,7.3,1.7,17.5,1,0,0,2,.595,1829.0,0,1,0.0,4,1,.400,4,3.6,+20
3,.000,2,82,0.0,10.8,.571,0,SAC,.214,.250,3,Marcus Thornton,4,0,20131213,1,7,-3.3,2,12.7,120,7.9,4.9,13.9,2,0,0,1,.214,1266.0,0,0,0.0,1,2,.143,0,5.2,+3
2,.333,3,96,0.0,7.2,.333,1,SAC,.333,.000,5,Travis Outlaw,2,.500,20131213,1,6,-8.8,1,0.0,129,7.1,0.0,18.3,0,0,0,0,.363,946.0,1,0,5.2,2,0,.333,2,6.9,-9
9,.333,1,121,12.7,26.0,.000,1,SAC,.500,0,7,Aaron Gray,0,.500,20131213,6,6,-2.3,3,0.0,125,38.1,0.0,25.0,0,0,0,0,.509,791.0,0,1,0.0,3,0,.500,2,49.6,+2
0,.000,1,68,33.3,0.0,.000,0,SAC,.500,0,2,Jimmer Fredette,0,0,20131213,0,2,-6.8,0,0.0,114,0.0,9.3,22.7,0,0,0,0,.500,331.0,0,1,0.0,1,1,.500,0,0.0,-1
0,0,0,0,0,0,0,0,SAC,0,0,0,Ray McCallum,0,0,20131213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
