drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
13,2164.0,18.2,31.7,3,6,91,.765,44.3,.692,12,.000,0,1.154,4,.800,0,0,0,3,23.4,SAC,30,-4,20131217,125,4.2,13,15,45.5,.692,11.6,17,0,9,1,6,26.9,0.0,DeMarcus Cousins
1,2143.0,-1.9,33.0,0,2,106,.432,27.9,.348,3,.261,0,.130,1,1.000,0,6,.333,1,7.6,SAC,21,-6,20131217,88,0.0,23,3,3.5,.391,2.9,2,2,8,1,4,3.2,0.0,Isaiah Thomas
7,1830.0,-1.2,13.0,1,2,96,.654,6.6,.667,1,.000,1,.333,2,.500,0,0,0,6,22.5,SAC,9,-5,20131217,104,1.6,6,2,29.0,.667,6.8,9,0,4,1,1,16.9,2.6,Jason Thompson
3,1803.0,-7.6,17.7,0,1,105,.322,17.9,.200,2,.500,0,.200,0,1.000,0,5,.200,3,8.4,SAC,7,+3,20131217,72,0.0,10,2,12.6,.250,0.0,3,1,2,1,3,5.7,0.0,Ben McLemore
3,1441.0,-13.9,17.4,0,2,104,.273,7.1,.167,2,.000,0,.500,0,.667,0,0,0,1,21.5,SAC,4,-9,20131217,50,0.0,6,3,15.8,.167,0.0,3,0,1,1,1,7.1,0.0,Rudy Gay
4,1728.0,-12.6,15.5,1,1,98,.111,0.0,.111,0,.111,1,.000,0,0,0,1,.000,2,10.0,SAC,2,-11,20131217,22,1.7,9,0,17.5,.111,0.0,4,0,1,0,0,7.9,2.7,Travis Outlaw
0,1321.0,-4.2,11.1,1,1,101,.563,8.5,.500,1,.250,0,.250,0,1.000,0,1,.000,3,18.4,SAC,5,-5,20131217,95,2.3,4,1,0.0,.500,0.0,0,0,2,0,1,0.0,0.0,Derrick Williams
1,1208.0,5.7,5.4,1,0,92,1.025,0.0,1.000,1,.000,2,.500,2,1.000,0,0,0,3,0.0,SAC,5,-1,20131217,212,2.5,2,1,6.3,1.000,10.4,3,0,2,0,0,8.5,7.8,Quincy Acy
1,762.0,-2.5,26.2,1,0,96,.269,28.8,.143,1,.286,0,.143,0,1.000,0,2,.500,1,0.0,SAC,4,-2,20131217,69,3.9,7,1,9.9,.214,0.0,1,1,1,0,2,4.5,0.0,Jimmer Fredette
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aaron Gray
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ray McCallum
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hamady N'Diaye
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAC,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcus Thornton
4,2080.0,5.0,26.1,1,3,91,.605,27.4,.538,6,.000,2,.615,1,.750,0,0,0,4,15.4,CHA,20,+4,20131217,110,1.4,13,8,12.0,.538,3.6,5,0,7,1,5,8.2,4.3,Gerald Henderson
3,1998.0,15.0,23.8,1,1,94,.746,28.9,.538,6,.615,1,.538,0,.857,0,8,.500,0,5.9,CHA,24,+3,20131217,141,1.5,13,7,9.4,.692,0.0,3,4,7,1,5,5.1,2.2,Kemba Walker
8,1688.0,-5.4,23.8,3,1,81,.372,6.4,.385,0,.000,0,.077,1,.000,0,0,0,6,6.9,CHA,10,-6,20131217,73,5.3,13,1,29.7,.385,4.5,9,0,5,1,1,18.3,0.0,Al Jefferson
3,1565.0,-1.0,16.0,1,0,94,.444,12.5,.333,0,.444,0,.000,0,0,0,4,.500,3,0.0,CHA,8,+3,20131217,93,1.9,9,0,12.0,.444,0.0,3,2,3,1,2,6.6,0.0,Jeffery Taylor
5,1471.0,-0.2,11.3,1,1,90,.500,25.2,.400,0,.400,0,.000,0,0,0,2,.500,3,16.7,CHA,5,+5,20131217,100,2.0,5,0,21.3,.500,0.0,5,1,2,1,4,11.7,0.0,Josh McRoberts
1,1580.0,-11.4,17.6,1,4,96,.417,5.8,.333,0,.333,0,.000,0,0,0,2,.500,2,40.0,CHA,5,+5,20131217,49,1.9,6,0,4.0,.417,0.0,1,1,2,0,1,2.2,0.0,Ben Gordon
2,1417.0,9.6,27.9,1,1,94,.606,53.5,.545,4,.091,0,.455,0,.800,0,1,.000,0,7.0,CHA,16,+9,20131217,124,2.1,11,5,8.8,.545,0.0,2,0,6,0,6,4.8,0.0,Ramon Sessions
5,1409.0,-7.8,20.6,0,3,92,.470,14.2,.429,1,.000,1,.143,0,1.000,0,0,0,4,28.7,CHA,7,+3,20131217,71,0.0,7,1,22.2,.429,0.0,5,0,3,0,2,12.2,3.1,Cody Zeller
6,1192.0,-7.7,6.7,0,1,86,.000,0.0,.000,0,.000,2,2.000,3,.000,0,0,0,4,34.7,CHA,0,+14,20131217,62,0.0,1,2,31.5,.000,19.1,9,0,0,0,0,25.9,7.4,Bismack Biyombo
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeff Adrien
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Douglas-Roberts
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jannero Pargo
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Tolliver
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SAC,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Landry
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHA,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brendan Haywood
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHA,0,0,20131217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Kidd-Gilchrist
