player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
LeBron James,2485.0,.733,.735,.235,.647,0.0,15.2,7.7,30.1,1.3,2.0,21.6,35.0,117,118,6.3,MIA,1,0,20140109,12,17,.706,1,4,.250,7,11,.636,0,5,5,6,1,1,6,2,32,+1
Dwyane Wade,2346.0,.652,.767,.067,.400,3.3,9.7,6.5,10.4,1.4,2.1,14.5,27.5,106,119,0.1,MIA,1,0,20140109,11,15,.733,1,1,1.000,0,6,.000,1,3,4,2,1,1,3,3,23,-14
Chris Bosh,2248.0,.300,.300,.100,.000,3.5,27.0,15.4,15.5,0.0,0.0,16.7,16.7,72,121,-7.7,MIA,1,0,20140109,3,10,.300,0,1,.000,0,0,0,1,8,9,4,0,0,2,0,6,+7
Norris Cole,2110.0,.667,.667,.556,.000,0.0,10.8,5.5,9.0,1.6,0.0,18.2,16.3,106,120,-2.4,MIA,1,0,20140109,5,9,.556,2,5,.400,0,0,0,0,3,3,2,1,0,2,2,12,-4
Rashard Lewis,1541.0,1.000,1.000,1.000,.000,5.1,19.7,12.5,11.2,0.0,3.2,25.0,8.1,148,118,3.4,MIA,1,0,20140109,2,3,.667,2,3,.667,0,0,0,1,4,5,2,0,1,1,3,6,-3
Ray Allen,1549.0,.564,.375,.750,.750,0.0,14.7,7.4,5.3,2.1,0.0,0.0,10.7,123,119,-0.8,MIA,0,0,20140109,1,4,.250,1,3,.333,3,3,1.000,0,3,3,1,1,0,0,0,6,-8
Chris Andersen,1272.0,.500,.500,.000,.000,6.1,11.9,9.1,6.5,7.8,3.9,33.3,7.4,93,103,2.0,MIA,0,0,20140109,1,2,.500,0,0,0,0,0,0,1,2,3,1,3,1,1,2,2,-9
Michael Beasley,540.0,.388,.333,.333,.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,77,126,-17.6,MIA,0,0,20140109,2,6,.333,0,2,.000,1,1,1.000,0,0,0,0,0,0,0,1,5,-14
Roger Mason,309.0,.000,.000,1.000,.000,0.0,0.0,0.0,50.4,0.0,0.0,0.0,20.2,55,127,-10.5,MIA,0,0,20140109,0,2,.000,0,2,.000,0,0,0,0,0,0,2,0,0,0,0,0,-6
Joel Anthony,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Chalmers,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Jones,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udonis Haslem,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
