drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
7,2361.0,-10.4,27.9,0,5,116,.416,25.3,.308,4,.462,0,.462,0,.667,0,6,.167,2,24.2,MIA,13,0,20140208,73,0.0,13,6,23.1,.346,0.0,7,1,4,1,5,11.7,0.0,LeBron James
6,2185.0,-5.6,28.1,0,3,116,.586,13.3,.500,5,.000,0,.357,0,1.000,0,0,0,4,15.6,MIA,19,+1,20140208,100,0.0,14,5,21.4,.500,0.0,6,0,7,1,2,10.8,0.0,Dwyane Wade
5,2071.0,-4.3,23.9,0,0,116,.419,5.6,.250,7,.250,1,.667,2,.875,0,3,.000,0,0.0,MIA,13,-8,20140208,99,0.0,12,8,18.8,.250,7.7,7,0,3,1,1,13.3,2.8,Chris Bosh
2,1847.0,5.3,14.4,0,1,120,.820,48.0,.667,3,.333,0,.500,0,1.000,0,2,.500,3,12.0,MIA,12,-2,20140208,157,0.0,6,3,8.4,.750,0.0,2,1,4,1,7,4.3,0.0,Mario Chalmers
1,1507.0,13.4,10.3,2,0,111,.820,22.8,.500,2,.750,0,.500,0,1.000,0,3,.667,0,0.0,MIA,8,-3,20140208,170,4.6,4,2,5.2,.750,0.0,1,2,2,1,3,2.6,0.0,Shane Battier
0,1381.0,-1.7,20.8,1,1,117,.563,10.1,.500,0,.500,0,.000,0,0,0,4,.250,1,11.1,MIA,9,-5,20140208,95,2.5,8,0,0.0,.563,0.0,0,1,4,0,1,0.0,0.0,Ray Allen
0,1291.0,12.7,26.6,4,0,99,.558,0.0,.444,2,.556,0,.444,0,.500,0,5,.400,0,0.0,MIA,12,-3,20140208,105,10.8,9,4,0.0,.556,0.0,0,2,4,0,0,0.0,0.0,Norris Cole
2,1108.0,-5.7,5.4,0,0,117,.798,0.0,1.000,1,.000,0,2.000,3,.500,0,0,0,4,0.0,MIA,3,-9,20140208,185,0.0,1,2,14.1,1.000,21.7,5,0,1,0,0,17.8,0.0,Chris Andersen
4,649.0,0.9,0.0,1,0,89,0,0.0,0,0,0,1,0,0,0,0,0,0,3,0,MIA,0,+4,20140208,0,5.3,0,0,48.0,0,0.0,4,0,0,0,0,24.3,9.1,Greg Oden
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Beasley
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toney Douglas
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Udonis Haslem
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rashard Lewis
7,2260.0,7.6,15.9,3,2,101,.461,43.6,.375,3,.125,0,.500,2,.750,0,1,.000,3,17.0,UTA,9,+11,20140208,122,4.6,8,4,24.8,.375,6.9,9,0,3,1,11,15.7,0.0,Gordon Hayward
4,1701.0,2.8,22.1,1,1,108,.618,12.3,.500,3,.400,0,.300,0,1.000,0,4,.250,2,8.1,UTA,14,+7,20140208,123,2.0,10,3,18.8,.550,0.0,4,1,5,1,2,9.3,0.0,Richard Jefferson
2,1678.0,11.4,30.7,0,1,110,.724,8.4,.600,0,.533,1,.133,1,.000,0,8,.625,4,5.9,UTA,23,+5,20140208,128,0.0,15,2,9.5,.767,4.6,3,5,9,1,1,7.1,3.9,Marvin Williams
1,1620.0,-0.4,22.6,0,1,114,.591,19.7,.455,0,.727,0,.000,0,0,0,8,.375,3,8.3,UTA,13,+5,20140208,117,0.0,11,0,4.9,.591,0.0,1,3,5,1,3,2.4,0.0,Trey Burke
3,1595.0,-2.8,18.4,1,1,108,.463,5.6,.333,4,.000,0,1.000,4,.667,0,0,0,1,10.4,UTA,8,+5,20140208,112,2.2,6,6,15.0,.333,19.5,7,0,2,1,1,17.3,0.0,Derrick Favors
