threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.207,2,2,6,.667,6.9,42,20140219,Carmelo Anthony,2,.586,13.5,8,103,29,3,5.5,4.2,.552,0,12,2,2396.0,.333,5.3,16.9,NYK,16,2,.613,2,1,.414,4,123,2,4.5,6.0,+5,43.3
.000,2,0,0,0,19.3,4,20140219,Tyson Chandler,0,.333,0.0,0,109,6,0,33.3,0.0,.333,0,0,6,2136.0,0,18.0,-11.1,NYK,2,3,.333,3,1,.000,11,78,5,5.0,18.5,+7,12.0
.125,1,7,1,1.000,24.7,5,20140219,Raymond Felton,0,.125,28.4,3,109,8,0,9.7,0.0,.125,0,3,1,1996.0,.000,3.2,-5.3,NYK,1,1,.268,1,1,.375,7,93,6,2.7,12.6,+15,14.8
.750,0,4,3,0,6.0,6,20140219,Pablo Prigioni,2,.750,25.6,0,110,4,1,0.0,2.5,.500,0,0,2,1373.0,.667,9.3,5.3,NYK,2,0,.750,4,1,.000,3,180,1,0.0,7.9,-9,8.3
.167,0,2,1,0,23.8,2,20140219,Iman Shumpert,0,.167,16.2,0,104,6,1,25.0,3.3,.167,0,0,0,1038.0,.000,0.0,-14.9,NYK,1,2,.167,1,1,.000,3,42,3,0.0,10.4,+2,22.0
.308,0,3,4,.667,13.8,19,20140219,J.R. Smith,3,.654,12.6,2,107,13,2,6.5,2.8,.538,0,3,1,2391.0,.750,2.7,6.1,NYK,7,1,.663,2,0,.231,5,134,4,0.0,7.5,+8,18.3
.462,0,2,6,.500,11.4,16,20140219,Tim Hardaway,3,.577,9.1,1,111,13,1,0.0,1.6,.462,0,2,0,2170.0,.500,0.0,2.2,NYK,6,0,.576,1,0,.154,3,126,3,0.0,5.0,+9,18.3
.000,1,0,0,0,9.1,4,20140219,Jeremy Tyler,0,.500,0.0,0,110,4,0,0.0,0.0,.500,0,0,1,900.0,0,7.1,-6.9,NYK,2,0,.500,3,0,.000,2,116,1,5.9,8.0,-2,12.7
0,0,0,0,0,0,0,20140219,Cole Aldrich,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20140219,Toure' Murry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20140219,Amar'e Stoudemire,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20140219,Metta World Peace,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20140219,Beno Udrih,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
.000,5,2,0,1.000,25.1,14,20140219,Anthony Davis,0,.600,9.1,2,102,10,2,26.9,2.9,.600,0,2,1,2299.0,0,3.6,4.3,NOP,6,4,.643,1,1,.200,10,100,9,10.1,15.7,-9,19.2
.529,0,1,9,.875,12.2,28,20140219,Eric Gordon,3,.618,6.1,7,121,17,0,0.0,0.0,.529,0,8,0,2092.0,.333,0.0,7.1,NOP,9,0,.682,3,1,.471,4,148,4,0.0,6.9,-12,29.1
.000,0,3,0,.500,20.2,3,20140219,Al-Farouq Aminu,0,.250,13.6,1,110,4,2,17.0,3.6,.250,0,2,1,1901.0,0,4.3,-2.4,NOP,1,1,.307,3,1,.500,7,86,6,0.0,13.3,-8,9.2
.375,0,4,3,1.000,0.0,10,20140219,Brian Roberts,1,.563,23.0,1,122,8,1,19.2,1.9,.500,0,1,0,1760.0,.333,0.0,-1.6,NOP,4,2,.592,1,1,.125,0,111,0,0.0,0.0,-3,17.6
.000,0,1,0,.000,0.0,2,20140219,Alexis Ajinça,0,.333,12.4,0,125,3,0,36.8,0.0,.333,0,1,1,745.0,0,11.0,-18.9,NOP,1,2,.291,2,1,.333,1,56,0,0.0,4.8,-3,21.6
.000,1,2,0,.333,14.3,8,20140219,Tyreke Evans,0,.273,15.0,2,117,11,0,6.8,0.0,.273,0,6,1,1346.0,0,6.1,-14.2,NOP,3,1,.293,4,0,.545,4,72,3,3.5,10.7,-5,32.2
.200,0,1,2,1.000,14.6,14,20140219,Austin Rivers,1,.650,10.0,1,114,10,1,8.7,2.6,.600,0,1,0,1316.0,.500,0.0,4.3,NOP,6,1,.670,2,0,.100,3,127,3,0.0,8.2,-10,25.7
.667,0,0,4,0,11.4,7,20140219,Luke Babbitt,1,.583,0.0,0,121,6,0,14.3,0.0,.500,0,0,2,1123.0,.250,14.7,-4.9,NOP,3,1,.583,2,0,.000,4,112,2,0.0,12.8,-4,18.5
