trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
4,.520,3,123,0.0,8.4,.040,9,TOR,.480,.000,33,DeMar DeRozan,1,.692,20140225,1,25,6.4,3,34.9,108,5.9,1.3,35.6,6,0,1,0,.537,2401.0,0,0,0.0,12,1,.480,13,3.1,+8
6,.000,4,90,40.0,18.5,.500,0,TOR,.750,.333,9,Amir Johnson,3,0,20140225,0,6,-0.5,6,17.9,104,9.7,0.0,12.8,4,0,1,1,.750,2167.0,2,4,4.0,4,0,.667,0,0.0,+5
5,.467,4,106,0.0,15.8,.600,7,TOR,.200,.000,13,Kyle Lowry,9,1.000,20140225,0,15,-3.4,5,39.4,104,8.3,1.5,23.7,9,0,1,0,.360,2125.0,0,0,0.0,3,1,.200,7,0.0,+1
1,.000,3,102,26.7,3.5,.727,0,TOR,.864,.625,19,Terrence Ross,8,0,20140225,0,11,8.0,1,6.1,104,1.8,3.4,21.7,1,0,1,5,.864,1921.0,1,4,2.2,7,2,.636,0,0.0,+3
6,.000,1,92,33.3,25.6,.000,0,TOR,.500,0,2,Jonas Valančiūnas,0,0,20140225,2,2,-5.1,4,0.0,101,20.2,0.0,8.0,0,0,1,0,.500,1045.0,1,1,4.1,1,0,.500,0,14.1,-11
8,.000,2,78,37.5,22.5,.600,0,TOR,.300,.333,3,Patrick Patterson,3,0,20140225,3,5,-3.7,5,23.4,103,18.9,0.0,15.0,4,0,0,1,.300,1488.0,1,3,2.9,1,0,.200,0,14.9,+14
1,.000,0,33,0.0,5.7,1.000,0,TOR,.000,.000,0,John Salmons,2,0,20140225,0,2,-8.9,1,7.0,112,3.0,0.0,4.7,1,0,0,0,.000,1172.0,0,0,0.0,0,0,.000,0,0.0,+2
1,.000,2,122,8.3,0.0,.545,0,TOR,.682,.500,15,Greivis Vásquez,6,0,20140225,1,11,14.5,0,30.3,108,3.4,3.1,32.2,2,0,0,3,.682,1036.0,0,1,0.0,6,1,.545,0,7.1,+4
7,2.000,2,129,21.0,26.1,.000,3,TOR,.500,0,5,Tyler Hansbrough,0,.750,20140225,3,2,-1.4,4,0.0,100,24.0,0.0,12.9,0,0,0,0,.665,1026.0,1,1,4.2,1,0,.500,4,21.6,+4
0,0,0,0,0,0.0,0,0,TOR,0,0,0,Steve Novak,0,0,20140225,0,0,-6.6,0,0.0,115,0.0,0.0,0.0,0,0,0,0,0,19.0,0,0,0.0,0,0,0,0,0.0,0
0,0,0,0,0,0,0,0,TOR,0,0,0,Nando De Colo,0,0,20140225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,TOR,0,0,0,Landry Fields,0,0,20140225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,TOR,0,0,0,Chuck Hayes,0,0,20140225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
4,.182,2,118,7.8,5.4,.227,4,CLE,.477,.200,25,Kyrie Irving,5,1.000,20140225,2,22,7.1,2,40.9,112,5.2,2.4,25.7,9,0,1,1,.526,2711.0,0,2,0.0,10,2,.455,4,4.9,-3
9,.357,3,76,5.8,18.5,.357,2,CLE,.214,.000,8,Luol Deng,5,.400,20140225,3,14,-4.8,6,19.8,107,13.2,2.7,19.4,5,0,1,0,.247,2397.0,0,1,0.0,3,2,.214,5,8.4,-1
7,.000,4,121,7.7,19.4,.333,0,CLE,.625,.750,15,Spencer Hawes,4,0,20140225,2,12,3.3,5,6.1,111,12.9,0.0,18.4,1,0,1,3,.625,1906.0,1,1,3.2,6,0,.500,0,7.0,+4
9,.600,1,128,0.0,24.1,.000,5,CLE,.400,0,13,Tristan Thompson,0,.833,20140225,3,10,2.9,6,11.3,112,17.2,0.0,18.6,2,0,1,0,.514,1841.0,0,0,0.0,4,0,.400,6,10.9,+10
3,.100,2,118,8.7,14.0,.100,1,CLE,.550,1.000,12,Jarrett Jack,1,1.000,20140225,0,10,7.0,3,29.3,105,6.7,4.1,19.6,4,0,1,1,.575,1580.0,0,1,0.0,5,2,.500,1,0.0,+9
