trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
8,.000,3,119,3.8,18.6,.280,0,PHI,.580,.429,29,Thaddeus Young,7,0,20140302,2,25,14.1,6,27.2,95,11.6,2.8,30.7,3,0,1,3,.580,2162.0,0,1,0.0,13,2,.520,0,5.4,-3
4,.000,1,50,12.5,10.2,.571,0,PHI,.143,.000,2,James Anderson,4,0,20140302,1,7,-5.7,3,14.3,97,6.3,3.1,10.3,3,0,1,0,.143,1973.0,0,1,0.0,1,2,.143,0,3.0,+1
11,.200,4,72,26.9,24.5,.150,3,PHI,.350,.000,17,Michael Carter-Williams,3,.750,20140302,4,20,-4.2,7,42.1,94,18.0,1.6,39.7,6,0,1,0,.391,1912.0,1,8,2.2,7,1,.350,4,12.3,-9
7,1.000,4,151,0.0,18.0,.000,4,PHI,.667,0,12,Henry Sims,0,.667,20140302,2,6,4.3,5,6.0,95,11.8,1.6,11.9,1,0,1,0,.694,1858.0,1,0,2.2,4,1,.667,6,6.3,-1
0,.000,1,0,0.0,0.0,.667,0,PHI,.000,.000,0,Hollis Thompson,2,0,20140302,0,3,-12.2,0,0.0,106,0.0,0.0,5.1,0,0,1,0,.000,1503.0,0,0,0.0,0,0,.000,0,0.0,-4
5,.143,3,68,25.2,8.9,.214,1,PHI,.393,.333,12,Tony Wroten,3,.500,20140302,3,14,-8.8,2,8.6,99,10.4,2.0,33.8,1,0,0,1,.403,1502.0,0,5,0.0,5,1,.357,2,11.7,-12
1,.000,0,7,42.9,6.9,.500,0,PHI,.000,.000,0,Eric Maynor,2,0,20140302,0,4,-22.5,1,9.3,104,3.2,0.0,18.4,1,0,0,0,.000,968.0,0,3,0.0,0,0,.000,0,0.0,-2
3,0,3,123,0.0,22.9,0,2,PHI,0,0,2,Jarvis Varnado,0,.500,20140302,0,0,-0.2,3,0.0,88,10.7,0.0,5.1,0,0,0,0,.568,878.0,3,0,14.1,0,0,0,4,0.0,-2
4,.000,2,96,0.0,23.9,.500,0,PHI,.417,.333,5,Byron Mullens,3,0,20140302,1,6,-4.2,3,0.0,99,14.9,0.0,18.2,0,0,0,1,.417,842.0,0,0,0.0,2,0,.333,0,7.0,-12
2,2.000,1,86,34.7,16.7,.000,2,PHI,.000,0,2,Elliot Williams,0,1.000,20140302,0,1,-7.5,2,11.2,101,7.8,0.0,9.2,1,0,0,0,.532,802.0,0,1,0.0,0,0,.000,2,0.0,-11
0,0,0,0,0,0,0,0,PHI,0,0,0,Lorenzo Brown,0,0,20140302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,PHI,0,0,0,Arnett Moultrie,0,0,20140302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
6,.222,2,121,0.0,9.7,.444,1,ORL,.500,.250,10,Maurice Harkless,4,.500,20140302,2,9,4.3,4,11.7,88,7.7,1.2,10.8,3,0,1,1,.506,2434.0,3,0,5.7,4,1,.444,2,5.5,+12
2,.400,5,69,25.4,5.1,.100,3,ORL,.300,.000,9,Victor Oladipo,1,.750,20140302,0,10,-9.5,2,15.9,90,2.7,2.6,18.2,4,0,1,0,.383,2311.0,0,4,0.0,3,2,.300,4,0.0,+5
8,.450,0,134,4.0,14.5,.050,9,ORL,.550,.000,31,Tobias Harris,1,1.000,20140302,3,20,14.0,5,0.0,83,12.4,4.5,32.9,0,0,1,0,.647,2025.0,0,1,0.0,11,3,.550,9,9.9,+11
17,.500,4,107,10.5,42.5,.000,4,ORL,.500,0,18,Nikola Vučević,0,.571,20140302,3,14,6.4,14,18.1,74,27.5,1.6,26.3,3,0,1,0,.527,1938.0,2,2,4.8,7,1,.500,7,10.4,+5
3,.000,2,14,12.5,12.2,.714,0,ORL,.000,.000,0,Ronnie Price,5,0,20140302,0,7,-13.3,3,11.4,84,6.5,4.2,14.8,2,0,1,0,.000,1447.0,0,1,0.0,0,2,.000,0,0.0,+4
