blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.438,3.8,1.4,112,1,16,.667,23.5,7,10,+10,98,1,8,20140303,2215.0,1,Zach Randolph,16,2,0,.000,0,.438,2,0,-7.1,18.1,.462,MEM,0,3,.188,1,7.9,4,0,5.5,26.7
6.8,.400,29.9,4.5,101,8,10,.500,19.0,4,7,-11,105,2,5,20140303,2057.0,3,Marc Gasol,10,2,0,.000,3,.400,2,0,8.8,13.6,.425,MEM,0,4,.400,1,8.5,1,0,14.5,18.0
0.0,.500,29.6,1.5,115,7,20,1.000,27.4,7,3,-6,112,4,3,20140303,2055.0,1,Mike Conley,14,4,0,.286,0,.571,0,2,-0.5,5.8,.635,MEM,4,4,.286,1,0.0,3,.500,20.2,10.8
0.0,.727,5.3,1.7,113,1,21,1.000,21.1,8,6,+16,156,1,5,20140303,1798.0,1,Tayshaun Prince,11,3,0,.273,0,.818,1,2,10.7,13.3,.852,MEM,3,3,.273,1,4.9,0,.667,7.5,20.5
0.0,.571,18.2,3.1,112,2,9,1.000,21.1,4,1,+8,131,0,1,20140303,1003.0,1,Courtney Lee,7,1,0,.286,0,.571,0,0,1.9,4.0,.605,MEM,2,1,.143,1,0.0,3,.000,0.0,7.4
0.0,.500,9.9,0.0,120,2,10,1.000,14.4,3,1,-7,131,1,1,20140303,1558.0,0,Mike Miller,6,2,0,.500,0,.667,0,2,0.8,2.6,.727,MEM,3,2,.333,0,0.0,0,.667,12.7,4.7
0.0,.500,0.0,2.1,115,0,7,1.000,16.5,3,3,-4,94,2,1,20140303,1456.0,1,Tony Allen,6,1,0,.000,0,.500,2,0,-7.9,8.2,.543,MEM,0,1,.167,0,12.0,3,0,23.7,5.1
4.1,1.000,6.6,0.0,111,1,7,1.000,13.2,2,4,+17,128,2,4,20140303,1143.0,0,Kosta Koufos,2,3,0,.000,1,1.000,0,0,-0.2,14.0,1.054,MEM,0,3,1.500,0,0.0,4,0,37.6,25.8
0.0,.750,42.9,0.0,115,4,6,0,13.8,3,3,+12,167,0,3,20140303,825.0,0,Nick Calathes,4,0,0,.250,0,.750,0,0,6.0,14.5,.750,MEM,1,0,.000,0,0.0,2,.000,0.0,26.9
0.0,.667,0.0,0.0,120,0,4,0,29.4,2,0,-5,125,0,0,20140303,290.0,0,Ed Davis,3,0,0,.000,0,.667,0,0,-2.8,0.0,.667,MEM,0,0,.000,0,0.0,1,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,James Johnson,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Jon Leuer,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Beno Udrih,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,0,0,0,0,0,0,0
0.0,.583,11.4,1.3,117,3,16,1.000,19.1,7,8,0,102,4,7,20140303,2464.0,1,Marcin Gortat,12,2,0,.000,0,.583,1,0,0.4,13.0,.621,WAS,0,2,.167,1,3.0,1,0,23.7,24.8
0.0,.556,11.4,1.3,118,3,15,.500,13.1,5,7,0,147,1,5,20140303,2315.0,1,Trevor Ariza,9,1,0,.667,0,.778,2,4,6.0,12.1,.759,WAS,6,2,.222,1,6.4,5,.667,9.2,18.8
1.9,.500,39.3,1.4,116,9,23,.714,28.2,8,6,0,115,4,6,20140303,2282.0,1,John Wall,16,5,0,.313,1,.563,0,2,5.1,10.5,.603,WAS,5,7,.438,1,0.0,4,.400,17.3,22.9
2.0,.538,0.0,0.0,120,0,15,.500,18.6,7,7,-9,111,1,4,20140303,2234.0,0,Trevor Booker,13,1,0,.000,1,.538,3,0,-2.4,12.5,.540,WAS,0,2,.154,1,9.9,2,0,6.7,15.6
0.0,.467,8.9,1.4,120,2,21,1.000,24.0,7,1,-13,122,1,1,20140303,2169.0,1,Bradley Beal,15,6,0,.133,0,.500,0,1,1.6,1.8,.595,WAS,2,6,.400,1,0.0,2,.500,5.4,4.0
0.0,.400,0.0,0.0,118,0,6,1.000,27.6,2,3,-1,90,1,3,20140303,696.0,0,Al Harrington,5,2,0,.400,0,.400,0,0,-11.1,17.2,.510,WAS,2,2,.400,0,0.0,3,.000,14.5,37.6
0.0,.250,0.0,0.0,124,0,2,0,16.3,1,1,-10,71,0,0,20140303,684.0,0,Chris Singleton,4,0,0,.250,0,.250,1,0,-10.5,5.8,.250,WAS,1,0,.000,0,10.8,0,.000,0.0,0.0
0.0,.500,0.0,0.0,124,0,6,0,17.8,2,0,+13,145,0,0,20140303,626.0,0,Otto Porter,4,0,0,.750,0,.750,0,2,6.5,0.0,.750,WAS,3,0,.000,0,0.0,1,.667,0.0,0.0
0.0,.000,12.2,0.0,124,1,0,0,4.6,0,0,-8,55,0,0,20140303,607.0,0,Andre Miller,1,0,0,.000,0,.000,0,0,-12.5,0.0,.000,WAS,0,0,.000,0,0.0,2,0,0.0,0.0
0.0,.000,0.0,0.0,123,0,0,0,25.9,0,1,-2,27,1,0,20140303,323.0,0,Drew Gooden,2,0,0,.000,0,.000,1,0,-35.6,12.4,.000,WAS,0,0,.000,0,22.9,2,0,33.3,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Martell Webster,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Garrett Temple,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Jamaal Franklin,0,0,1,0,0,0,0,0,0,0,0,MEM,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Quincy Pondexter,0,0,1,0,0,0,0,0,0,0,0,MEM,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Nenê Hilário,0,0,1,0,0,0,0,0,0,0,0,WAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Glen Rice,0,0,1,0,0,0,0,0,0,0,0,WAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140303,0.0,0,Kevin Séraphin,0,0,1,0,0,0,0,0,0,0,0,WAS,0,0,0,0,0,0,0,0,0
