stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.1,11.8,3,2671.0,0,3,.000,.202,14,0,.000,.143,4,6,14,.214,2,8,1,1,-5,.286,.214,Rajon Rondo,19.8,0.0,0,BOS,116,20140316,-9.5,40.2,0,8,83,16.3,0.0,2,0,10.2
0.0,3.4,5,2361.0,1,12,.571,.690,1,0,.917,.522,7,39,23,.522,12,6,0,1,+5,.304,.609,Jeff Green,16.8,0.0,11,BOS,117,20140316,7.8,4.7,0,6,139,32.0,1.7,1,4,8.7
1.4,0.0,3,2139.0,3,6,0,.512,3,0,.667,.462,0,16,13,.462,6,7,1,1,-7,.000,.462,Kris Humphries,21.7,16.5,4,BOS,110,20140316,3.8,12.4,5,12,129,18.9,5.6,0,0,19.2
1.9,33.3,2,1556.0,0,2,.667,.750,3,0,0,.000,3,6,4,.500,0,4,1,1,-17,.750,.750,Jerryd Bayless,17.0,0.0,0,BOS,115,20140316,-2.6,15.0,0,4,104,10.0,0.0,2,2,8.8
0.0,20.8,3,1392.0,1,3,0,.306,1,0,1.000,.091,0,7,11,.273,1,1,0,1,-10,.000,.273,Brandon Bass,4.8,20.3,1,BOS,119,20140316,-17.1,6.0,4,5,71,26.8,2.9,3,0,12.3
1.7,23.5,5,1826.0,2,6,.333,.538,4,0,0,.000,6,14,13,.462,0,6,1,0,+14,.462,.538,Jared Sullinger,21.8,11.6,0,BOS,110,20140316,-0.1,20.2,3,9,96,24.0,4.4,4,2,16.9
1.8,16.8,0,1689.0,0,5,.000,.607,2,0,1.000,.222,1,12,9,.556,2,1,1,0,+7,.111,.556,Avery Bradley,3.9,4.2,2,BOS,118,20140316,-1.7,10.6,1,2,110,18.2,0.0,2,0,4.0
6.1,28.6,3,987.0,1,4,1.000,.900,1,0,0,.000,1,9,5,.800,0,1,2,0,-1,.200,.900,Kelly Olynyk,6.7,0.0,0,BOS,105,20140316,7.3,10.0,0,1,108,18.3,4.1,2,1,3.5
0.0,0.0,0,770.0,0,3,.667,1.000,0,0,0,.000,3,8,4,.750,0,0,0,0,+5,.750,1.000,Chris Johnson,0.0,0.0,0,BOS,123,20140316,9.3,0.0,0,0,181,13.4,0.0,0,2,0.0
0.0,0.0,2,509.0,0,1,1.000,1.500,4,0,0,.000,1,3,1,1.000,0,2,0,0,+4,1.000,1.500,Phil Pressey,26.0,0.0,0,BOS,117,20140316,13.6,64.5,0,2,257,5.1,0.0,0,1,13.4
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Anthony,0,0,0,BOS,0,20140316,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Babb,0,0,0,BOS,0,20140316,0,0,0,0,0,0,0,0,0,0
1.1,3.5,2,2862.0,3,14,0,.733,3,0,1.000,.545,0,40,22,.636,12,16,1,1,+10,.000,.636,Anthony Davis,39.5,11.6,12,NOP,106,20140316,12.9,10.6,5,21,154,26.6,4.7,1,0,25.1
1.2,9.7,1,2428.0,1,6,.167,.510,8,0,1.000,.375,6,19,16,.375,6,2,1,1,-5,.375,.406,Eric Gordon,5.8,2.7,6,NOP,118,20140316,0.0,26.8,1,3,113,22.8,1.8,2,1,4.2
4.0,11.6,3,2268.0,0,11,.500,.571,4,0,.750,.190,2,26,21,.524,4,4,3,1,+8,.095,.548,Tyreke Evans,12.5,0.0,3,NOP,111,20140316,0.9,17.8,0,4,107,30.5,0.0,3,1,6.0
