stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,14.5,3,2408.0,1,5,0,.553,3,0,.750,.400,0,13,10,.500,4,7,0,1,+1,.000,.500,Zaza Pachulia,18.6,6.5,3,MIL,113,20140404,-0.7,14.3,2,9,108,15.9,1.9,2,0,13.1
2.6,10.8,1,2379.0,1,4,.000,.424,2,0,.750,.615,2,14,13,.308,8,4,2,1,-10,.154,.308,Ramon Sessions,10.8,3.3,6,MIL,111,20140404,-3.1,9.3,1,5,89,21.7,2.0,2,0,7.4
1.4,17.2,6,2290.0,1,8,.400,.573,3,0,.800,.294,5,22,17,.471,5,3,1,1,-9,.294,.529,Brandon Knight,8.4,0.0,4,MIL,115,20140404,-1.7,18.0,0,3,99,28.2,2.0,4,2,4.6
1.4,17.0,3,2205.0,3,9,0,.717,2,0,.500,.500,0,21,12,.750,6,6,1,1,-8,.000,.750,Jeff Adrien,17.4,10.6,3,MIL,108,20140404,7.3,13.6,3,9,121,22.3,6.3,3,0,14.3
0.0,31.1,3,1981.0,0,2,.000,.753,2,0,1.000,1.500,1,10,4,.500,6,6,0,1,-15,.250,.500,Khris Middleton,19.4,0.0,6,MIL,113,20140404,-4.0,10.4,0,6,111,13.6,0.0,3,0,10.6
4.8,27.9,6,1968.0,2,1,0,.258,5,0,.500,.667,0,4,6,.167,4,2,3,0,-2,.000,.167,Giannis Antetokounmpo,6.5,4.0,2,MIL,107,20140404,-2.0,24.8,1,3,63,15.2,4.7,3,0,5.4
0.0,30.4,2,1147.0,1,2,0,.436,0,0,1.000,.333,0,6,6,.333,2,1,0,0,-17,.000,.333,John Henson,5.6,13.6,2,MIL,118,20140404,-13.3,0.0,2,3,72,24.0,4.0,3,0,9.2
0.0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D.J. Stephens,0.0,0.0,0,MIL,124,20140404,-5.7,0.0,0,0,0,0.0,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ersan İlyasova,0,0,0,MIL,0,20140404,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O.J. Mayo,0,0,0,MIL,0,20140404,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miroslav Raduljica,0,0,0,MIL,0,20140404,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nate Wolters,0,0,0,MIL,0,20140404,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ekpe Udoh,0,0,0,MIL,0,20140404,0,0,0,0,0,0,0,0,0,0
1.3,6.3,2,2456.0,1,5,.167,.568,5,0,.667,.818,6,17,11,.455,9,4,1,1,+19,.545,.500,Jimmy Butler,12.7,5.2,6,CHI,101,20140404,4.0,23.3,2,6,128,16.5,2.0,1,1,8.6
2.8,21.8,3,2266.0,0,2,0,.306,4,0,.778,.643,0,11,14,.143,9,7,2,1,+7,.000,.143,Joakim Noah,24.0,16.9,7,CHI,97,20140404,-9.2,17.9,6,13,76,25.7,0.0,5,0,20.1
4.9,5.7,4,1908.0,0,4,.400,.518,1,0,.700,.833,5,17,12,.333,10,1,3,1,+1,.417,.417,Kirk Hinrich,4.1,3.4,7,CHI,97,20140404,1.8,6.0,1,2,114,23.1,0.0,1,2,3.7
1.7,11.1,2,1896.0,2,5,.500,.750,2,0,0,.000,4,12,8,.625,0,3,1,1,+10,.500,.750,Mike Dunleavy,12.3,3.4,0,CHI,98,20140404,6.6,13.0,1,4,134,12.0,5.1,1,2,7.4
2.2,5.6,2,1440.0,1,6,0,.415,5,0,1.000,.125,0,14,16,.375,2,8,1,1,+16,.000,.375,Carlos Boozer,43.2,13.3,2,CHI,92,20140404,7.3,52.6,3,11,105,31.5,3.3,1,0,26.8
1.7,8.6,3,1858.0,0,3,.400,.658,6,0,1.000,.750,5,14,8,.375,6,1,1,0,+4,.625,.500,D.J. Augustin,4.2,3.4,6,CHI,104,20140404,4.5,35.3,1,2,147,15.9,0.0,1,2,3.8
3.7,0.0,5,1711.0,1,4,0,.558,0,0,.833,.667,0,13,9,.444,6,2,2,0,-1,.000,.444,Taj Gibson,9.1,7.5,5,CHI,96,20140404,0.1,0.0,2,4,132,17.3,2.8,0,0,8.2
6.3,0.0,1,500.0,0,1,.000,.200,0,0,0,.000,2,2,5,.200,0,1,1,0,+2,.400,.200,Tony Snell,15.6,0.0,0,CHI,92,20140404,-14.0,0.0,0,1,50,25.4,0.0,0,0,7.0
0.0,50.0,2,321.0,0,1,0,1.000,1,0,0,.000,0,2,1,1.000,0,1,0,0,+2,.000,1.000,Nazr Mohammed,24.2,0.0,0,CHI,101,20140404,-2.5,40.7,0,1,90,15.8,0.0,1,0,10.9
0.0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jimmer Fredette,0.0,0.0,0,CHI,108,20140404,-9.5,0.0,0,0,0,0.0,0.0,0,0,0.0
100.0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Tornike Shengelia,0.0,0.0,0,CHI,-181,20140404,165.4,0.0,0,0,0,0.0,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlos Delfino,0,0,0,MIL,0,20140404,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Larry Sanders,0,0,0,MIL,0,20140404,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Derrick Rose,0,0,0,CHI,0,20140404,0,0,0,0,0,0,0,0,0,0
