drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
5,2282.0,2.0,30.7,2,6,111,.567,26.6,.400,5,.400,0,.400,0,.833,0,6,.500,1,25.4,CHA,20,0,20140420,94,2.9,15,6,15.0,.500,0.0,5,3,6,1,6,7.7,0.0,Kemba Walker
7,2217.0,10.8,13.4,2,1,109,.833,18.4,.667,0,.556,0,.000,0,0,0,5,.600,2,10.0,CHA,15,-1,20140420,151,3.0,9,0,21.7,.833,0.0,7,3,6,1,4,11.1,0.0,Josh McRoberts
9,2118.0,4.7,23.8,1,0,106,.529,5.7,.529,0,.000,2,.000,1,0,0,0,0,3,0.0,CHA,18,-11,20140420,111,1.6,17,0,29.1,.529,3.4,10,0,9,1,1,16.6,5.1,Al Jefferson
7,1942.0,-6.6,15.9,0,1,115,.318,14.1,.333,0,.333,0,.111,1,.000,0,3,.000,2,9.6,CHA,6,0,20140420,77,0.0,9,1,24.7,.333,3.7,8,0,3,1,3,14.5,0.0,Gerald Henderson
4,881.0,1.2,18.3,0,1,113,.563,22.2,.500,1,.000,0,.250,3,1.000,0,0,0,4,18.4,CHA,5,+8,20140420,122,0.0,4,1,31.1,.500,24.5,7,0,2,1,2,27.9,0.0,Michael Kidd-Gilchrist
2,1670.0,-3.0,33.5,0,2,119,.504,0.0,.438,1,.313,0,.125,1,.500,0,5,.400,0,10.6,CHA,17,-13,20140420,91,0.0,16,2,8.2,.500,4.3,3,2,7,0,0,6.3,0.0,Gary Neal
1,1267.0,-13.1,6.7,0,1,118,.266,0.0,.000,1,1.000,0,2.000,0,.500,0,1,.000,3,34.7,CHA,1,-17,20140420,37,0.0,1,2,5.4,.000,0.0,1,0,0,0,0,2.8,0.0,Chris Douglas-Roberts
0,663.0,1.0,13.4,0,0,120,.667,0.0,.667,0,.000,0,.000,1,0,0,0,0,0,0.0,CHA,4,-10,20140420,141,0.0,3,0,0.0,.667,10.9,1,0,2,0,0,5.3,0.0,Cody Zeller
0,598.0,-15.8,29.7,0,1,120,.200,30.9,.200,0,.200,0,.000,0,0,0,1,.000,0,16.7,CHA,2,-11,20140420,53,0.0,5,0,0.0,.200,0.0,0,0,1,0,2,0.0,0.0,Luke Ridnour
1,458.0,-4.9,0.0,0,0,117,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,CHA,0,-8,20140420,219,0.0,0,0,15.0,0,15.7,2,0,0,0,0,15.3,0.0,Bismack Biyombo
0,304.0,-10.1,0.0,0,0,119,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,CHA,0,+8,20140420,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,Anthony Tolliver
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jannero Pargo
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D.J. White
9,2312.0,5.3,30.9,0,3,102,.662,5.0,.500,7,.500,0,.625,0,.700,0,8,.500,1,12.8,MIA,27,0,20140420,115,0.0,16,10,28.0,.625,0.0,9,4,8,1,1,13.7,0.0,LeBron James
1,2040.0,11.5,27.4,1,1,104,.664,33.8,.625,2,.125,0,.188,0,.667,0,2,.500,0,5.5,MIA,23,-6,20140420,134,1.6,16,3,3.5,.656,0.0,1,1,10,1,5,1.7,0.0,Dwyane Wade
3,2035.0,-2.5,23.6,2,1,96,.440,0.0,.308,3,.308,1,.308,1,.750,0,4,.500,3,6.3,MIA,13,-4,20140420,88,3.2,13,4,10.6,.385,3.4,4,2,4,1,0,6.9,2.4,Chris Bosh
3,1501.0,1.9,14.2,1,0,100,.500,13.1,.429,0,.286,0,.000,0,0,0,2,.500,0,0.0,MIA,7,+2,20140420,111,2.2,7,0,14.4,.500,0.0,3,1,3,1,2,7.0,0.0,Mario Chalmers
3,782.0,-1.4,11.2,0,0,96,.347,0.0,.000,2,.000,1,1.000,0,1.000,0,0,0,0,0.0,MIA,2,-14,20140420,77,0.0,2,2,27.6,.000,0.0,3,0,0,1,0,13.5,6.3,Udonis Haslem
1,1727.0,-3.3,12.4,0,2,107,.700,11.1,.600,0,.200,0,.000,0,0,0,1,1.000,2,28.6,MIA,7,+11,20140420,104,0.0,5,0,4.2,.700,0.0,1,1,3,0,2,2.0,0.0,Norris Cole
1,1372.0,-7.8,8.9,1,0,101,.000,12.0,.000,0,.250,0,.000,1,0,0,1,.000,3,0.0,MIA,0,+15,20140420,49,2.4,4,0,5.2,.000,5.0,2,0,0,0,2,5.1,0.0,Ray Allen
7,1298.0,6.7,15.9,0,0,96,.592,7.8,.600,2,.000,1,.800,3,.500,0,0,0,1,0.0,MIA,8,+28,20140420,141,0.0,5,4,38.8,.600,15.8,10,0,3,0,1,27.1,3.8,Chris Andersen
2,851.0,19.4,26.2,0,0,104,.820,15.8,.667,2,.500,0,.500,1,.667,0,3,.667,1,0.0,MIA,12,+18,20140420,168,0.0,6,3,16.9,.833,8.1,3,2,4,0,1,12.4,0.0,James Jones
2,482.0,-16.5,12.7,0,0,101,.000,0.0,.000,0,1.000,0,.000,0,0,0,2,.000,1,0.0,MIA,0,+5,20140420,0,0.0,2,0,29.9,.000,0.0,2,0,0,0,0,14.6,0.0,Rashard Lewis
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shane Battier
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greg Oden
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toney Douglas
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brendan Haywood
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeffery Taylor
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Beasley
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20140420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Justin Hamilton
