drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
3,1970.0,10.5,22.2,1,0,102,.624,28.5,.417,9,.417,0,.917,0,.818,0,5,.400,2,0.0,TOR,21,+19,20141101,148,1.6,12,11,10.0,.500,0.0,3,2,5,1,5,4.9,0.0,Kyle Lowry
7,1781.0,10.4,32.6,1,0,99,.580,8.8,.500,8,.056,0,.556,1,.800,0,1,.000,1,0.0,TOR,26,+20,20141101,132,1.7,18,10,25.7,.500,3.5,8,0,9,1,1,14.4,0.0,DeMar DeRozan
2,1718.0,2.8,13.4,1,1,100,.635,0.0,.429,2,.714,1,.286,1,1.000,0,5,.400,3,11.3,TOR,10,+17,20141101,125,1.8,7,2,7.6,.571,3.6,3,2,3,1,0,5.6,2.7,Terrence Ross
8,1511.0,-2.3,23.2,0,2,94,.434,6.5,.250,6,.000,2,1.000,3,.750,0,0,0,3,14.8,TOR,10,+18,20141101,97,0.0,8,8,34.7,.250,12.4,11,0,2,1,1,23.3,6.2,Jonas Valančiūnas
2,1441.0,5.5,17.8,0,0,106,.709,0.0,.778,0,.222,0,.222,3,.000,0,2,.000,2,0.0,TOR,14,+21,20141101,149,0.0,9,2,9.1,.778,13.0,5,0,7,1,0,11.1,0.0,Amir Johnson
7,1499.0,-6.8,13.8,0,1,99,.143,12.4,.143,0,.571,1,.000,1,0,0,4,.000,1,12.5,TOR,2,-5,20141101,50,0.0,7,0,30.6,.143,4.2,8,0,1,0,2,17.1,3.1,Patrick Patterson
2,1141.0,3.1,20.9,0,1,105,.732,0.0,.667,4,.000,0,.833,1,.800,0,0,0,2,10.9,TOR,12,-9,20141101,138,0.0,6,5,11.5,.667,5.5,3,0,4,0,0,8.4,0.0,James Johnson
2,1136.0,-11.0,10.1,0,1,103,.291,0.0,.333,0,.000,0,.333,4,.000,0,0,0,5,22.5,TOR,2,-3,20141101,89,0.0,3,1,11.5,.333,22.0,6,0,1,0,0,16.9,0.0,Tyler Hansbrough
1,1094.0,-6.6,25.5,1,0,101,.279,17.3,.111,4,.444,0,.444,0,1.000,0,4,.000,1,0.0,TOR,6,-7,20141101,79,2.8,9,4,6.0,.111,0.0,1,0,1,0,2,2.9,0.0,Greivis Vásquez
1,1043.0,-3.4,15.4,0,1,106,.481,16.7,.000,5,.000,0,1.667,1,1.000,0,0,0,1,16.1,TOR,5,-4,20141101,110,0.0,3,5,6.3,.000,6.0,2,0,0,0,2,6.1,0.0,Lou Williams
