stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,21.0,1,1715.0,3,0,0,.532,2,0,1.000,2.000,0,4,2,.000,4,2,0,1,-9,.000,.000,Tyson Chandler,8.8,3.4,4,DAL,118,20141106,-0.2,10.2,1,3,108,7.7,10.7,1,0,5.8
0.0,6.9,0,1709.0,0,5,.000,.409,1,0,1.000,.077,3,11,13,.385,1,4,0,1,-14,.231,.385,Chandler Parsons,17.7,0.0,1,DAL,122,20141106,-5.5,6.9,0,4,80,23.4,0.0,1,0,7.7
0.0,9.8,3,1624.0,0,6,.286,.464,1,0,1.000,.176,7,17,17,.353,3,3,0,1,-14,.412,.412,Dirk Nowitzki,14.0,0.0,3,DAL,123,20141106,-3.0,7.9,0,3,86,34.6,0.0,2,2,6.1
2.0,12.6,4,1592.0,0,6,.000,.504,1,0,1.000,.154,1,14,13,.462,2,3,1,1,-4,.077,.462,Monta Ellis,14.3,0.0,2,DAL,118,20141106,-4.1,8.2,0,3,90,27.6,0.0,2,0,6.2
0.0,10.0,1,1522.0,0,2,.400,.333,1,0,0,.000,5,6,9,.222,0,3,0,1,-17,.556,.333,Jameer Nelson,14.9,3.9,0,DAL,122,20141106,-7.8,6.5,1,4,70,18.2,0.0,1,2,8.7
2.0,0.0,2,1595.0,0,2,.000,.421,4,0,1.000,.429,2,7,7,.286,3,2,1,0,-19,.286,.286,Devin Harris,9.5,3.7,3,DAL,119,20141106,0.0,24.6,1,3,107,14.4,0.0,0,0,6.2
6.4,0.0,1,985.0,1,3,1.000,.583,0,0,0,.000,1,7,6,.500,0,3,2,0,-5,.167,.583,Al-Farouq Aminu,23.1,11.9,0,DAL,102,20141106,11.8,0.0,2,5,126,16.9,6.2,0,1,16.8
6.7,0.0,0,942.0,0,3,.000,.450,2,0,1.000,.250,2,8,8,.375,2,2,2,0,-9,.250,.375,J.J. Barea,16.1,0.0,2,DAL,106,20141106,10.1,25.7,0,2,101,26.1,0.0,0,0,7.0
0.0,0.0,1,723.0,0,3,0,.600,1,0,0,.000,0,6,5,.600,0,1,0,0,-12,.000,.600,Brandan Wright,10.5,16.3,0,DAL,124,20141106,5.9,18.9,2,3,135,19.1,0.0,0,0,13.7
0.0,0.0,1,667.0,0,1,.000,.276,0,0,1.000,.200,1,3,5,.200,1,1,0,0,-2,.200,.200,Richard Jefferson,11.4,8.8,1,DAL,123,20141106,-11.2,0.0,1,2,69,22.6,0.0,0,0,9.9
0.0,0.0,2,442.0,0,1,.000,.000,0,0,0,.000,1,2,2,.500,0,1,0,0,0,.000,.000,Jae Crowder,17.1,0.0,0,DAL,122,20141106,-13.2,19.7,0,1,22,12.5,0.0,0,0,7.5
0.0,0.0,0,442.0,0,1,0,.500,0,0,0,.000,0,2,1,1.000,0,0,0,0,0,.500,.500,Charlie Villanueva,17.1,0.0,0,DAL,121,20141106,-9.0,0.0,0,0,100,12.5,0.0,0,0,7.5
0.0,0.0,1,442.0,0,0,0,1.000,1,0,0,.000,0,0,2,.000,0,1,0,0,0,.000,1.000,Greg Smith,0.0,0.0,0,DAL,127,20141106,0.4,0.0,0,1,200,6.3,0.0,0,0,0.0
1.7,24.8,1,1912.0,0,6,.167,.592,6,0,1.000,.385,6,18,13,.462,5,5,1,1,+23,.462,.500,Damian Lillard,15.4,0.0,5,POR,96,20141106,0.6,29.2,0,5,106,29.7,0.0,5,1,8.7
0.0,5.7,2,1794.0,0,10,.000,.608,0,0,.000,.063,1,20,16,.625,1,5,0,1,+12,.063,.625,LaMarcus Aldridge,16.4,8.4,0,POR,99,20141106,0.4,0.0,2,7,118,27.4,0.0,1,0,12.9
0.0,18.4,2,1731.0,1,2,.333,.450,9,0,1.000,.250,6,8,8,.250,2,7,0,1,+13,.750,.375,Nicolas Batum,23.8,8.8,2,POR,94,20141106,8.4,40.8,2,9,122,17.7,2.5,2,2,17.2
2.1,20.5,1,1519.0,0,3,.400,.773,0,0,1.000,.667,5,12,6,.500,4,4,1,1,+4,.833,.667,Wesley Matthews,15.5,0.0,4,POR,95,20141106,3.8,0.0,0,4,123,18.1,0.0,2,2,8.7
0.0,22.5,3,1453.0,3,3,0,.581,0,0,1.000,.333,0,8,6,.500,2,4,0,1,+5,.000,.500,Robin Lopez,16.2,20.9,2,POR,90,20141106,0.2,0.0,4,8,112,17.2,8.9,2,0,18.2
0.0,0.0,3,1288.0,1,4,.750,.732,3,0,1.000,.250,4,13,8,.500,2,2,0,0,+17,.500,.688,CJ McCollum,9.1,0.0,2,POR,98,20141106,12.9,21.6,0,2,164,19.4,3.3,0,3,5.1
0.0,0.0,1,1179.0,0,3,.500,.800,3,0,0,.000,4,8,5,.600,0,2,0,0,+12,.800,.800,Steve Blake,10.0,0.0,0,POR,101,20141106,8.5,22.4,0,2,176,11.9,0.0,0,2,5.6
0.0,13.4,2,1063.0,1,6,0,.932,0,0,.000,.167,0,12,6,1.000,1,4,0,0,+14,.000,1.000,Chris Kaman,22.1,7.1,0,POR,93,20141106,10.1,0.0,1,5,143,19.7,4.0,1,0,15.6
4.0,41.0,3,780.0,0,1,0,.521,0,0,.500,1.000,0,3,2,.500,2,3,1,0,+16,.000,.500,Thomas Robinson,22.6,9.7,1,POR,88,20141106,-7.3,0.0,1,4,70,17.6,0.0,2,0,17.0
0.0,40.0,0,687.0,0,0,.000,.000,3,0,0,.000,1,0,3,.000,0,0,0,0,0,.333,.000,Will Barton,0.0,0.0,0,POR,104,20141106,-14.8,31.4,0,0,41,20.5,0.0,2,0,0.0
0.0,0.0,0,364.0,0,1,1.000,.500,0,0,0,.000,1,3,1,1.000,0,3,0,0,-3,.667,.500,Dorell Wright,32.3,20.8,0,POR,94,20141106,5.7,24.7,0,3,137,23.2,0.0,0,1,27.3
0.0,0.0,2,364.0,0,1,.500,1.500,1,0,0,.000,2,3,3,.333,0,2,0,0,-3,1.000,1.500,Meyers Leonard,48.4,0.0,0,POR,90,20141106,19.7,0.0,1,3,300,7.7,0.0,0,1,27.3
0.0,0,1,267.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,Joel Freeland,0.0,28.4,0,POR,104,20141106,-3.3,0.0,1,1,228,0.0,0.0,0,0,12.4
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Raymond Felton,0,0,0,DAL,0,20141106,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ricky Ledo,0,0,0,DAL,0,20141106,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Victor Claver,0,0,0,POR,0,20141106,0,0,0,0,0,0,0,0,0,0
