stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
2.5,0.0,5,2468.0,3,11,0,.622,0,0,.750,.421,0,28,19,.579,8,8,2,1,+4,.000,.579,Anthony Davis,20.7,3.0,6,NOP,101,20141118,5.9,0.0,1,9,125,27.5,4.7,0,0,12.5
1.4,18.8,1,2237.0,0,7,.500,.654,4,0,0,.000,6,17,13,.538,0,0,1,1,-3,.462,.654,Eric Gordon,0.0,0.0,0,NOP,115,20141118,1.0,17.2,0,0,106,21.6,0.0,3,3,0.0
3.1,0.0,2,2049.0,0,3,.000,.383,9,0,.750,.400,2,9,10,.300,4,2,2,1,+8,.200,.300,Jrue Holiday,6.2,0.0,3,NOP,109,20141118,0.5,36.4,0,2,108,17.3,0.0,0,0,3.3
0.0,12.1,4,1872.0,0,5,.500,.620,5,0,.875,.727,2,18,11,.455,8,4,0,1,0,.182,.500,Tyreke Evans,13.7,7.9,7,NOP,112,20141118,1.9,24.6,2,6,125,26.6,0.0,2,1,11.0
0.0,0.0,4,1173.0,0,2,0,.868,0,0,.500,1.000,0,5,2,1.000,2,4,0,1,0,.000,1.000,Alexis Ajinça,21.8,6.3,1,NOP,108,20141118,-2.8,0.0,1,5,181,7.4,0.0,0,0,14.6
1.7,0.0,3,1899.0,1,9,.333,.647,0,0,0,.000,12,22,17,.529,0,4,1,0,+15,.706,.647,Ryan Anderson,13.5,0.0,0,NOP,107,20141118,6.7,0.0,0,4,119,27.0,2.0,0,4,7.2
0.0,0.0,4,1228.0,2,2,1.000,.833,1,0,0,.000,1,5,3,.667,0,3,0,0,-1,.333,.833,Luke Babbitt,15.6,0.0,0,NOP,107,20141118,4.7,6.8,0,3,162,7.4,6.3,0,1,8.4
0.0,20.5,2,1158.0,0,0,0,.258,2,0,1.000,.667,0,2,3,.000,2,3,0,0,+8,.000,.000,Austin Rivers,16.6,0.0,2,NOP,111,20141118,-10.3,12.8,0,3,63,12.7,0.0,1,0,8.9
0.0,0.0,0,316.0,0,0,.000,.000,0,0,0,.000,1,0,1,.000,0,0,0,0,-1,1.000,.000,John Salmons,0.0,0.0,0,NOP,118,20141118,-13.3,0.0,0,0,0,9.5,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darius Miller,0,0,0,NOP,0,20141118,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeff Withey,0,0,0,NOP,0,20141118,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patric Young,0,0,0,NOP,0,20141118,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jimmer Fredette,0,0,0,NOP,0,20141118,0,0,0,0,0,0,0,0,0,0
1.4,17.2,4,2213.0,0,6,.000,.391,5,0,.600,.294,2,15,17,.353,5,2,1,1,0,.118,.353,Rudy Gay,6.7,5.8,3,SAC,116,20141118,-6.0,21.6,2,4,85,26.5,0.0,4,0,6.2
0.0,12.5,3,2052.0,2,10,0,.569,3,0,.571,.389,0,24,18,.556,7,14,0,1,-3,.000,.556,DeMarcus Cousins,50.4,9.4,4,SAC,109,20141118,8.7,17.6,3,17,112,29.7,5.1,3,0,28.4
0.0,0.0,0,1856.0,0,3,.667,.514,11,0,.833,.600,3,13,10,.300,6,2,0,1,+7,.300,.400,Darren Collison,8.0,0.0,5,SAC,119,20141118,8.7,51.2,0,2,144,17.2,0.0,0,2,3.7
1.8,25.0,1,1740.0,0,1,.000,.167,1,0,0,.000,3,2,6,.167,0,3,1,1,+9,.500,.167,Ben McLemore,12.7,0.0,0,SAC,115,20141118,-11.0,4.6,0,3,36,11.6,0.0,2,0,5.9
